"procs","X..delay","X..selfEvents.","X..eventsPerAgent","para_runtime_mean","serial_runtime_mean","SpeedUp","Efficiency","TotOverhead"
1,1,0,2,4.047,4.047,1,1,0
2,1,0,2,16.134,4.047,0.250836742283377,0.125418371141688,28.221
4,1,0,2,7.809,4.047,0.518248175182482,0.12956204379562,27.189
8,1,0,2,4.418,4.047,0.916025350837483,0.114503168854685,31.297
16,1,0,2,4.014,4.047,1.00822122571001,0.0630138266068759,60.177
32,1,0,2,4.965,4.047,0.815105740181269,0.0254720543806647,154.833
1,1,0,5,8.482,8.482,1,1,0
2,1,0,5,29.505,8.482,0.287476698864599,0.1437383494323,50.528
4,1,0,5,14.072,8.482,0.602757248436612,0.150689312109153,47.806
8,1,0,5,8.497,8.482,0.998234671060374,0.124779333882547,59.494
16,1,0,5,31.145,8.482,0.272339059239043,0.0170211912024402,489.838
32,1,0,5,7.331,8.482,1.15700450143227,0.0361563906697586,226.11
1,1,0,10,16.146,16.146,1,1,0
2,1,0,10,43.929,16.146,0.367547633681623,0.183773816840811,71.712
4,1,0,10,22.066,16.146,0.731713949061905,0.182928487265476,72.118
8,1,0,10,13.958,16.146,1.15675598223241,0.144594497779051,95.518
16,1,0,10,30.564,16.146,0.528268551236749,0.0330167844522968,472.878
32,1,0,10,10.349,16.146,1.56015073920186,0.048754710600058,315.022
1,1,0.25,2,3.894,3.894,1,1,0
2,1,0.25,2,15.419,3.894,0.252545560671898,0.126272780335949,26.944
4,1,0.25,2,7.951,3.894,0.489749717016727,0.122437429254182,27.91
8,1,0.25,2,3.812,3.894,1.02151101783841,0.127688877229801,26.602
16,1,0.25,2,3.918,3.894,0.993874425727412,0.0621171516079632,58.794
32,1,0.25,2,4.512,3.894,0.863031914893617,0.0269697473404255,140.49
1,1,0.25,5,8.402,8.402,1,1,0
2,1,0.25,5,28.165,8.402,0.298313509675129,0.149156754837564,47.928
4,1,0.25,5,13.756,8.402,0.61078801977319,0.152697004943297,46.622
8,1,0.25,5,7.739,8.402,1.08566998320196,0.135708747900246,53.51
16,1,0.25,5,5.818,8.402,1.44413887933998,0.0902586799587487,84.686
32,1,0.25,5,7.795,8.402,1.07787042976267,0.0336834509300834,241.038
1,1,0.25,10,16.243,16.243,1,1,0
2,1,0.25,10,42.354,16.243,0.383505690135524,0.191752845067762,68.465
4,1,0.25,10,21.297,16.243,0.762689580692116,0.190672395173029,68.945
8,1,0.25,10,13.313,16.243,1.22008563058664,0.152510703823331,90.261
16,1,0.25,10,215.667,16.243,0.0753151849842581,0.00470719906151613,3434.429
32,1,0.25,10,23.754,16.243,0.683800623052959,0.021368769470405,743.885
1,10,0,2,8.512,8.512,1,1,0
2,10,0,2,30.367,8.512,0.280304277669839,0.140152138834919,52.222
4,10,0,2,13.702,8.512,0.621223179097942,0.155305794774485,46.296
8,10,0,2,3.809,8.512,2.23470727224993,0.279338409031242,21.96
16,10,0,2,4.009,8.512,2.12322274881517,0.132701421800948,55.632
32,10,0,2,7.446,8.512,1.14316411496105,0.0357238785925329,229.76
1,10,0,5,20.834,20.834,1,1,0
2,10,0,5,52.087,20.834,0.399984641081268,0.199992320540634,83.34
4,10,0,5,25.278,20.834,0.824194952132289,0.206048738033072,80.278
8,10,0,5,16.803,20.834,1.23989763732667,0.154987204665833,113.59
16,10,0,5,14.31,20.834,1.45590496156534,0.0909940600978337,208.126
32,10,0,5,21.921,20.834,0.950412846129282,0.0297004014415401,680.638
1,10,0,10,42.831,42.831,1,1,0
2,10,0,10,95.327,42.831,0.449306072781059,0.224653036390529,147.823
4,10,0,10,43.844,42.831,0.976895356263115,0.244223839065779,132.545
8,10,0,10,29.669,42.831,1.44362802925613,0.180453503657016,194.521
16,10,0,10,23.062,42.831,1.85721099644437,0.116075687277773,326.161
32,10,0,10,26.836,42.831,1.5960277239529,0.0498758663735281,815.921
1,10,0.25,2,7.98,7.98,1,1,0
2,10,0.25,2,30.257,7.98,0.263740622004825,0.131870311002413,52.534
4,10,0.25,2,14.599,7.98,0.546612781697377,0.136653195424344,50.416
8,10,0.25,2,6.876,7.98,1.16055846422339,0.145069808027923,47.028
16,10,0.25,2,4.758,7.98,1.67717528373266,0.104823455233291,68.148
32,10,0.25,2,3.51,7.98,2.27350427350427,0.0710470085470086,104.34
1,10,0.25,5,19.602,19.602,1,1,0
2,10,0.25,5,51.25,19.602,0.382478048780488,0.191239024390244,82.898
4,10,0.25,5,24.071,19.602,0.814340908146733,0.203585227036683,76.682
8,10,0.25,5,16.516,19.602,1.18684911600872,0.14835613950109,112.526
16,10,0.25,5,10.845,19.602,1.80746887966805,0.112966804979253,153.918
32,10,0.25,5,10.778,19.602,1.81870476897384,0.0568345240304324,325.294
1,10,0.25,10,41.858,41.858,1,1,0
2,10,0.25,10,91.802,41.858,0.455959565151086,0.227979782575543,141.746
4,10,0.25,10,41.664,41.858,1.00465629800307,0.251164074500768,124.798
8,10,0.25,10,29.226,41.858,1.43221788818176,0.179027236022719,191.95
16,10,0.25,10,23.169,41.858,1.80663818032716,0.112914886270448,328.846
32,10,0.25,10,25.472,41.858,1.64329459798995,0.0513529561871859,773.246
