# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Tue Aug  1 10:40:18 EDT 2017,2,1,106.256,0.626661,105.814,106.698,105.22,105.86,106.125,106.77,107.66,318069,99.0523,317999,318139,317928,318008,318086,318192,318248,357.5,112.594,278.171,436.829,234,300,352.5,386,663,333.2,123.829,245.956,420.444,198,284,336,373,661,4181.9,17.1549,4169.81,4193.99,4156,4168,4187.5,4205,4207,2094.6,10.9563,2086.88,2102.32,2079,2086,2098,2106,2113,4.90E+06,2186.06,4.90E+06,4.91E+06,4900133,4902268,4.90E+06,4905843,4907520,2452419,1044.45,2.45E+06,2.45E+06,2450855,2451574,2452693,2453728,2454189,5.05E+06,2035.69,5.05E+06,5.05E+06,5048346,5050910,5.05E+06,5053507,5056014,2.53E+06,1170.26,2.53E+06,2.53E+06,2524936,2525549,2526561,2527467,2528985
Tue Aug  1 10:45:36 EDT 2017,2,2,298.968,8.10944,293.254,304.682,275.76,299.69,301.05,302.53,308.24,581149,257.626,580967,581331,580740,580884,581330,581408,581464,1794.2,367.245,1535.46,2052.94,1248,1606,1836.5,2087,2589,1358,439.196,1048.56,1667.44,844,1119,1302.5,1719,2398,8419.4,33.2602,8395.97,8442.83,8367,8399,8424.5,8455,8483,4224.6,25.1802,4206.86,4242.34,4187,4210,4223.5,4248,4281,9.43E+06,2789.97,9.43E+06,9.43E+06,9423553,9427185,9429362,9431824,9432740,4.72E+06,1570.2,4.71E+06,4.72E+06,4712502,4713635,4.72E+06,4717144,4717659,1.01E+07,2331.92,1.01E+07,1.01E+07,10096339,10100507,1.01E+07,10102380,10104577,5.05E+06,1474.19,5.05E+06,5.05E+06,5048545,5050453,5051857,5052995,5053337
Tue Aug  1 11:14:11 EDT 2017,2,5,1633.5,31.1954,1611.52,1655.48,1567.72,1640.69,1649.89,1653.6,1655.71,1.37E+06,3613.05,1.37E+06,1.37E+06,1367316,1367936,1370786,1371596,1380592,11110.6,2599.32,9279.23,12942,7990,9906,10656.5,12278,18134,7417.6,2706.04,5511.04,9324.16,4928,5934,6584,9377,14592,21819,429.988,21516,22122,21499,21600,21668,22043,23027,11096.1,413.284,10804.9,11387.3,10781,10887,11003.5,11271,12274,2.09E+07,24135.8,2.09E+07,2.10E+07,20929719,20930465,2.09E+07,20954149,21013747,10482856,23489.6,1.05E+07,1.05E+07,10465219,10467996,1.05E+07,10489194,10549828,2.53E+07,2419.11,2.53E+07,2.53E+07,25249387,25250988,2.53E+07,25256267,25257181,1.26E+07,2761.65,1.26E+07,1.26E+07,12625741,12628774,1.26E+07,12633968,12634512
Tue Aug  1 18:55:56 EDT 2017,2,10,15117.4,7059.74,10143.4,20091.4,6613.31,7820.11,15189.8,27555.49,27683.74,2.48E+06,397413,2.20E+06,2.76E+06,1736768,2133876,2677430,2801432,3057364,148075,124313,60489.6,235660,29258,41033,168075,279652,390674,119186,101944,47360.8,191011,23256,26627,131058,259151,270375,61179,14817.9,50739,71619,45738,47946,65358,78395,87312,36634.1,12690.9,27692.7,45575.5,24118,25275,38190.5,53059,56578,3.67E+07,2.07E+06,3.52E+07,3.82E+07,34821451,34929575,3.69E+07,38920438,40840635,1.90E+07,1.69E+06,1.78E+07,2.02E+07,17460202,17543501,1.92E+07,21409802,21488345,5.05E+07,4501.58,5.05E+07,5.05E+07,50502291,50508955,5.05E+07,50517093,50518384,2.53E+07,2816.78,2.53E+07,2.53E+07,25253744,25260839,25261892,25263393,25263674
Wed Aug  2 15:54:08 EDT 2017,2,15,42975,20208,27738.2,58211.8,15005.24,31253.7,42482.63,70449.7,75439.3,2646756,970348,1.92E+06,3.38E+06,1483748,1766142,2631228,3966700,3990876,102106,132241,8934.88,195277,16473,21643,52925,266864,437059,75544.3,105301,1353.91,149735,8816,16015,46571,162518,364266,78030.1,20586.6,63525.7,92534.5,63723,65115,71380,102148,130536,42475.4,15877.2,31289,53661.8,31936,33420,39223.5,51699,87000,4.50E+07,1.83E+06,4.37E+07,4.63E+07,43915693,43984070,44224341,47329301,49660425,2.28E+07,1.51E+06,2.18E+07,2.39E+07,21959743,22026271,22269606,24256499,26914528,7.58E+07,4871.06,7.58E+07,7.58E+07,75762239,75768486,75774296,75777308,75779439,3.79E+07,2952.15,3.79E+07,3.79E+07,37885515,37889103,37891008,37894050,37896444
Thu Aug  3 16:54:36 EDT 2017,4,1,39.532,2.64874,37.6658,41.3982,33.2,40.24,40.73,41.04,41.94,163541,4471.61,160391,166691,161024,161604,162098,163556,176752,3204.4,2963.34,1116.56,5292.24,1092,1597,2566,3647,11798,2172.8,2936.69,103.739,4241.86,471,1000,1275.5,2683,10818,8522.2,245.203,8349.44,8694.96,8388,8407,8457.5,8571,9242,2228.6,245.741,2055.46,2401.74,2103,2121,2145,2258,2956,4.92E+06,31552.7,4.90E+06,4.94E+06,4907238,4907656,4.91E+06,4918816,5015072,1.24E+06,31577.4,1.22E+06,1.26E+06,1227877,1228516,1.23E+06,1238269,1335243,5.05E+06,1517.34,5.05E+06,5.05E+06,5049561,5050878,5052223,5053824,5054256,1.26E+06,739.562,1.26E+06,1.26E+06,1263190,1263557,1.26E+06,1265219,1265460
Thu Aug  3 16:56:38 EDT 2017,4,2,101.136,3.89844,98.3893,103.883,92.33,102.38,103.145,103.44,103.77,295328,7493.92,290048,300608,292108,292232,293076,294196,317720,6768.4,5574.72,2840.7,10696.1,3724,4457,5198.5,6929,23291,4416.3,5273.08,701.123,8131.48,1757,2085,2923.5,4655,20054,17191.1,701.965,16696.5,17685.7,16887,16905,16973.5,17140,19286,4540.7,685.401,4057.8,5023.6,4246,4272,4307.5,4493,6587,9.46E+06,58903.1,9.42E+06,9.50E+06,9434399,9435077,9439395,9449061,9634144,2.38E+06,58070.8,2.34E+06,2.42E+06,2359914,2360817,2365167,2375484,2557412,1.01E+07,1329.85,1.01E+07,1.01E+07,10099368,10100681,1.01E+07,10102736,10103997,2.53E+06,607.66,2.53E+06,2.53E+06,2525895,2526159,2.53E+06,2527606,2527736
Thu Aug  3 17:05:18 EDT 2017,4,5,492.086,12.2764,483.437,500.735,465.84,496.51,498.115,499.2,500.68,690342,18874.5,677044,703640,683096,683368,684202,685896,746904,21081.6,13259.4,11739.6,30423.6,14476,15572,17182,20528,60559,11066.2,12571.6,2208.81,19923.6,5315,6184,7302,8913,48629,43613.7,2352.12,41956.5,45270.9,42560,42696,42827.5,43444,50634,11633.5,2181,10096.9,13170.1,10752,10789,10969,11145,18166,2.10E+07,151881,2.09E+07,2.11E+07,20932912,20941049,2.09E+07,20976364,21451868,5.29E+06,142880,5.19E+06,5.39E+06,5237676,5242192,5.25E+06,5259356,5721928,25253175,2583.74,2.53E+07,2.53E+07,25250214,25251122,25253138,25256477,25258357,6315616,1081.48,6.31E+06,6.32E+06,6314418,6314705,6.32E+06,6317094,6317485
Thu Aug  3 17:37:01 EDT 2017,4,10,1817.59,35.6839,1792.45,1842.73,1776.73,1791.52,1816.57,1881.53,1885.45,1.35E+06,31601.2,1.33E+06,1.38E+06,1328932,1338128,1346464,1361744,1444672,58458.5,20415.1,44074.9,72842.1,44025,45142,54039.5,70980,115386,24924.6,19199.6,11397.4,38451.8,12783,15389,21996,23475,81377,90878.5,4290.56,87855.6,93901.4,88110,88366,89832,93237,103001,24433.1,3786.34,21765.4,27100.8,22205,22615,23709,24414,35594,3.50E+07,224583,3.48E+07,3.51E+07,34822767,34832823,34900389,35144004,35586520,8824656,196598,8.69E+06,8.96E+06,8712118,8729163,8775498,8855430,9401769,5.05E+07,3916.49,5.05E+07,5.05E+07,50503180,50506945,5.05E+07,50512107,50518481,1.26E+07,2202.46,1.26E+07,1.26E+07,12627218,12630521,12631597,12633461,12634731
Thu Aug  3 19:29:32 EDT 2017,4,15,3790.16,2073.28,2329.42,5250.9,0.07,4061.98,4317.02,5929.3,6712.95,2.07E+06,44303.5,2.03E+06,2.10E+06,2019304,2025564,2090904,1066464,2132928,170915,56177.7,125114,216716,119020,125545,185884,139590,279179,74019.9,38803.2,42383.9,105656,37600,42969,85924.5,72821,145642,155000,10228.4,146661,163339,145051,146466,159532,86782.5,173565,44346.6,6724.23,38864.4,49828.8,37610,38759.5,47427.5,27979,55958,4.53E+07,726503,4.47E+07,4.59E+07,44633750,4.47E+07,4.53E+07,2.34E+07,46710831,1.17E+07,508461,1.12E+07,1.21E+07,11211879,1.13E+07,11690461,6318865,12637730,7.58E+07,6804.97,7.58E+07,7.58E+07,75759714,75771874,75777895,3.79E+07,75782831,1.89E+07,2046.43,1.89E+07,1.90E+07,18946231,18947234,18948727,9475927,18951854
