# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Wed Aug 30 23:29:16 EDT 2017, 2, 1, 333.53, 575.996, -72.2911, 739.351, 134.12, 141.36, 142.9, 143.79, 2061.50, 975868, 35945.9, 950542, 1.00119e+06, 868032, 987700, 987778, 988228, 988300, 12, 5.94979, 7.80804, 16.192, 6, 7, 12, 19, 26, 10.3, 6.98642, 5.37768, 15.2223, 3, 5, 10, 19, 26, 824.8, 5.56417, 820.88, 828.72, 816, 820, 827, 831, 835, 414.7, 2.86531, 412.681, 416.719, 410, 412, 416.5, 417, 419, 9.80924e+06, 1338.05, 9.8083e+06, 9.81018e+06, 9806776, 9808376, 9.80951e+06, 9810653, 9811822, 4905146, 918.35, 4.9045e+06, 4.90579e+06, 4904152, 4904420, 4905046, 4906572, 4906990, 1.01211e+07, 1246.41, 1.01202e+07, 1.0122e+07, 10119336, 10120144, 10121476, 10122518, 10122765, 5.06107e+06, 761.98, 5.06053e+06, 5.06161e+06, 5059978, 5060319, 5.06145e+06, 5061856, 5062403
Wed Aug 30 23:56:24 EDT 2017, 2, 2, 460.985, 468.382, 130.984, 790.986, 211.79, 218.56, 248.065, 1144.99, 1603.35, 1.4802e+06, 74180.9, 1.42794e+06, 1.53246e+06, 1303696, 1455696, 1508360, 1512588, 1615412, 763.5, 2094.46, -712.163, 2239.16, 40, 42, 62.5, 160, 7046, 718.9, 1989.2, -682.602, 2120.4, 36, 38, 53, 117, 6686, 1732, 189.001, 1598.84, 1865.16, 1647, 1667, 1672.5, 1693, 2298, 897.5, 177.587, 772.38, 1022.62, 826, 838, 839.5, 850, 1430, 1.88592e+07, 28806.8, 1.88389e+07, 1.88795e+07, 18845499, 18847948, 18851121, 18853390, 18945321, 9.43673e+06, 28275.3, 9.41681e+06, 9.45665e+06, 9425065, 9426208, 9427563, 9429885, 9521460, 2.01921e+07, 2704.33, 2.01902e+07, 2.0194e+07, 20186779, 20191283, 2.0193e+07, 20194681, 20195682, 1.0099e+07, 1702.29, 1.00978e+07, 1.01002e+07, 10095922, 10097523, 1.00996e+07, 10100222, 10101982
Thu Aug 31 03:57:19 EDT 2017, 2, 5, 4818.89, 2826.03, 2514.84, 7122.94, 1154.70, 2945.01, 6138.05, 4481.74, 8963.48, 2703382, 384764, 2.38969e+06, 3.01708e+06, 2151448, 2512062, 2929516, 1605668, 3211336, 16866.8, 21025.9, -275.493, 34009.1, 820, 1604.5, 18001.5, 28873.5, 57747, 11134.4, 15500.7, -1503.23, 23772, 552, 848.5, 9259.5, 23284.5, 46569, 5746.88, 1906.05, 4192.89, 7300.87, 4167, 4339, 5982, 4561.5, 9123, 3175, 1419.97, 2017.31, 4332.69, 2097, 2184.5, 3071.5, 3076, 6152, 4.2084e+07, 399345, 4.17584e+07, 4.24096e+07, 41784791, 41795971, 42098204, 21439580, 42879160, 2.10902e+07, 293826, 2.08506e+07, 2.13298e+07, 20893996, 2.09011e+07, 21053497, 1.08882e+07, 21776365, 50448978, 4628.72, 5.04452e+07, 5.04528e+07, 50442448, 5.04467e+07, 5.04501e+07, 2.52282e+07, 50456483, 25229393, 2207.11, 2.52276e+07, 2.52312e+07, 25225640, 25228828, 2.52302e+07, 12616153, 25232306
Thu Aug 31 08:38:24 EDT 2017, 4, 1, 70.282, 0.879077, 69.6626, 70.9014, 68.99, 69.36, 70.6, 71.37, 71.63, 491594, 822.399, 491015, 492173, 490256, 491116, 491626, 492620, 493316, 227, 31.8057, 204.591, 249.409, 177, 194, 240.5, 269, 269, 110.1, 20.6565, 95.5464, 124.654, 77, 89, 122, 134, 136, 1655.9, 7.10563, 1650.89, 1660.91, 1645, 1650, 1657, 1664, 1669, 418.5, 3.5, 416.034, 420.966, 413, 416, 419, 421, 426, 9.81011e+06, 1092.22, 9.80934e+06, 9.81088e+06, 9808166, 9808906, 9810565, 9811237, 9811616, 2.4544e+06, 769.268, 2.45386e+06, 2.45494e+06, 2453040, 2453793, 2.45469e+06, 2455286, 2455480, 1.01215e+07, 1424.23, 1.01205e+07, 1.01225e+07, 10119574, 10119603, 1.01224e+07, 10123079, 10123095, 2.53238e+06, 689.601, 2.53189e+06, 2.53287e+06, 2531316, 2531740, 2532821, 2533160, 2533258
Thu Aug 31 08:41:25 EDT 2017, 4, 2, 102.396, 7.97114, 96.7799, 108.012, 98.16, 99.04, 100.2, 101.46, 126.16, 743917, 4550.52, 740711, 747123, 731148, 743928, 745108, 747312, 748936, 626.6, 142.636, 526.105, 727.095, 430, 529, 607.5, 817, 938, 257.4, 70.92, 207.433, 307.367, 168, 196, 254.5, 327, 424, 3350.8, 16.2899, 3339.32, 3362.28, 3318, 3344, 3353.5, 3360, 3386, 845.5, 5.71402, 841.474, 849.526, 836, 842, 845.5, 849, 859, 1.88501e+07, 1532.3, 1.8849e+07, 1.88512e+07, 18847372, 18849059, 1.88502e+07, 18851790, 18852464, 4.71458e+06, 847.793, 4.71398e+06, 4.71518e+06, 4713113, 4713842, 4.71476e+06, 4715809, 4715916, 2.01911e+07, 2018.99, 2.01897e+07, 2.01925e+07, 20187745, 20189329, 20192339, 20193359, 20193546, 5.04991e+06, 767.469, 5.04937e+06, 5.05045e+06, 5048237, 5049490, 5.05021e+06, 5050740, 5050791
Thu Aug 31 08:46:53 EDT 2017, 4, 5, 194.161, 30.5136, 172.662, 215.66, 174.04, 176.12, 180.705, 216.97, 275.54, 1.50263e+06, 6997.82, 1.4977e+06, 1.50756e+06, 1487652, 1497308, 1505846, 1509632, 1510448, 1053.3, 229.875, 891.34, 1215.26, 743, 908, 1030.5, 1280, 1544, 416.4, 64.4146, 371.016, 461.784, 331, 380, 419, 483, 562, 8377.5, 27.7894, 8357.92, 8397.08, 8330, 8362, 8379, 8414, 8416, 2107, 11.4804, 2098.91, 2115.09, 2088, 2098, 2108.5, 2126, 2126, 4.17878e+07, 3288.75, 4.17855e+07, 4.17901e+07, 41781587, 41786569, 4.17882e+07, 41791926, 41792434, 1.04499e+07, 1378.57, 1.04489e+07, 1.04509e+07, 10448287, 10448865, 1.04499e+07, 10450564, 10453440, 50450071, 3149.02, 5.04479e+07, 5.04523e+07, 50444227, 50447476, 5.04512e+07, 50452976, 50455606, 12616979, 1654.03, 1.26158e+07, 1.26181e+07, 12615006, 12615373, 12617675, 12618279, 12620533
Thu Aug 31 09:08:49 EDT 2017, 8, 1, 36.192, 0.990685, 35.494, 36.89, 33.96, 35.73, 36.81, 37.23, 37.27, 263002, 1874.24, 261681, 264323, 258744, 262456, 263184, 265000, 266032, 773.4, 123.855, 686.137, 860.663, 539, 669, 848.5, 890, 920, 282.6, 54.6831, 244.073, 321.127, 156, 275, 294.5, 341, 343, 3336, 13.4462, 3326.53, 3345.47, 3316, 3324, 3340.5, 3350, 3357, 430.4, 5.31413, 426.656, 434.144, 420, 427, 432, 434, 441, 9.81261e+06, 1137.25, 9.81181e+06, 9.81341e+06, 9810440, 9811954, 9.81293e+06, 9813941, 9814498, 1.22815e+06, 472.835, 1.22782e+06, 1.22848e+06, 1227340, 1227815, 1.22829e+06, 1228673, 1228863, 1.01217e+07, 1308.26, 1.01208e+07, 1.01226e+07, 10119570, 10120665, 10121859, 10123199, 10123861, 1.26659e+06, 267.847, 1.2664e+06, 1.26678e+06, 1266207, 1266379, 1266670, 1266909, 1267066
Thu Aug 31 09:11:10 EDT 2017, 8, 2, 51.149, 2.15271, 49.6323, 52.6657, 47.77, 49.29, 52.285, 53.49, 53.82, 399270, 4012.86, 396443, 402097, 392996, 395728, 400370, 404516, 405220, 2272.9, 321.487, 2046.39, 2499.41, 1800, 1941, 2395.5, 2559, 2819, 622.3, 105.089, 548.259, 696.341, 478, 525, 674.5, 759, 772, 6779.3, 53.1151, 6741.88, 6816.72, 6699, 6740, 6793, 6831, 6883, 877.6, 15.2394, 866.863, 888.337, 856, 867, 884, 899, 900, 1.88584e+07, 2611.11, 1.88566e+07, 1.88602e+07, 18852367, 18857871, 1.88585e+07, 18861923, 18862434, 2.3604e+06, 1399.54, 2.35941e+06, 2.36139e+06, 2358698, 2358802, 2.36106e+06, 2362254, 2362597, 2.01945e+07, 2047.68, 2.01931e+07, 2.01959e+07, 20191279, 20193154, 20194638, 20197499, 20198311, 2.52604e+06, 697.57, 2.52555e+06, 2.52653e+06, 2524802, 2525567, 2526285, 2526879, 2527130
Thu Aug 31 09:14:41 EDT 2017, 8, 5, 95.009, 34.8424, 70.4606, 119.557, 81.98, 82.63, 83.575, 85.95, 199.48, 790892, 16662.6, 779152, 802632, 784492, 785168, 785590, 785968, 840860, 4894.2, 1317.77, 3965.76, 5822.64, 3292, 4386, 4838, 4967, 8588, 1024.2, 515.247, 661.18, 1387.22, 731, 816, 902.5, 940, 2557, 16977.5, 206.209, 16832.2, 17122.8, 16825, 16874, 16943.5, 16983, 17578, 2162.3, 85.5769, 2102.01, 2222.59, 2116, 2120, 2142, 2146, 2417, 4.17975e+07, 19812.1, 4.17835e+07, 4.18115e+07, 41785177, 41789663, 4.17926e+07, 41795115, 41856320, 5.22943e+06, 6753.5, 5.22467e+06, 5.23419e+06, 5226049, 5226650, 5.22727e+06, 5229182, 5249502, 5.04501e+07, 4890.21, 5.04467e+07, 5.04535e+07, 50441771, 50448471, 50451503, 50455671, 50458970, 6.30969e+06, 692.519, 6.3092e+06, 6.31018e+06, 6308845, 6309292, 6.30961e+06, 6310366, 6311266
Thu Aug 31 09:17:44 EDT 2017, 16, 1, 19.022, 0.561281, 18.6265, 19.4175, 18.38, 18.39, 19.125, 19.60, 20.19, 147337, 631.579, 146892, 147782, 146392, 147076, 147492, 147868, 148640, 2275.3, 151.963, 2168.23, 2382.37, 1965, 2139, 2302.5, 2432, 2516, 833.9, 92.9747, 768.394, 899.406, 706, 768, 835, 935, 1002, 6741.9, 26.319, 6723.36, 6760.44, 6680, 6730, 6748.5, 6772, 6774, 500.7, 18.4827, 487.678, 513.722, 461, 495, 509, 514, 530, 9.82509e+06, 1802.98, 9.82382e+06, 9.82636e+06, 9820938, 9823942, 9825519, 9826988, 9827698, 620545, 528.501, 620173, 620917, 619659, 620273, 620574, 621100, 621411, 1.01225e+07, 893.623, 1.01219e+07, 1.01231e+07, 10120817, 10121694, 1.01229e+07, 10123516, 10123650, 633995, 199.476, 633854, 634136, 633648, 633854, 634038, 634276, 634306
