# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Thu Sep 21 18:45:09 EDT 2017, 2, 25, 45.567, 1.03857, 44.8353, 46.2987, 43.74, 45.22, 45.77, 46.70, 47.30, 684153, 7426.9, 678920, 689386, 670276, 679732, 688822, 689304, 690304, 46820.7, 8290.92, 40979.3, 52662.1, 31532, 40612, 51771.5, 52693, 53054, 42521, 13386, 33089.8, 51952.2, 16903, 35149, 50498.5, 51340, 51966, 118577, 1173.94, 117750, 119404, 116372, 117692, 119268, 119512, 119536, 61207.6, 1547.53, 60117.3, 62297.9, 58338, 60208, 62100, 62378, 62382, 5.5865e+06, 24863.6, 5.56898e+06, 5.60402e+06, 5540291, 5567657, 5.60169e+06, 5605420, 5606298, 2833878, 32552, 2.81094e+06, 2.85681e+06, 2773089, 2813683, 2.85354e+06, 2856498, 2859087, 1.26278e+07, 1813.79, 1.26265e+07, 1.26291e+07, 12623379, 12627296, 12628396, 12629697, 12629748, 6.32012e+06, 2855.56, 6.31811e+06, 6.32213e+06, 6315312, 6318129, 6.32149e+06, 6323399, 6324011
Thu Sep 21 18:47:06 EDT 2017, 2, 50, 105.564, 2.4039, 103.87, 107.258, 102.23, 103.10, 107.49, 108.22, 108.25, 1349310, 10335.7, 1.34203e+06, 1.35659e+06, 1323128, 1344208, 1353878, 1358012, 1358140, 75018.8, 2765.42, 73070.4, 76967.2, 70037, 73663, 76063.5, 77857, 78323, 57370.9, 8182.04, 51606.2, 63135.6, 39112, 54451, 61110, 64689, 65144, 238078, 558.223, 237685, 238471, 237020, 237956, 238305, 238586, 238715, 121936, 1272.71, 121039, 122833, 119082, 121566, 122587, 123049, 123143, 6.85613e+06, 7046.5, 6.85117e+06, 6.86109e+06, 6842959, 6854609, 6859157, 6863173, 6863688, 3.46526e+06, 16268, 3.4538e+06, 3.47672e+06, 3429140, 3460390, 3.47365e+06, 3479322, 3480779, 25196401, 4949.86, 2.51929e+07, 2.51999e+07, 25189693, 25192930, 2.51973e+07, 25203245, 25204117, 1.26047e+07, 7104.29, 1.25997e+07, 1.26097e+07, 12595748, 12598922, 1.26042e+07, 12616382, 12618104
Thu Sep 21 18:50:30 EDT 2017, 2, 75, 182.52, 5.01817, 178.984, 186.056, 171.14, 179.08, 185.965, 186.60, 186.90, 2.02818e+06, 6049.73, 2.02392e+06, 2.03244e+06, 2020804, 2023524, 2028440, 2036984, 2039988, 113692, 2037.9, 112256, 115128, 110261, 112796, 113552, 115872, 117567, 76030.8, 6330.63, 71570.5, 80491.1, 67399, 71017, 76783.5, 83134, 88540, 362357, 690.775, 361870, 362844, 361054, 361964, 362533, 362958, 363635, 184934, 1417.52, 183935, 185933, 182828, 183800, 185108, 186500, 187708, 7.64398e+06, 6053.12, 7.63972e+06, 7.64824e+06, 7632784, 7639918, 7.64463e+06, 7649300, 7655682, 3.85903e+06, 13297.4, 3.84966e+06, 3.8684e+06, 3839550, 3848900, 3860270, 3873175, 3885775, 3.76777e+07, 8951.63, 3.76714e+07, 3.7684e+07, 37661662, 37669933, 37681516, 37684996, 37692894, 18849119, 6522.19, 1.88445e+07, 1.88537e+07, 18836963, 18845051, 1.88502e+07, 18859186, 18859354
Fri Sep 22 19:19:23 EDT 2017, 2, 100, 890.732, 740.471, 369.029, 1412.43, 261.59, 269.46, 1026.89, 1813.70, 1858.44, 2435244, 376046, 2.1703e+06, 2.70019e+06, 1521780, 2171696, 2697854, 2704360, 2719128, 238014, 87632.5, 176272, 299756, 159099, 162283, 256562, 345187, 357333, 126524, 47057.5, 93369.4, 159679, 84062, 89103, 132600, 180170, 201093, 517888, 29800.6, 496892, 538884, 491208, 491991, 524091, 553950, 558596, 260968, 15944, 249735, 272201, 246591, 248011, 263633, 278998, 285810, 8.62587e+06, 372069, 8.36373e+06, 8.88801e+06, 8297598, 8309154, 8.69933e+06, 9074566, 9138753, 4.33176e+06, 196943, 4.193e+06, 4.47052e+06, 4156460, 4167943, 4.37264e+06, 4553583, 4629780, 5.01308e+07, 12347, 5.01221e+07, 5.01395e+07, 50108612, 50123448, 50137669, 50142384, 50143545, 25077032, 6781.29, 2.50723e+07, 2.50818e+07, 25067847, 25071880, 2.50784e+07, 25085601, 25089713
Fri Sep 22 19:32:28 EDT 2017, 4, 25, 19.911, 0.712874, 19.4087, 20.4133, 18.86, 19.35, 20.26, 20.77, 21.07, 352502, 4883.56, 349061, 355943, 345884, 348760, 354804, 357132, 360836, 109390, 13825.1, 99649.5, 119131, 87179, 93842, 118231, 123828, 125441, 41801.1, 2573.21, 39988.1, 43614.1, 37540, 39619, 43378.5, 44814, 45526, 240042, 3078.97, 237873, 242211, 235487, 236725, 241734, 243618, 243987, 61503.1, 851.451, 60903.2, 62103, 60270, 60723, 61924.5, 62373, 62770, 5737762, 63218.9, 5.69322e+06, 5.7823e+06, 5643653, 5665006, 5.77319e+06, 5808875, 5815633, 1.46608e+06, 18159.9, 1.45329e+06, 1.47887e+06, 1440559, 1449841, 1.47534e+06, 1487937, 1489510, 1.26269e+07, 2565.67, 1.26251e+07, 1.26287e+07, 12622845, 12624848, 1.26276e+07, 12629296, 12631217, 3.16146e+06, 2677.05, 3.15957e+06, 3.16335e+06, 3157017, 3159459, 3.16204e+06, 3164589, 3166130
Fri Sep 22 19:33:50 EDT 2017, 4, 50, 40.224, 0.55687, 39.8317, 40.6163, 39.20, 40.06, 40.395, 40.80, 41.00, 690422, 3284, 688108, 692736, 686972, 687544, 691686, 693248, 697184, 157501, 14766.5, 147097, 167905, 136800, 139346, 167080, 174122, 178724, 60968.8, 7286.59, 55835, 66102.6, 50058, 53285, 65329.5, 68911, 71051, 475506, 2518.47, 473732, 477280, 471677, 472678, 476872, 478359, 479213, 120987, 690.787, 120500, 121474, 120239, 120332, 121224, 121686, 122285, 6.97897e+06, 31512, 6.95677e+06, 7.00117e+06, 6936603, 6938487, 6.99718e+06, 7015138, 7026935, 1.77554e+06, 11116.4, 1.76771e+06, 1.78337e+06, 1760546, 1764748, 1780363, 1788339, 1793053, 25192639, 5328.43, 2.51889e+07, 2.51964e+07, 25185387, 25189517, 2.5192e+07, 25198611, 25203754, 6.30584e+06, 3942.49, 6.30306e+06, 6.30862e+06, 6300166, 6302135, 6.30647e+06, 6310264, 6313043
Fri Sep 22 19:35:18 EDT 2017, 4, 75, 64.499, 1.18984, 63.6607, 65.3373, 62.33, 62.89, 65.295, 65.34, 65.34, 1.03402e+06, 2778.69, 1.03206e+06, 1.03598e+06, 1026972, 1033536, 1035360, 1036140, 1037148, 205298, 9629.67, 198513, 212083, 192742, 195572, 211372, 216548, 216932, 76265.7, 6615.82, 71604.5, 80926.9, 65892, 71085, 81455.5, 83127, 84605, 714868, 2043.95, 713428, 716308, 712333, 713044, 715924, 717241, 717704, 182058, 587.893, 181644, 182472, 180863, 181822, 182151, 182725, 182900, 7753623, 19281.4, 7.74004e+06, 7.76721e+06, 7727826, 7734356, 7765309, 7776007, 7777782, 1.97443e+06, 7972.15, 1.96881e+06, 1.98005e+06, 1959496, 1969509, 1979330, 1983609, 1985237, 3.76781e+07, 7347.45, 3.76729e+07, 3.76833e+07, 37669847, 37671028, 3.76813e+07, 37685769, 37690983, 9.43193e+06, 5893.54, 9.42778e+06, 9.43608e+06, 9421382, 9426743, 9.43535e+06, 9438545, 9439950
Fri Sep 22 19:37:45 EDT 2017, 4, 100, 92.761, 1.68201, 91.5759, 93.9461, 90.20, 90.24, 93.85, 94.13, 94.15, 1.38296e+06, 11543.6, 1.37483e+06, 1.39109e+06, 1370276, 1378076, 1381614, 1383120, 1415980, 269011, 8625.25, 262934, 275088, 259757, 262620, 271525, 272035, 290842, 93535.6, 13709, 83876.8, 103194, 78001, 87095, 93314.5, 96789, 130917, 960250, 2212.87, 958691, 961809, 957802, 958350, 960807, 961784, 965486, 244566, 2518.46, 242792, 246340, 241940, 243502, 244264, 244464, 251792, 8.41361e+06, 17701.6, 8.40114e+06, 8.42608e+06, 8395516, 8401161, 8.41804e+06, 8420534, 8458672, 2.14233e+06, 22617.3, 2.12639e+06, 2.15827e+06, 2118651, 2132270, 2.14041e+06, 2144223, 2206348, 50125677, 18659.2, 5.01125e+07, 5.01388e+07, 50093431, 50105817, 50130511, 50150402, 50151951, 1.25448e+07, 5646.05, 1.25408e+07, 1.25488e+07, 12536760, 12539804, 12546626, 12552473, 12552868
Sat Sep 23 14:19:36 EDT 2017, 8, 25, 11.826, 0.412267, 11.5355, 12.1165, 11.37, 11.42, 12.01, 12.31, 12.60, 223662, 693.373, 223173, 224151, 222368, 223164, 224018, 224460, 224468, 262799, 25530.3, 244811, 280787, 227434, 246406, 267251, 274365, 326818, 46422.6, 3887.97, 43683.3, 49161.9, 42465, 43180, 47614, 49330, 55170, 512664, 11651, 504455, 520873, 497873, 504111, 514306, 518541, 542025, 67877.2, 2056.6, 66428.2, 69326.2, 65234, 66135, 67875.5, 69094, 72983, 6.19076e+06, 142756, 6.09018e+06, 6.29134e+06, 6011689, 6082724, 6210661, 6264295, 6548852, 882165, 2160.57, 880643, 883687, 878710, 880746, 882743, 885141, 885304, 1.26268e+07, 2958.75, 1.26247e+07, 1.26289e+07, 12621293, 12624221, 1.26279e+07, 12630607, 12630960, 2.02161e+06, 2312.33, 2.01998e+06, 2.02324e+06, 2017699, 2019940, 2022348, 2024137, 2024856
Sat Sep 23 14:20:58 EDT 2017, 8, 50, 31.872, 0.915093, 31.2273, 32.5167, 29.98, 31.52, 32.14, 33.01, 33.27, 484522, 14448.7, 474342, 494702, 459576, 474500, 494278, 499388, 502004, 813917, 49683.3, 778912, 848922, 746503, 775021, 811804, 874732, 914884, 132542, 11600.2, 124369, 140715, 119241, 124812, 133322, 141463, 159829, 1.22592e+06, 31429.9, 1.20378e+06, 1.24806e+06, 1182280, 1203211, 1.22619e+06, 1264352, 1288349, 168222, 5598.06, 164278, 172166, 158533, 164656, 171952, 173962, 174743, 9.17396e+06, 240614, 9.00443e+06, 9.34349e+06, 8843334, 8996779, 9.17237e+06, 9472257, 9653923, 1.21351e+06, 38941.4, 1.18607e+06, 1.24095e+06, 1142364, 1187626, 1239800, 1253540, 1260458, 2.51813e+07, 5828.38, 2.51772e+07, 2.51854e+07, 25171706, 25176494, 2.51831e+07, 25188221, 25189759, 4.0311e+06, 2815.51, 4.02912e+06, 4.03308e+06, 4025104, 4029918, 4.03118e+06, 4033375, 4036846
