# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Sun Sep 17 13:58:11 EDT 2017, 2, 25, 24.513, 0.529888, 24.1397, 24.8863, 23.51, 24.17, 24.765, 25.06, 25.07, 339343, 162.235, 339229, 339457, 339144, 339188, 339380, 339540, 339632, 253.4, 242.014, 82.8877, 423.912, 0, 49, 236, 472, 829, 253.4, 242.014, 82.8877, 423.912, 0, 49, 236, 472, 829, 4159.6, 21.001, 4144.8, 4174.4, 4125, 4149, 4160, 4178, 4209, 2087.4, 15.609, 2076.4, 2098.4, 2065, 2079, 2085.5, 2102, 2122, 2.18454e+06, 567.04, 2.18414e+06, 2.18494e+06, 2183702, 2184036, 2.18468e+06, 2185286, 2185460, 1092597, 500.996, 1.09224e+06, 1.09295e+06, 1092052, 1092116, 1.09252e+06, 1093204, 1093617, 4.97794e+06, 1029.07, 4.97721e+06, 4.97867e+06, 4976760, 4976887, 4.97837e+06, 4979303, 4979409, 2.4905e+06, 721.659, 2.48999e+06, 2.49101e+06, 2489502, 2489715, 2.49103e+06, 2491309, 2491412
Sun Sep 17 13:59:23 EDT 2017, 2, 50, 35.41, 1.27682, 34.5104, 36.3096, 33.44, 34.64, 35.735, 37.06, 37.11, 589970, 353.099, 589721, 590219, 589584, 589708, 589998, 590324, 590808, 552.3, 741.546, 29.8397, 1074.76, 11, 50, 368.5, 1365, 2471, 552.2, 741.619, 29.6883, 1074.71, 10, 50, 368.5, 1365, 2471, 8392.4, 62.8446, 8348.12, 8436.68, 8335, 8345, 8383, 8460, 8552, 4224.5, 61.0397, 4181.49, 4267.51, 4180, 4185, 4206, 4304, 4377, 2.6741e+06, 934.53, 2.67344e+06, 2.67476e+06, 2672859, 2673595, 2674192, 2674633, 2676394, 1.33735e+06, 876.862, 1.33673e+06, 1.33797e+06, 1336478, 1336931, 1.33725e+06, 1337845, 1339715, 9.3804e+06, 1634.48, 9.37925e+06, 9.38155e+06, 9377068, 9379360, 9.38119e+06, 9381703, 9382770, 4690823, 900.355, 4.69019e+06, 4.69146e+06, 4689173, 4690200, 4691148, 4691572, 4692247
Sun Sep 17 14:00:30 EDT 2017, 2, 75, 44.931, 1.64795, 43.7699, 46.0921, 42.15, 43.66, 46.085, 46.38, 46.41, 805554, 1259.12, 804667, 806441, 804488, 804696, 805060, 807712, 808040, 1325.7, 1717.06, 115.936, 2535.46, 21, 53, 724.5, 4387, 4580, 1323.6, 1718.56, 112.779, 2534.42, 12, 53, 724.5, 4387, 4580, 12660.6, 223.443, 12503.2, 12818, 12482, 12506, 12589, 13088, 13090, 6414.8, 233.173, 6250.52, 6579.08, 6253, 6261, 6309.5, 6848, 6872, 2965912, 2262.15, 2.96432e+06, 2.96751e+06, 2963808, 2964483, 2.9649e+06, 2969521, 2970612, 1.48394e+06, 2367.81, 1.48227e+06, 1.48561e+06, 1482237, 1482334, 1482934, 1487981, 1488795, 1.30712e+07, 1697.92, 1.307e+07, 1.30724e+07, 13068101, 13069612, 13072008, 13073242, 13073543, 6.537e+06, 1160.34, 6.53618e+06, 6.53782e+06, 6534174, 6536697, 6.53714e+06, 6538278, 6538672
Sun Sep 17 14:02:13 EDT 2017, 2, 100, 52.235, 1.63277, 51.0846, 53.3854, 49.40, 51.48, 52.68, 54.18, 54.78, 1.00593e+06, 794.771, 1.00537e+06, 1.00649e+06, 1005112, 1005256, 1005852, 1006436, 1007984, 583.7, 347.724, 338.709, 828.691, 119, 302, 611, 995, 1247, 577.8, 353.581, 328.683, 826.917, 83, 297, 605.5, 995, 1247, 16668.2, 42.5036, 16638.3, 16698.1, 16582, 16631, 16689.5, 16711, 16719, 8353.2, 26.5096, 8334.52, 8371.88, 8313, 8336, 8364, 8386, 8388, 3.19393e+06, 910.414, 3.19329e+06, 3.19457e+06, 3192519, 3192936, 3.19439e+06, 3194623, 3195527, 1.59741e+06, 723.981, 1.5969e+06, 1.59792e+06, 1596352, 1596695, 1.59774e+06, 1598131, 1598638, 1.65094e+07, 2113.93, 1.65079e+07, 1.65109e+07, 16505867, 16508032, 16509970, 16512028, 16512534, 8.25603e+06, 1272.31, 8.25513e+06, 8.25693e+06, 8254435, 8254652, 8255904, 8257862, 8257914
Sun Sep 17 14:03:22 EDT 2017, 2, 125, 59.787, 1.23314, 58.9182, 60.6558, 56.58, 59.91, 60.475, 60.50, 60.51, 1197546, 1358.1, 1.19659e+06, 1.1985e+06, 1196220, 1196636, 1197052, 1199408, 1200584, 2006.1, 1732.15, 785.704, 3226.5, 300, 742, 1758.5, 4608, 5595, 1996.5, 1732.94, 775.548, 3217.45, 300, 742, 1710.5, 4608, 5595, 21039.4, 282.256, 20840.5, 21238.3, 20788, 20839, 20946, 21462, 21643, 10630.7, 275.961, 10436.3, 10825.1, 10404, 10423, 10563.5, 11035, 11236, 3.37991e+06, 2490.72, 3.37816e+06, 3.38166e+06, 3377420, 3378365, 3.37892e+06, 3382893, 3385663, 1.69129e+06, 2393.55, 1.6896e+06, 1.69298e+06, 1688972, 1689626, 1690466, 1694624, 1696592, 1.98552e+07, 2306.54, 1.98536e+07, 1.98568e+07, 19851840, 19853765, 19855542, 19857598, 19860081, 9.93203e+06, 1396.76, 9.93105e+06, 9.93301e+06, 9929777, 9931281, 9932258, 9934173, 9934316
Sun Sep 17 14:35:35 EDT 2017, 4, 25, 12.322, 0.207403, 12.1759, 12.4681, 12.15, 12.16, 12.33, 12.48, 12.78, 173521, 366.322, 173263, 173779, 172900, 173204, 173640, 173944, 174104, 4271.5, 559.958, 3876.98, 4666.02, 3197, 3921, 4503, 4856, 5079, 1749.2, 155.704, 1639.5, 1858.9, 1458, 1614, 1838.5, 1888, 1983, 8895.1, 101.491, 8823.59, 8966.61, 8676, 8871, 8918, 9022, 9039, 2347.3, 44.7662, 2315.76, 2378.84, 2268, 2316, 2373, 2394, 2410, 2.19836e+06, 2326.79, 2.19672e+06, 2.2e+06, 2193299, 2197703, 2198574, 2201485, 2201800, 552899, 997.274, 552196, 553602, 551166, 552371, 552770, 554105, 554744, 4.97768e+06, 540.245, 4.9773e+06, 4.97806e+06, 4976430, 4977490, 4.97797e+06, 4978068, 4978351, 1.24521e+06, 341.712, 1.24497e+06, 1.24545e+06, 1244636, 1245023, 1245221, 1245656, 1245658
Sun Sep 17 14:36:43 EDT 2017, 4, 50, 18.397, 0.457188, 18.0749, 18.7191, 17.85, 17.89, 18.485, 19.11, 19.11, 300346, 1488.82, 299297, 301395, 298392, 298780, 300666, 302720, 302884, 9381.8, 1964.76, 7997.52, 10766.1, 6800, 7775, 9967, 11697, 13367, 3601.4, 681.87, 3120.98, 4081.82, 2768, 3054, 3773, 4610, 4819, 18339.1, 584.439, 17927.3, 18750.9, 17692, 17848, 18429.5, 19129, 19568, 4899.4, 203.018, 4756.36, 5042.44, 4672, 4743, 4899, 5240, 5272, 2697909, 8875.95, 2.69166e+06, 2.70416e+06, 2688243, 2689937, 2699624, 2710482, 2715835, 679642, 3587.35, 677115, 682169, 675552, 676601, 679933, 685495, 686222, 9380812, 1302.09, 9.37989e+06, 9.38173e+06, 9379325, 9379736, 9.38116e+06, 9382810, 9383256, 2.34649e+06, 545.676, 2.34611e+06, 2.34687e+06, 2345804, 2346012, 2346571, 2347132, 2347478
Sun Sep 17 14:37:50 EDT 2017, 4, 75, 22.712, 0.497871, 22.3612, 23.0628, 22.05, 22.09, 22.985, 23.02, 23.56, 407580, 1778.06, 406327, 408833, 406372, 406448, 407100, 408552, 412552, 11034.5, 3613.65, 8488.48, 13580.5, 7210, 7599, 11273.5, 12825, 20192, 4769.4, 985.157, 4075.3, 5463.5, 3853, 3876, 4713, 5048, 7422, 27072.8, 945.768, 26406.5, 27739.1, 26258, 26399, 26985.5, 27377, 29694, 7193.4, 293.944, 6986.3, 7400.5, 6963, 6997, 7129.5, 7379, 7993, 2.98647e+06, 11255.4, 2.97854e+06, 2.9944e+06, 2977082, 2978932, 2985775, 2988884, 3018170, 751535, 4023.74, 748700, 754370, 748537, 748961, 750684, 753544, 762657, 1.30712e+07, 1765.77, 1.307e+07, 1.30724e+07, 13068963, 13069807, 13070980, 13074065, 13074207, 3.2709e+06, 757.947, 3.27037e+06, 3.27143e+06, 3269364, 3270303, 3.27121e+06, 3271803, 3271843
Sun Sep 17 14:38:53 EDT 2017, 4, 100, 26.762, 0.495011, 26.4132, 27.1108, 25.97, 26.27, 27.025, 27.22, 27.50, 507366, 1022.66, 506645, 508087, 505468, 506892, 507524, 508308, 509208, 11624, 2392.77, 9938.16, 13309.8, 8102, 10028, 12203, 14157, 16658, 4926.4, 844.346, 4331.51, 5521.29, 3369, 4383, 5143.5, 5731, 6483, 35452.4, 604.086, 35026.8, 35878, 34637, 35059, 35519, 35899, 36899, 9303.1, 205.16, 9158.55, 9447.65, 8931, 9198, 9327, 9528, 9660, 3.21166e+06, 5351.83, 3.20789e+06, 3.21543e+06, 3204598, 3208429, 3.21146e+06, 3215369, 3225249, 806549, 2074.92, 805087, 808011, 803023, 805324, 806982, 808640, 810738, 16508827, 1518, 1.65078e+07, 1.65099e+07, 16506460, 16508063, 16509063, 16510424, 16511549, 4.12867e+06, 723.476, 4.12816e+06, 4.12918e+06, 4127375, 4128212, 4.12878e+06, 4129564, 4129829
Sun Sep 17 14:40:00 EDT 2017, 4, 125, 30.512, 0.676917, 30.0351, 30.9889, 29.58, 29.86, 30.79, 31.37, 31.40, 603525, 1819.72, 602243, 604807, 601496, 602276, 603314, 606316, 607504, 13160.1, 3839.53, 10454.9, 15865.3, 8786, 10120, 12501.5, 19251, 20903, 5780.4, 1028.7, 5055.62, 6505.18, 4511, 5407, 5566.5, 7608, 7648, 44275.1, 1096.07, 43502.9, 45047.3, 43142, 43326, 44048.5, 46208, 46385, 11660.4, 404.07, 11375.7, 11945.1, 11243, 11339, 11616, 12363, 12474, 3.39798e+06, 7876.13, 3.39243e+06, 3.40353e+06, 3389953, 3392286, 3.39593e+06, 3411465, 3414266, 853747, 3354.21, 851384, 856110, 850724, 851572, 852942, 859943, 860613, 19855104, 3102.88, 1.98529e+07, 1.98573e+07, 19850187, 19853217, 19856208, 19858389, 19860395, 4967236, 780.991, 4.96669e+06, 4.96779e+06, 4966282, 4966654, 4.96729e+06, 4968201, 4968856
