# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, agentBktsMax_mean, agentBktsMax_sd, agentBktsMax_ci, agentBktsMax_ci, agentBktsMax_min, agentBktsMax_box_q1, agentBktsMax_median, agentBktsMax_box_q2, agentBktsMax_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, schedBktSzMax_mean, schedBktSzMax_sd, schedBktSzMax_ci, schedBktSzMax_ci, schedBktSzMax_min, schedBktSzMax_box_q1, schedBktSzMax_median, schedBktSzMax_box_q2, schedBktSzMax_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapCompMax_mean, fixHeapCompMax_sd, fixHeapCompMax_ci, fixHeapCompMax_ci, fixHeapCompMax_min, fixHeapCompMax_box_q1, fixHeapCompMax_median, fixHeapCompMax_box_q2, fixHeapCompMax_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max, fixHeapOpsMax_mean, fixHeapOpsMax_sd, fixHeapOpsMax_ci, fixHeapOpsMax_ci, fixHeapOpsMax_min, fixHeapOpsMax_box_q1, fixHeapOpsMax_median, fixHeapOpsMax_box_q2, fixHeapOpsMax_max
Tue Jan 17 14:03:32 EST 2017, 2, 1, 0.000, 2, 20.474, 0.78122, 19.9236, 21.0244, 19.26, 19.88, 20.53, 21.68, 21.78, 8686.8, 140.628, 8587.72, 8785.88, 8368, 8700, 8730, 8844, 8852, 72734.2, 65920.2, 26289.8, 119179, 2124, 10618, 75015, 143738, 211150, 62784, 61161, 19692.7, 105875, 1666, 10276, 59701.5, 123567, 211150, 199878, 24311.9, 182749, 217007, 173633, 176936, 200954, 226436, 249963, 109614, 22248.2, 93938.9, 125289, 87021, 90243, 108454, 132725, 162496, 1.16683e+07, 112401, 1.15891e+07, 1.17475e+07, 11555825, 11574911, 1.16699e+07, 11780334, 11922059, 5.86994e+06, 98373.3, 5.80063e+06, 5.93925e+06, 5778717, 5792747, 5.8607e+06, 5956157, 6117421, 1.57766e+07, 46861.4, 1.57436e+07, 1.58096e+07, 15735622, 15743062, 15775154, 15808553, 15893164, 7.88862e+06, 23906, 7.87178e+06, 7.90546e+06, 7867842, 7871569, 7887900, 7904955, 7948289, 2.77321, 0.0183005, 2.76032, 2.7861, 2.75549, 2.75791, 2.77426, 2.78923, 2.81626, 1.39414, 0.0131669, 1.38486, 1.40342, 1.37856, 1.38307, 1.3951, 1.4063, 1.42506, 2.72614, 0.0029957, 2.72403, 2.72825, 2.72296, 2.72408, 2.72609, 2.72799, 2.73363, 1.3636, 0.00201542, 1.36218, 1.36502, 1.36187, 1.36213, 1.36334, 1.36516, 1.36881, 14.0068, 0.0783105, 13.9516, 14.062, 13.9216, 13.9365, 14.013, 14.0938, 14.1704, 7.02982, 0.0685581, 6.98152, 7.07812, 6.96145, 6.97299, 7.02644, 7.09651, 7.19473, 1.65791e+07, 252706, 1.64011e+07, 1.67571e+07, 16312345, 16345467, 16586990, 16844167, 17120649, 8.39423e+06, 232379, 8.23051e+06, 8.55795e+06, 8160300, 8194344, 8.3835e+06, 8621495, 8960943
Tue Jan 17 14:04:56 EST 2017, 2, 10, 0.000, 2, 37.903, 1.58736, 36.7846, 39.0214, 35.98, 36.96, 37.98, 39.08, 41.77, 8990, 225.461, 8831.15, 9148.85, 8752, 8836, 8936, 9336, 9444, 164555, 146462, 61364.4, 267746, 26018, 74563, 145476, 303698, 537444, 161944, 147334, 58139, 265749, 24592, 74563, 144944, 302072, 536773, 514621, 75694.1, 461290, 567952, 448406, 469031, 500230, 588544, 710551, 295174, 76115.9, 241546, 348802, 229550, 250757, 281737, 369675, 492042, 2.00494e+07, 201723, 1.99073e+07, 2.01915e+07, 19881004, 19937372, 2.00077e+07, 20228411, 20583363, 1.01184e+07, 202425, 9.97578e+06, 1.0261e+07, 9951385, 10009469, 1.0079e+07, 10297235, 10654372, 3.97258e+07, 62.9702, 3.97258e+07, 3.97258e+07, 39725726, 39725739, 3.97258e+07, 39725825, 39725949, 1.9863e+07, 35.6072, 1.9863e+07, 1.9863e+07, 19862937, 19862946, 19862961, 19862990, 19863064, 2.01476, 0.0134369, 2.00529, 2.02423, 2.00133, 2.00627, 2.01338, 2.02617, 2.04918, 1.01589, 0.00885351, 1.00965, 1.02213, 1.0047, 1.00966, 1.01646, 1.02554, 1.03533, 3.9913, 0.00891135, 3.98502, 3.99758, 3.96867, 3.98964, 3.99533, 3.9994, 4.00004, 2.00062, 0.000344826, 2.00038, 2.00086, 1.99961, 2.00066, 2.00074, 2.00082, 2.00086, 16.0608, 0.0445223, 16.0294, 16.0922, 16.0303, 16.0319, 16.0495, 16.0973, 16.1814, 8.05964, 0.0537573, 8.02177, 8.09751, 8.0158, 8.0277, 8.05241, 8.10711, 8.19956, 2.77778e+07, 470022, 2.74466e+07, 2.8109e+07, 27333497, 27490135, 2.77165e+07, 28252662, 28962423, 14153684, 460532, 1.38292e+07, 1.44782e+07, 13721800, 13886673, 14097131, 14617242, 15315845
Tue Jan 17 14:05:40 EST 2017, 2, 1, 0.250, 2, 20.014, 0.911726, 19.3716, 20.6564, 18.43, 19.38, 20.17, 21.2, 21.46, 8384.4, 171.734, 8263.4, 8505.4, 8148, 8208, 8472, 8556, 8636, 94784.8, 79556.6, 38732.8, 150837, 1303, 19629, 134312, 192368, 221079, 94230, 79869.8, 37957.3, 150503, 1102, 19629, 134058, 192368, 221079, 158738, 24639.2, 141378, 176098, 129947, 134999, 171736, 188829, 196042, 93476.9, 24382.2, 76298.3, 110656, 65084, 70183, 106630, 123121, 130217, 1.17053e+07, 165537, 1.15887e+07, 1.18219e+07, 11529028, 11550522, 1.17625e+07, 11923972, 11991765, 5.92936e+06, 151397, 5.82269e+06, 6.03603e+06, 5765613, 5787769, 5.99067e+06, 6123637, 6186502, 1.57937e+07, 74089, 1.57415e+07, 1.58459e+07, 15735256, 15735789, 15773219, 15912065, 15937438, 7.89793e+06, 38209.3, 7.87101e+06, 7.92485e+06, 7867713, 7868010, 7.88763e+06, 7958464, 7972471, 2.67326, 0.0299361, 2.65217, 2.69435, 2.6432, 2.64638, 2.67727, 2.71705, 2.72584, 1.34301, 0.0173457, 1.33079, 1.35523, 1.3227, 1.32927, 1.34753, 1.36738, 1.37141, 2.73294, 0.00437578, 2.72986, 2.73602, 2.72971, 2.72983, 2.73081, 2.74024, 2.74117, 1.36728, 0.00254262, 1.36549, 1.36907, 1.36521, 1.36542, 1.3664, 1.37133, 1.37213, 13.4376, 0.126481, 13.3485, 13.5267, 13.2913, 13.3186, 13.4935, 13.6, 13.6385, 6.78347, 0.120127, 6.69883, 6.86811, 6.64643, 6.6674, 6.84103, 6.93444, 6.97261, 1.71299e+07, 337303, 1.68923e+07, 1.73675e+07, 16748154, 16810359, 1.72817e+07, 17553404, 17686206, 8.75704e+06, 330151, 8.52443e+06, 8.98965e+06, 8377212, 8454584, 8915059, 9167182, 9293309
Tue Jan 17 14:06:54 EST 2017, 2, 10, 0.250, 2, 35.46, 1.76331, 34.2177, 36.7023, 32.72, 33.7, 35.91, 38, 38.29, 8639.2, 230.046, 8477.12, 8801.28, 8380, 8452, 8694, 8724, 9220, 162832, 146744, 59442.7, 266221, 6001, 25045, 173681, 377231, 435550, 161350, 147857, 57176.5, 265523, 5428, 16606, 172380, 377231, 435550, 394112, 61966.7, 350453, 437771, 329433, 336628, 397708, 485664, 508149, 229936, 62372.1, 185991, 273881, 165637, 169818, 233694, 322011, 344498, 19091871, 206753, 1.89462e+07, 1.92375e+07, 18888876, 18907711, 19087681, 19400746, 19496473, 9.64832e+06, 207569, 9.50208e+06, 9.79456e+06, 9446989, 9458302, 9642764, 9959067, 10054664, 3.97258e+07, 42.6644, 3.97258e+07, 3.97258e+07, 39725735, 39725740, 39725772, 39725833, 39725858, 1.98632e+07, 87.839, 1.98631e+07, 1.98633e+07, 19863057, 19863166, 19863230, 19863334, 19863346, 1.76175, 0.0176733, 1.7493, 1.7742, 1.74261, 1.74489, 1.7633, 1.78761, 1.79378, 0.885358, 0.0102175, 0.878159, 0.892557, 0.872633, 0.873502, 0.888528, 0.898947, 0.901172, 4.19938, 0.0076778, 4.19397, 4.20479, 4.18521, 4.19383, 4.20369, 4.20747, 4.20749, 2.10375, 0.000167335, 2.10363, 2.10387, 2.10351, 2.10361, 2.10386, 2.10395, 2.10396, 13.8059, 0.0816981, 13.7483, 13.8635, 13.7258, 13.7306, 13.8046, 13.9301, 13.9616, 6.94954, 0.088239, 6.88737, 7.01171, 6.86494, 6.86719, 6.94917, 7.08417, 7.11565, 2.85762e+07, 508576, 2.82179e+07, 2.89345e+07, 28051885, 28108479, 2.85979e+07, 29324438, 29538156, 1.45669e+07, 503746, 1.4212e+07, 1.49218e+07, 14046678, 14074465, 1.45918e+07, 15304784, 15517291
Tue Jan 17 14:07:58 EST 2017, 2, 1, 0.000, 5, 36.864, 1.75679, 35.6262, 38.1018, 34.77, 35.64, 37.285, 38.78, 40.56, 8976, 221.218, 8820.14, 9131.86, 8844, 8852, 8922, 9028, 9616, 93569.2, 70434.6, 43944.1, 143194, 19077, 40552, 88323.5, 198862, 247497, 92196.5, 70507.1, 42520.3, 141873, 18774, 40503, 83310.5, 198862, 247497, 503009, 64093.4, 457852, 548166, 444058, 457135, 494726, 588251, 655315, 281804, 57431, 241341, 322267, 227698, 240862, 274208, 362048, 415828, 17985090, 215008, 1.78336e+07, 1.81366e+07, 17815482, 17838058, 1.79491e+07, 18239025, 18524569, 9.04907e+06, 157358, 8.9382e+06, 9.15994e+06, 8918153, 8939821, 9.02574e+06, 9251571, 9433415, 3.9998e+07, 1.08481e+06, 3.92337e+07, 4.07623e+07, 39343377, 39358613, 3.96432e+07, 40902915, 42951133, 2.00049e+07, 552717, 1.96155e+07, 2.03943e+07, 19671788, 19679505, 19824660, 20466502, 21509836, 5.98949, 0.112414, 5.91029, 6.06869, 5.91942, 5.92223, 5.95454, 6.08739, 6.29333, 3.00644, 0.0592887, 2.96467, 3.04821, 2.96504, 2.9703, 2.98908, 3.06224, 3.16461, 4.47357, 0.0884094, 4.41128, 4.53586, 4.42152, 4.42227, 4.44388, 4.54449, 4.71572, 2.23762, 0.0443342, 2.20638, 2.26886, 2.21114, 2.2117, 2.22284, 2.27401, 2.35862, 16.8674, 0.0945967, 16.8008, 16.934, 16.7928, 16.8025, 16.8518, 16.9813, 17.1034, 8.4533, 0.0691958, 8.40455, 8.50205, 8.39648, 8.40374, 8.44314, 8.54391, 8.62081, 2.02229e+07, 241505, 2.00527e+07, 2.03931e+07, 19988583, 20043468, 2.0198e+07, 20565249, 20775005, 1.0246e+07, 221197, 1.00902e+07, 1.04018e+07, 10027289, 10086168, 10220129, 10572710, 10745101
Tue Jan 17 14:09:22 EST 2017, 2, 10, 0.000, 5, 55.92, 2.55169, 54.1222, 57.7178, 51.87, 55.08, 56.205, 58.28, 60.96, 9324, 111.671, 9245.32, 9402.68, 9164, 9228, 9352, 9456, 9528, 159332, 116532, 77228.7, 241435, 20872, 36995, 174774, 266630, 407593, 157743, 117501, 74957, 240529, 20872, 36992, 174764, 266630, 407589, 1271531, 131155, 1.17913e+06, 1.36394e+06, 1115116, 1133507, 1289699, 1393555, 1548066, 724126, 132196, 630987, 817265, 569435, 587818, 744006, 847871, 1002319, 2.01592e+07, 118287, 2.00759e+07, 2.02425e+07, 20019871, 20035994, 2.01739e+07, 20265644, 20414744, 1.01581e+07, 119253, 1.00741e+07, 1.02421e+07, 10020371, 10036491, 1.01744e+07, 10266144, 10415240, 9.93158e+07, 2600.22, 9.9314e+07, 9.93176e+07, 99314809, 99314871, 99314895, 99315018, 99323559, 4.96582e+07, 1256.23, 4.96573e+07, 4.96591e+07, 49657739, 49657759, 49657781, 49657846, 49661964, 2.65032, 0.0125144, 2.6415, 2.65914, 2.63627, 2.63707, 2.65126, 2.66269, 2.67684, 1.33128, 0.00927363, 1.32475, 1.33781, 1.31972, 1.32203, 1.33266, 1.34011, 1.35057, 9.91331, 0.0141172, 9.90336, 9.92326, 9.88326, 9.90303, 9.91827, 9.92886, 9.93004, 4.96609, 0.000428808, 4.96579, 4.96639, 4.96501, 4.9662, 4.96621, 4.96628, 4.96666, 16.5666, 0.0417888, 16.5372, 16.596, 16.5288, 16.5299, 16.5607, 16.5971, 16.6718, 8.29707, 0.0389402, 8.26963, 8.32451, 8.26476, 8.26548, 8.2889, 8.32344, 8.39805, 2.51936e+07, 254915, 2.5014e+07, 2.53732e+07, 24863644, 24916424, 25265776, 25439133, 25682607, 1.28261e+07, 275964, 1.26317e+07, 1.30205e+07, 12472576, 12529795, 12911477, 13100812, 13335873
Tue Jan 17 14:11:02 EST 2017, 2, 1, 0.250, 5, 35.42, 0.878658, 34.8009, 36.0391, 33.86, 35.04, 35.62, 35.82, 37.32, 8774.4, 133.533, 8680.32, 8868.48, 8548, 8704, 8796, 8836, 9088, 98697.1, 52857.9, 61455.8, 135938, 4314, 60211, 120888, 166801, 185000, 97403.7, 54259.6, 59174.8, 135633, 4243, 60211, 120888, 166801, 185000, 379625, 33336.7, 356137, 403113, 326113, 353812, 390407, 425945, 438843, 215349, 32164.2, 192688, 238010, 164010, 191577, 227236, 258836, 270587, 1.79365e+07, 123742, 1.78493e+07, 1.80237e+07, 17773014, 17838615, 17953604, 18126566, 18180827, 9.03239e+06, 102346, 8.96028e+06, 9.1045e+06, 8889303, 8953582, 9055851, 9182589, 9225915, 3.96529e+07, 406343, 3.93666e+07, 3.99392e+07, 39342266, 39398365, 3.9555e+07, 40347565, 40546277, 1.983e+07, 207949, 1.96835e+07, 1.99765e+07, 19671212, 19699230, 19779749, 20184929, 20287591, 5.75015, 0.0463595, 5.71749, 5.78281, 5.70808, 5.71872, 5.74311, 5.82839, 5.85026, 2.88459, 0.0253608, 2.86672, 2.90246, 2.85633, 2.8677, 2.88368, 2.92643, 2.93716, 4.45142, 0.031994, 4.42888, 4.47396, 4.42839, 4.43218, 4.44278, 4.50626, 4.5221, 2.22669, 0.0162281, 2.21526, 2.23812, 2.21444, 2.21647, 2.22262, 2.25445, 2.26243, 16.2749, 0.065217, 16.229, 16.3208, 16.1882, 16.222, 16.285, 16.3762, 16.4011, 8.16578, 0.0523912, 8.12887, 8.20269, 8.09519, 8.12114, 8.17825, 8.24358, 8.26434, 20653787, 169372, 2.05345e+07, 2.07731e+07, 20375611, 20522221, 2.07134e+07, 20883096, 20949764, 1.0473e+07, 168831, 1.0354e+07, 1.0592e+07, 10198704, 10353706, 1.05391e+07, 10696532, 10757472
Tue Jan 17 14:12:26 EST 2017, 2, 10, 0.250, 5, 54.425, 1.81547, 53.1459, 55.7041, 50.96, 53.45, 54.525, 56.33, 58.07, 9304.8, 225.067, 9146.23, 9463.37, 9088, 9152, 9250, 9712, 9768, 138283, 97535.6, 69563.8, 207002, 18461, 81806, 120150, 255155, 343283, 135340, 98703.7, 65797.8, 204882, 18216, 77760, 111502, 255155, 343283, 943082, 87015.5, 881775, 1.00439e+06, 835094, 892254, 928692, 1044381, 1127490, 531238, 87985.7, 469247, 593229, 425745, 480020, 511530, 635267, 718253, 2.01384e+07, 99868.5, 2.0068e+07, 2.02088e+07, 20014859, 20078659, 20121776, 20252168, 20353556, 1.01373e+07, 100876, 1.00662e+07, 1.02084e+07, 10016420, 10076357, 10114846, 10253971, 10355400, 99320500, 9715.28, 9.93137e+07, 9.93273e+07, 99314879, 99314925, 99314984, 99336026, 99342500, 4.96627e+07, 4853.25, 4.96593e+07, 4.96661e+07, 49659758, 49659835, 4.96601e+07, 49670476, 49673656, 2.40299, 0.0126378, 2.39409, 2.41189, 2.38729, 2.39563, 2.40074, 2.41832, 2.42916, 1.20556, 0.00834481, 1.19968, 1.21144, 1.19577, 1.19906, 1.20366, 1.21589, 1.22273, 9.92056, 0.00900282, 9.91422, 9.9269, 9.90222, 9.91204, 9.92525, 9.92872, 9.93193, 4.96702, 0.000647583, 4.96656, 4.96748, 4.96595, 4.96669, 4.96712, 4.96716, 4.96853, 14.8844, 0.0640282, 14.8393, 14.9295, 14.8083, 14.8456, 14.8688, 14.9655, 15.019, 7.46456, 0.0544153, 7.42622, 7.5029, 7.41323, 7.42486, 7.44914, 7.53137, 7.58562, 2.53844e+07, 206847, 2.52387e+07, 2.55301e+07, 25127332, 25260840, 2.53547e+07, 25617978, 25824574, 1.28801e+07, 224342, 1.2722e+07, 1.30382e+07, 12610528, 12729535, 12834306, 13145097, 13350642
Tue Jan 17 14:14:31 EST 2017, 2, 1, 0.000, 10, 54.05, 3.39282, 51.6596, 56.4404, 48.03, 51.27, 56.2, 57.11, 59.15, 9856.4, 402.136, 9573.07, 10139.7, 9596, 9596, 9750, 10228, 10936, 153720, 52318.5, 116859, 190581, 85460, 118136, 153719, 214336, 252235, 152660, 52638.2, 115573, 189747, 85460, 116727, 150384, 214336, 252235, 1.10358e+06, 123461, 1.01659e+06, 1.19057e+06, 974792, 996860, 1105447, 1230082, 1368227, 645240, 100565, 574386, 716094, 542250, 563460, 645440, 749813, 857216, 1.99781e+07, 95940.4, 1.99105e+07, 2.00457e+07, 19871202, 19893454, 1.9981e+07, 20087259, 20168376, 10073753, 80549.8, 1.0017e+07, 1.01305e+07, 9986723, 10007876, 1.00746e+07, 10164692, 10231867, 8.24751e+07, 3.67782e+06, 7.98839e+07, 8.50663e+07, 78723770, 79726951, 8.23635e+07, 86282952, 90876619, 4.12628e+07, 1.86248e+06, 3.99506e+07, 4.2575e+07, 39362033, 39866053, 4.12007e+07, 43185303, 45519644, 8.952, 0.186068, 8.8209, 9.0831, 8.75726, 8.81109, 8.95043, 9.14529, 9.36987, 4.48781, 0.0939237, 4.42164, 4.55398, 4.39031, 4.41723, 4.48325, 4.58707, 4.69886, 8.32134, 0.354593, 8.07151, 8.57117, 7.96067, 8.05607, 8.31298, 8.68514, 9.13345, 4.16203, 0.177157, 4.03721, 4.28685, 3.98238, 4.03033, 4.15756, 4.34363, 4.56851, 17.8117, 0.0526587, 17.7746, 17.8488, 17.7537, 17.7683, 17.8126, 17.8717, 17.9191, 8.94339, 0.0414181, 8.91421, 8.97257, 8.89868, 8.90887, 8.94472, 8.99046, 9.02604, 2.06406e+07, 101025, 2.05694e+07, 2.07118e+07, 20495048, 20569563, 20647351, 20766889, 20816733, 1.04915e+07, 110896, 1.04134e+07, 1.05696e+07, 10345586, 10412376, 1.04907e+07, 10627089, 10694438
Tue Jan 17 14:17:05 EST 2017, 2, 10, 0.000, 10, 82.154, 4.38284, 79.066, 85.242, 74.98, 80.05, 83.44, 87, 89.77, 10296.4, 524.444, 9926.9, 10665.9, 9936, 9944, 10032, 11156, 11408, 135642, 76540.9, 81714.7, 189569, 19494, 74740, 166716, 250263, 254558, 132558, 78427, 77301.8, 187814, 19393, 67201, 166698, 250263, 253111, 2.49554e+06, 174451, 2.37263e+06, 2.61845e+06, 2222983, 2358472, 2568476, 2756375, 2767209, 1396655, 179129, 1.27045e+06, 1.52286e+06, 1131439, 1256582, 1476085, 1665020, 1672773, 2.01352e+07, 76834, 2.00811e+07, 2.01893e+07, 20018494, 20073740, 20168348, 20249263, 20253992, 1.01326e+07, 78658.2, 1.00772e+07, 1.0188e+07, 10018893, 10066701, 10168830, 10249763, 10252674, 1.98667e+08, 100966, 1.98596e+08, 1.98738e+08, 198627160, 198627256, 198627348, 198678229, 198966182, 9.93336e+07, 50489.6, 9.9298e+07, 9.93692e+07, 99313849, 99313927, 9.9314e+07, 99339362, 99483376, 2.88129, 0.00795337, 2.87569, 2.88689, 2.87077, 2.87414, 2.88444, 2.89302, 2.895, 1.44524, 0.00597405, 1.44103, 1.44945, 1.43671, 1.43998, 1.44809, 1.45321, 1.45525, 19.838, 0.0178989, 19.8254, 19.8506, 19.8089, 19.8239, 19.8475, 19.8593, 19.8605, 9.9336, 0.00552555, 9.92971, 9.93749, 9.92689, 9.93223, 9.93233, 9.93442, 9.94927, 16.5724, 0.0221822, 16.5568, 16.588, 16.5387, 16.5543, 16.5814, 16.6024, 16.6033, 8.29665, 0.0196715, 8.28279, 8.31051, 8.26947, 8.28084, 8.30187, 8.32171, 8.32603, 2.49706e+07, 206879, 2.48248e+07, 2.51164e+07, 24673125, 24806100, 2.50271e+07, 25296606, 25309406, 1.26892e+07, 228318, 1.25283e+07, 1.28501e+07, 12367903, 12495874, 12765888, 13037787, 13048945
