# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Thu Aug 10 15:41:36 EDT 2017, 2, 1, 14.705, 0.197091, 14.5661, 14.8439, 14.50, 14.52, 14.815, 14.85, 15.11, 123302, 1702.01, 122103, 124501, 120132, 122244, 123608, 125704, 125892, 4105.8, 968.631, 3423.35, 4788.25, 2300, 3546, 4395.5, 5291, 5549, 4105.8, 968.631, 3423.35, 4788.25, 2300, 3546, 4395.5, 5291, 5549, 2153.3, 102, 2081.44, 2225.16, 1980, 2072, 2183, 2266, 2309, 1242.5, 102.359, 1170.38, 1314.62, 1074, 1162, 1272.5, 1359, 1399, 2.00231e+06, 11687.4, 1.99408e+06, 2.01054e+06, 1981354, 1994998, 2.0049e+06, 2018532, 2019731, 1.02094e+06, 11661, 1.01272e+06, 1.02916e+06, 999780, 1014555, 1.02382e+06, 1037261, 1037796, 2.02242e+06, 1016.47, 2.0217e+06, 2.02314e+06, 2020817, 2021167, 2.02283e+06, 2023435, 2024039, 1.01179e+06, 572.283, 1.01139e+06, 1.01219e+06, 1010536, 1011543, 1011851, 1012444, 1012749
Thu Aug 10 15:42:54 EDT 2017, 2, 2, 29.514, 0.576753, 29.1076, 29.9204, 28.33, 29.24, 29.835, 30.12, 30.14, 227540, 3067.66, 225379, 229701, 221948, 224812, 228370, 231488, 232116, 5058.6, 2074.33, 3597.12, 6520.08, 1216, 3250, 5729, 7717, 7965, 5031.2, 2124.31, 3534.51, 6527.89, 967, 3250, 5729, 7717, 7965, 4258.5, 298.799, 4047.98, 4469.02, 3731, 3990, 4368.5, 4643, 4678, 2432.9, 303.826, 2218.84, 2646.96, 1888, 2167, 2546.5, 2818, 2859, 3.81612e+06, 22833.1, 3.80003e+06, 3.83221e+06, 3778416, 3794964, 3822703, 3849132, 3849522, 1.92907e+06, 23025.3, 1.91285e+06, 1.94529e+06, 1889271, 1907326, 1936064, 1961329, 1962580, 4.04546e+06, 1473.04, 4.04442e+06, 4.0465e+06, 4043425, 4043806, 4046155, 4047202, 4047887, 2023365, 1005.82, 2.02266e+06, 2.02407e+06, 2021749, 2022563, 2.02372e+06, 2024364, 2025150
Thu Aug 10 15:45:11 EDT 2017, 2, 5, 101.729, 2.69324, 99.8315, 103.627, 96.48, 101.63, 102.5, 103.73, 105.48, 544333, 6097.95, 540037, 548629, 538396, 540988, 544014, 545632, 561416, 8916, 3801.12, 6237.9, 11594.1, 4741, 6892, 8596.5, 9963, 19449, 8763.5, 3878.05, 6031.2, 11495.8, 4283, 6789, 8290.5, 9959, 19449, 10399.7, 795.841, 9838.99, 10960.4, 9479, 10019, 10336, 10621, 12572, 5824.1, 801.867, 5259.14, 6389.06, 4901, 5436, 5754, 6047, 8016, 8.43019e+06, 46832.5, 8.39719e+06, 8.46319e+06, 8385682, 8405090, 8428557, 8440618, 8561388, 4.24598e+06, 46778.7, 4.21302e+06, 4.27894e+06, 4201101, 4220385, 4243370, 4255981, 4377239, 10114244, 1330.16, 1.01133e+07, 1.01152e+07, 10111877, 10113261, 10114499, 10115938, 10116406, 5.05783e+06, 927.449, 5.05718e+06, 5.05848e+06, 5056062, 5057372, 5058311, 5058623, 5059100
Thu Aug 10 15:50:48 EDT 2017, 2, 10, 306.541, 10.4213, 299.199, 313.883, 284.76, 300.08, 309.965, 317.16, 322.57, 1.07486e+06, 13923.5, 1.06505e+06, 1.08467e+06, 1062804, 1064292, 1076996, 1082932, 1110316, 16742.8, 8057.19, 11066.1, 22419.5, 9246, 10871, 18087, 21414, 37092, 15497.5, 8703.17, 9365.63, 21629.4, 7213, 8917, 17609, 19908, 37091, 20936.1, 1907.17, 19592.4, 22279.8, 19128, 19479, 21325.5, 22014, 25707, 11712.3, 1965.15, 10327.7, 13096.9, 9831, 10185, 12177, 12734, 16589, 1.39751e+07, 92068.1, 1.39102e+07, 1.404e+07, 13893516, 13907836, 1.39853e+07, 14031807, 14212127, 7.0383e+06, 93132.8, 6.97268e+06, 7.10392e+06, 6953850, 6969643, 7050472, 7090989, 7277852, 2.02202e+07, 2813.34, 2.02182e+07, 2.02222e+07, 20214575, 20218834, 2.02209e+07, 20223217, 20225130, 1.01115e+07, 1774.44, 1.01102e+07, 1.01128e+07, 10108759, 10110128, 1.01117e+07, 10113732, 10114771
Thu Aug 10 16:02:32 EDT 2017, 2, 15, 603.407, 27.7951, 583.824, 622.99, 562.47, 594.61, 606.07, 639.12, 658.93, 1.60583e+06, 42995.6, 1.57554e+06, 1.63612e+06, 1510944, 1590308, 1605188, 1650452, 1678148, 29201.6, 15028.4, 18613.3, 39789.9, 15036, 18066, 25285, 50870, 56490, 25826.7, 16372, 14291.7, 37361.7, 8704, 14692, 22378.5, 48421, 56450, 32467.5, 3506.49, 29997, 34938, 29179, 29956, 31804.5, 37340, 39551, 18396.6, 3647.11, 15827, 20966.2, 14821, 15888, 17703, 23168, 25873, 1.77701e+07, 178896, 1.76441e+07, 1.78961e+07, 17614717, 17640485, 1.77142e+07, 18056609, 18104223, 8.97831e+06, 182954, 8.84941e+06, 9.10721e+06, 8815665, 8850940, 8.9221e+06, 9276027, 9319672, 3.03277e+07, 3787.6, 3.0325e+07, 3.03304e+07, 30323712, 30325300, 3.03269e+07, 30334537, 30334900, 1.51684e+07, 2261.9, 1.51668e+07, 1.517e+07, 15163591, 15167274, 1.51689e+07, 15170458, 15172542
Thu Aug 10 16:04:22 EDT 2017, 4, 1, 6.887, 0.155116, 6.77771, 6.99629, 6.71, 6.76, 6.92, 7.08, 7.13, 65962, 1689.02, 64772, 67152, 64252, 64544, 66026, 68352, 69312, 9036.4, 2711.75, 7125.82, 10947, 5171, 6709, 10120, 11711, 14082, 3637.8, 783.857, 3085.53, 4190.07, 2745, 2768, 3810.5, 4124, 5428, 4413.2, 253.84, 4234.36, 4592.04, 4089, 4196, 4512.5, 4696, 4864, 1255.3, 81.5378, 1197.85, 1312.75, 1179, 1182, 1256, 1366, 1411, 2055894, 36453.2, 2.03021e+06, 2.08158e+06, 2010373, 2024313, 2.06978e+06, 2091154, 2125639, 528298, 10368.8, 520993, 535603, 517183, 519060, 529336, 539534, 549268, 2.02249e+06, 997.1, 2.02179e+06, 2.02319e+06, 2021231, 2021792, 2022424, 2023536, 2024589, 507356, 711.893, 506854, 507858, 506134, 506741, 507708, 508160, 508213
Thu Aug 10 16:05:30 EDT 2017, 4, 2, 11.709, 0.20729, 11.563, 11.855, 11.52, 11.56, 11.71, 11.86, 12.19, 120482, 2117.97, 118990, 121974, 116700, 119132, 121714, 122704, 122816, 16403.9, 3685.71, 13807.1, 19000.7, 9925, 14642, 18504.5, 19805, 20538, 6442.8, 1197.12, 5599.36, 7286.24, 4766, 5164, 6979.5, 7909, 8199, 9386.6, 510.37, 9027.02, 9746.18, 8507, 9127, 9655, 9933, 9998, 2674.7, 166.985, 2557.05, 2792.35, 2457, 2499, 2736, 2920, 2942, 3.93663e+06, 48501.2, 3.90246e+06, 3.9708e+06, 3852436, 3913099, 3963692, 3982260, 3993890, 1007237, 15614.4, 996236, 1.01824e+06, 979449, 998476, 1.01681e+06, 1022559, 1025129, 4.04373e+06, 1452.19, 4.04271e+06, 4.04475e+06, 4041078, 4042704, 4044483, 4045183, 4045421, 1012791, 595.138, 1.01237e+06, 1.01321e+06, 1011877, 1012230, 1.0133e+06, 1013405, 1013428
Thu Aug 10 16:06:57 EDT 2017, 4, 5, 36.147, 0.814887, 35.5729, 36.7211, 34.96, 35.57, 36.32, 37.07, 37.69, 281870, 4361.37, 278797, 284943, 274388, 278576, 283148, 286056, 289304, 29490.4, 8121.25, 23768.5, 35212.3, 18114, 22019, 33119, 38650, 42822, 12248.3, 2684.51, 10356.9, 14139.7, 8356, 10796, 12790.5, 15451, 17483, 23165.8, 1593.61, 22043, 24288.6, 20886, 21710, 23913.5, 24943, 25726, 6591.1, 521.942, 6223.36, 6958.84, 5844, 6313, 6688.5, 7152, 7631, 8.63776e+06, 104472, 8.56415e+06, 8.71137e+06, 8491197, 8537216, 8.68404e+06, 8756301, 8812696, 2.20463e+06, 33581.8, 2.18097e+06, 2.22829e+06, 2147579, 2180348, 2214563, 2235514, 2262890, 1.01146e+07, 2128.79, 1.01131e+07, 1.01161e+07, 10111048, 10112640, 1.01154e+07, 10117271, 10117357, 2.53104e+06, 1406.01, 2.53005e+06, 2.53203e+06, 2529101, 2530090, 2.53131e+06, 2532567, 2533428
Thu Aug 10 16:08:59 EDT 2017, 4, 10, 97.494, 2.61999, 95.6481, 99.3399, 94.43, 95.02, 99.55, 100.45, 100.72, 548153, 6608.52, 543497, 552809, 542476, 542760, 546010, 558252, 558780, 43974.6, 8392.29, 38061.8, 49887.4, 34720, 36668, 41771.5, 56048, 58140, 18916.5, 2886.03, 16883.1, 20949.9, 14599, 17377, 19310, 22510, 23313, 44494.8, 2013.64, 43076.1, 45913.5, 42169, 42703, 44056.5, 47519, 47916, 12615.8, 728.455, 12102.6, 13129, 11771, 12089, 12514, 13682, 13716, 1.41979e+07, 99899.4, 1.41275e+07, 1.42683e+07, 14091643, 14109255, 14172900, 14340607, 14367915, 3.61672e+06, 43202.4, 3.58628e+06, 3.64716e+06, 3578236, 3581972, 3.60406e+06, 3680787, 3687249, 2.02218e+07, 1829.53, 2.02205e+07, 2.02231e+07, 20218492, 20221183, 2.02229e+07, 20223592, 20223635, 5.06028e+06, 1500.3, 5.05922e+06, 5.06134e+06, 5058387, 5059296, 5060237, 5062110, 5063581
Thu Aug 10 16:12:32 EDT 2017, 4, 15, 182.166, 4.09369, 179.282, 185.05, 176.99, 177.01, 184.965, 185.72, 186.93, 816549, 8846.78, 810316, 822782, 801388, 806232, 819698, 824816, 829308, 57076.7, 9747.01, 50209.4, 63944, 41417, 46398, 61078.5, 68821, 69911, 26394.7, 4923.89, 22925.5, 29863.9, 17510, 20421, 29023.5, 31272, 32365, 65389.9, 2541.54, 63599.2, 67180.6, 61324, 62449, 66395, 68521, 68548, 18798.1, 1245.92, 17920.3, 19675.9, 16603, 17315, 19331.5, 20166, 20204, 1.79264e+07, 102019, 1.78545e+07, 1.79983e+07, 17763984, 17808180, 17969321, 18050657, 18055349, 4571986, 51515.1, 4.53569e+06, 4.60828e+06, 4481930, 4509315, 4.59336e+06, 4622380, 4636746, 3.03271e+07, 4102.99, 3.03242e+07, 3.033e+07, 30321738, 30323465, 3.03278e+07, 30333012, 30335300, 7.58797e+06, 2146.45, 7.58646e+06, 7.58948e+06, 7584652, 7585999, 7589409, 7590100, 7590530
