# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Jan 13 16:16:30 EST 2017, 1, 1, 0.000, 1, 2.957, 0.0555068, 2.91789, 2.99611, 2.86, 2.91, 2.98, 3.02, 3.04, 9470.4, 3.2, 9468.15, 9472.65, 9468, 9468, 9470, 9476, 9476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Fri Jan 13 16:18:37 EST 2017, 1, 2, 0.000, 1, 4.683, 0.0971648, 4.61454, 4.75146, 4.56, 4.6, 4.69, 4.81, 4.86, 9598.8, 3.1241, 9596.6, 9601, 9596, 9596, 9600, 9604, 9604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Fri Jan 13 16:22:44 EST 2017, 1, 5, 0.000, 1, 5.8, 0.335321, 5.56375, 6.03625, 5.43, 5.54, 5.745, 6.28, 6.4, 9763.2, 2.99333, 9761.09, 9765.31, 9760, 9760, 9764, 9768, 9768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Fri Jan 13 16:26:46 EST 2017, 1, 10, 0.000, 1, 6.149, 0.180469, 6.02185, 6.27615, 5.99, 6.04, 6.115, 6.19, 6.66, 9868, 2.52982, 9866.22, 9869.78, 9864, 9868, 9868, 9872, 9872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Fri Jan 13 16:28:33 EST 2017, 1, 1, 0.250, 1, 3.197, 0.0712811, 3.14678, 3.24722, 3.12, 3.15, 3.185, 3.26, 3.37, 9058.8, 3.1241, 9056.6, 9061, 9056, 9056, 9060, 9064, 9064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Fri Jan 13 16:30:39 EST 2017, 1, 2, 0.250, 1, 4.238, 0.261335, 4.05387, 4.42213, 4, 4.03, 4.145, 4.54, 4.79, 9100.4, 2.15407, 9098.88, 9101.92, 9096, 9100, 9100, 9104, 9104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Fri Jan 13 16:32:41 EST 2017, 1, 5, 0.250, 1, 5.909, 0.239351, 5.74036, 6.07764, 5.31, 5.96, 6.025, 6.05, 6.11, 9152.4, 2.8, 9150.43, 9154.37, 9148, 9152, 9152, 9156, 9156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Fri Jan 13 16:34:48 EST 2017, 1, 10, 0.250, 1, 6.295, 0.205876, 6.14995, 6.44005, 5.71, 6.29, 6.38, 6.45, 6.45, 9178, 2, 9176.59, 9179.41, 9176, 9176, 9180, 9180, 9180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Fri Jan 13 16:38:50 EST 2017, 1, 1, 0.000, 2, 5.223, 0.426499, 4.92251, 5.52349, 4.57, 4.75, 5.51, 5.66, 5.67, 9604, 3.09839, 9601.82, 9606.18, 9600, 9600, 9604, 9608, 9608, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Fri Jan 13 16:40:56 EST 2017, 1, 2, 0.000, 2, 6.988, 0.585881, 6.57521, 7.40079, 6.3, 6.57, 7.1, 7.68, 7.85, 9815.6, 3.32265, 9813.26, 9817.94, 9812, 9812, 9816, 9820, 9820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
