# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Jan 13 16:29:31 EST 2017, 1, 1, 0.000, 1, 3.697, 0.11145, 3.61848, 3.77552, 3.52, 3.59, 3.735, 3.81, 3.88, 9686, 2, 9684.59, 9687.41, 9684, 9684, 9688, 9688, 9688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Fri Jan 13 16:34:44 EST 2017, 1, 2, 0.000, 1, 5.221, 0.414523, 4.92895, 5.51305, 4.5, 4.74, 5.425, 5.66, 5.69, 9810.8, 2.56125, 9809, 9812.6, 9808, 9808, 9812, 9812, 9816, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Fri Jan 13 16:36:50 EST 2017, 1, 5, 0.000, 1, 7.03, 0.346208, 6.78608, 7.27392, 6.61, 6.67, 7.12, 7.46, 7.59, 10009.2, 2.56125, 10007.4, 10011, 10008, 10008, 10008, 10012, 10016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Fri Jan 13 16:38:57 EST 2017, 1, 10, 0.000, 1, 7.915, 0.245693, 7.7419, 8.0881, 7.44, 7.87, 8.05, 8.13, 8.19, 10066.4, 2.6533, 10064.5, 10068.3, 10064, 10064, 10068, 10068, 10072, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Fri Jan 13 16:42:54 EST 2017, 1, 1, 0.250, 1, 3.29, 0.170176, 3.1701, 3.4099, 3.01, 3.18, 3.39, 3.45, 3.52, 9274.4, 1.95959, 9273.02, 9275.78, 9272, 9272, 9276, 9276, 9276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Fri Jan 13 16:45:01 EST 2017, 1, 2, 0.250, 1, 4.81, 0.308026, 4.59298, 5.02702, 4.54, 4.56, 4.78, 5.34, 5.44, 9314.4, 1.95959, 9313.02, 9315.78, 9312, 9312, 9316, 9316, 9316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Fri Jan 13 16:47:02 EST 2017, 1, 5, 0.250, 1, 6.14, 0.0972625, 6.07147, 6.20853, 6, 6.04, 6.215, 6.24, 6.26, 9351.2, 2.99333, 9349.09, 9353.31, 9348, 9348, 9352, 9356, 9356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Fri Jan 13 16:49:09 EST 2017, 1, 10, 0.250, 1, 7.163, 0.58186, 6.75305, 7.57295, 6.4, 6.47, 7.59, 7.7, 7.75, 9394, 2.68328, 9392.11, 9395.89, 9392, 9392, 9394, 9396, 9400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Fri Jan 13 16:51:10 EST 2017, 1, 1, 0.000, 2, 6.415, 0.0816395, 6.35748, 6.47252, 6.31, 6.35, 6.455, 6.51, 6.54, 9802.8, 2.56125, 9801, 9804.6, 9800, 9800, 9804, 9804, 9808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Fri Jan 13 16:53:17 EST 2017, 1, 2, 0.000, 2, 9.055, 0.141933, 8.955, 9.155, 8.82, 8.95, 9.125, 9.21, 9.26, 9990.8, 2.56125, 9989, 9992.6, 9988, 9988, 9992, 9992, 9996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
Fri Jan 13 16:55:23 EST 2017, 1, 5, 0.000, 2, 11.604, 0.168476, 11.4853, 11.7227, 11.31, 11.42, 11.685, 11.79, 11.79, 10306, 2, 10304.6, 10307.4, 10304, 10304, 10308, 10308, 10308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4729967, 0, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 4729967, 9177160, 0, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160, 9177160
