# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Fri Dec 30 19:43:00 EST 2016, 0, 0.000, 1, 0.891, 0.153392, 0.782927, 0.999073, 0.71, 0.77, 0.925, 1.12, 1.14, 41428.8, 7.33212, 41423.6, 41434, 41424, 41424, 41424, 41440, 41440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 426636, 0, 426636, 426636, 426636, 426636, 426636, 426636, 426636, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000, 0.507415, 0, 0.507415, 0.507415, 0.507415, 0.507415, 0.507415, 0.507415, 0.507415, 1.16962, 0, 1.16962, 1.16962, 1.16962, 1.16962, 1.16962, 1.16962, 1.16962, 8.26199, 1.68587e-07, 8.26199, 8.26199, 8.26199, 8.26199, 8.26199, 8.26199, 8.26199, 677029, 0, 677029, 677029, 677029, 677029, 677029, 677029, 677029
Fri Dec 30 19:44:01 EST 2016, 1, 0.000, 1, 0.462, 0.0679412, 0.414132, 0.509868, 0.40, 0.41, 0.44, 0.57, 0.57, 39708.8, 11.9733, 39700.4, 39717.2, 39696, 39696, 39712, 39728, 39728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173144, 0, 173144, 173144, 173144, 173144, 173144, 173144, 173144, 196207, 0, 196207, 196207, 196207, 196207, 196207, 196207, 196207, 0.619919, 1.29048e-08, 0.619919, 0.619919, 0.619919, 0.619919, 0.619919, 0.619919, 0.619919, 1.13734, 0, 1.13734, 1.13734, 1.13734, 1.13734, 1.13734, 1.13734, 1.13734, 6.78686, 8.42937e-08, 6.78686, 6.78686, 6.78686, 6.78686, 6.78686, 6.78686, 6.78686, 292455, 0, 292455, 292455, 292455, 292455, 292455, 292455, 292455
Fri Dec 30 19:45:03 EST 2016, 2, 0.000, 1, 0.684, 0.108554, 0.607518, 0.760482, 0.52, 0.61, 0.725, 0.81, 0.84, 40264, 8, 40258.4, 40269.6, 40256, 40256, 40272, 40272, 40272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 259149, 0, 259149, 259149, 259149, 259149, 259149, 259149, 259149, 315254, 0, 315254, 315254, 315254, 315254, 315254, 315254, 315254, 0.579006, 7.45058e-09, 0.579006, 0.579006, 0.579006, 0.579006, 0.579006, 0.579006, 0.579006, 1.21955, 1.49012e-08, 1.21955, 1.21955, 1.21955, 1.21955, 1.21955, 1.21955, 1.21955, 7.10791, 1.68587e-07, 7.10791, 7.10791, 7.10791, 7.10791, 7.10791, 7.10791, 7.10791, 435483, 0, 435483, 435483, 435483, 435483, 435483, 435483, 435483
Fri Dec 30 19:46:05 EST 2016, 4, 0.000, 1, 0.812, 0.0783326, 0.75681, 0.86719, 0.68, 0.75, 0.85, 0.89, 0.92, 40822.4, 10.6132, 40814.9, 40829.9, 40816, 40816, 40816, 40832, 40848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338125, 0, 338125, 338125, 338125, 338125, 338125, 338125, 338125, 430732, 0, 430732, 430732, 430732, 430732, 430732, 430732, 430732, 0.537919, 1.05367e-08, 0.537919, 0.537919, 0.537919, 0.537919, 0.537919, 0.537919, 0.537919, 1.27658, 2.98023e-08, 1.27658, 1.27658, 1.27658, 1.27658, 1.27658, 1.27658, 1.27658, 7.54906, 1.46001e-07, 7.54906, 7.54906, 7.54906, 7.54906, 7.54906, 7.54906, 7.54906, 562214, 0, 562214, 562214, 562214, 562214, 562214, 562214, 562214
Fri Dec 30 19:47:06 EST 2016, 8, 0.000, 1, 0.938, 0.162284, 0.823662, 1.05234, 0.70, 0.83, 0.955, 1.21, 1.22, 41094.4, 7.83837, 41088.9, 41099.9, 41088, 41088, 41096, 41104, 41104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383727, 0, 383727, 383727, 383727, 383727, 383727, 383727, 383727, 489001, 0, 489001, 489001, 489001, 489001, 489001, 489001, 489001, 0.524164, 0, 0.524164, 0.524164, 0.524164, 0.524164, 0.524164, 0.524164, 0.524164, 1.27692, 2.98023e-08, 1.27692, 1.27692, 1.27692, 1.27692, 1.27692, 1.27692, 1.27692, 7.9047, 0, 7.9047, 7.9047, 7.9047, 7.9047, 7.9047, 7.9047, 7.9047, 627205, 0, 627205, 627205, 627205, 627205, 627205, 627205, 627205
Fri Dec 30 19:48:12 EST 2016, 0, 0.250, 1, 0.782, 0.174115, 0.659326, 0.904674, 0.60, 0.60, 0.81, 1.06, 1.08, 38241.6, 29.0214, 38221.2, 38262, 38208, 38224, 38248, 38272, 38288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 366596, 0, 366596, 366596, 366596, 366596, 366596, 366596, 366596, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000, 0.475353, 5.26836e-09, 0.475353, 0.475353, 0.475353, 0.475353, 0.475353, 0.475353, 0.475353, 1.36117, 2.10734e-08, 1.36117, 1.36117, 1.36117, 1.36117, 1.36117, 1.36117, 1.36117, 7.08041, 1.19209e-07, 7.08041, 7.08041, 7.08041, 7.08041, 7.08041, 7.08041, 7.08041, 635154, 0, 635154, 635154, 635154, 635154, 635154, 635154, 635154
Fri Dec 30 19:49:14 EST 2016, 1, 0.250, 1, 0.434, 0.074458, 0.38154, 0.48646, 0.36, 0.37, 0.42, 0.56, 0.56, 38040, 10.7331, 38032.4, 38047.6, 38032, 38032, 38040, 38048, 38064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172647, 0, 172647, 172647, 172647, 172647, 172647, 172647, 172647, 196089, 0, 196089, 196089, 196089, 196089, 196089, 196089, 196089, 0.596756, 7.45058e-09, 0.596756, 0.596756, 0.596756, 0.596756, 0.596756, 0.596756, 0.596756, 1.14004, 2.58096e-08, 1.14004, 1.14004, 1.14004, 1.14004, 1.14004, 1.14004, 1.14004, 6.58151, 8.42937e-08, 6.58151, 6.58151, 6.58151, 6.58151, 6.58151, 6.58151, 6.58151, 296454, 0, 296454, 296454, 296454, 296454, 296454, 296454, 296454
Fri Dec 30 19:50:15 EST 2016, 2, 0.250, 1, 0.642, 0.0950579, 0.575026, 0.708974, 0.52, 0.57, 0.64, 0.72, 0.86, 38201.6, 10.6132, 38194.1, 38209.1, 38192, 38192, 38208, 38208, 38224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257317, 0, 257317, 257317, 257317, 257317, 257317, 257317, 257317, 315202, 0, 315202, 315202, 315202, 315202, 315202, 315202, 315202, 0.548102, 7.45058e-09, 0.548102, 0.548102, 0.548102, 0.548102, 0.548102, 0.548102, 0.548102, 1.22815, 2.10734e-08, 1.22815, 1.22815, 1.22815, 1.22815, 1.22815, 1.22815, 1.22815, 6.74057, 8.42937e-08, 6.74057, 6.74057, 6.74057, 6.74057, 6.74057, 6.74057, 6.74057, 443553, 0, 443553, 443553, 443553, 443553, 443553, 443553, 443553
Fri Dec 30 19:51:17 EST 2016, 4, 0.250, 1, 0.764, 0.152918, 0.656261, 0.871739, 0.62, 0.63, 0.765, 0.98, 1.01, 38358.4, 7.83837, 38352.9, 38363.9, 38352, 38352, 38360, 38368, 38368, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328526, 0, 328526, 328526, 328526, 328526, 328526, 328526, 328526, 430749, 0, 430749, 430749, 430749, 430749, 430749, 430749, 430749, 0.500488, 7.45058e-09, 0.500488, 0.500488, 0.500488, 0.500488, 0.500488, 0.500488, 0.500488, 1.314, 0, 1.314, 1.314, 1.314, 1.314, 1.314, 1.314, 1.314, 6.92663, 1.19209e-07, 6.92663, 6.92663, 6.92663, 6.92663, 6.92663, 6.92663, 6.92663, 569027, 0, 569027, 569027, 569027, 569027, 569027, 569027, 569027
Fri Dec 30 19:52:18 EST 2016, 8, 0.250, 1, 0.857, 0.113406, 0.777099, 0.936901, 0.73, 0.77, 0.88, 0.98, 1.06, 38440, 8, 38434.4, 38445.6, 38432, 38432, 38448, 38448, 38448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 361375, 0, 361375, 361375, 361375, 361375, 361375, 361375, 361375, 489012, 0, 489012, 489012, 489012, 489012, 489012, 489012, 489012, 0.479283, 7.45058e-09, 0.479283, 0.479283, 0.479283, 0.479283, 0.479283, 0.479283, 0.479283, 1.35595, 2.10734e-08, 1.35595, 1.35595, 1.35595, 1.35595, 1.35595, 1.35595, 1.35595, 7.05592, 0, 7.05592, 7.05592, 7.05592, 7.05592, 7.05592, 7.05592, 7.05592, 625940, 0, 625940, 625940, 625940, 625940, 625940, 625940, 625940
