# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 19:40:58 EST 2016, 0, 0.000, 1, 0.551, 0.093322, 0.485249, 0.616751, 0.47, 0.48, 0.54, 0.72, 0.73, 38296, 8, 38290.4, 38301.6, 38288, 38288, 38304, 38304, 38304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 426636, 0, 426636, 426636, 426636, 426636, 426636, 426636, 426636, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000
Fri Dec 30 19:41:59 EST 2016, 1, 0.000, 1, 0.371, 0.0408534, 0.342217, 0.399783, 0.27, 0.35, 0.39, 0.41, 0.42, 36552, 8, 36546.4, 36557.6, 36544, 36544, 36560, 36560, 36560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173144, 0, 173144, 173144, 173144, 173144, 173144, 173144, 173144, 196207, 0, 196207, 196207, 196207, 196207, 196207, 196207, 196207
Fri Dec 30 19:43:00 EST 2016, 2, 0.000, 1, 0.416, 0.0628013, 0.371753, 0.460247, 0.38, 0.38, 0.39, 0.52, 0.56, 37174.4, 7.83837, 37168.9, 37179.9, 37168, 37168, 37176, 37184, 37184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 259149, 0, 259149, 259149, 259149, 259149, 259149, 259149, 259149, 315254, 0, 315254, 315254, 315254, 315254, 315254, 315254, 315254
Fri Dec 30 19:44:01 EST 2016, 4, 0.000, 1, 0.745, 0.136033, 0.649157, 0.840843, 0.53, 0.59, 0.805, 0.89, 0.94, 37708.8, 9.6, 37702, 37715.6, 37680, 37712, 37712, 37712, 37712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338125, 0, 338125, 338125, 338125, 338125, 338125, 338125, 338125, 430732, 0, 430732, 430732, 430732, 430732, 430732, 430732, 430732
Fri Dec 30 19:45:03 EST 2016, 8, 0.000, 1, 0.789, 0.145358, 0.686587, 0.891413, 0.58, 0.66, 0.86, 0.99, 1.01, 38041.6, 17.8168, 38029, 38054.2, 38000, 38048, 38048, 38048, 38064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383727, 0, 383727, 383727, 383727, 383727, 383727, 383727, 383727, 489001, 0, 489001, 489001, 489001, 489001, 489001, 489001, 489001
Fri Dec 30 19:46:04 EST 2016, 0, 0.250, 1, 0.692, 0.206097, 0.546793, 0.837207, 0.45, 0.59, 0.65, 1.02, 1.13, 35136, 23.7318, 35119.3, 35152.7, 35104, 35120, 35152, 35168, 35168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 366596, 0, 366596, 366596, 366596, 366596, 366596, 366596, 366596, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000
Fri Dec 30 19:47:10 EST 2016, 1, 0.250, 1, 0.411, 0.0587282, 0.369623, 0.452377, 0.32, 0.40, 0.42, 0.44, 0.54, 34942.4, 20.8, 34927.7, 34957.1, 34896, 34944, 34952, 34960, 34960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172647, 0, 172647, 172647, 172647, 172647, 172647, 172647, 172647, 196089, 0, 196089, 196089, 196089, 196089, 196089, 196089, 196089
Fri Dec 30 19:48:11 EST 2016, 2, 0.250, 1, 0.451, 0.0484665, 0.416853, 0.485147, 0.41, 0.42, 0.435, 0.54, 0.55, 35124.8, 7.33212, 35119.6, 35130, 35120, 35120, 35120, 35136, 35136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257317, 0, 257317, 257317, 257317, 257317, 257317, 257317, 257317, 315202, 0, 315202, 315202, 315202, 315202, 315202, 315202, 315202
Fri Dec 30 19:49:12 EST 2016, 4, 0.250, 1, 0.645, 0.123633, 0.557894, 0.732106, 0.47, 0.53, 0.71, 0.73, 0.89, 35318.4, 7.83837, 35312.9, 35323.9, 35312, 35312, 35320, 35328, 35328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328526, 0, 328526, 328526, 328526, 328526, 328526, 328526, 328526, 430749, 0, 430749, 430749, 430749, 430749, 430749, 430749, 430749
Fri Dec 30 19:50:13 EST 2016, 8, 0.250, 1, 0.687, 0.113406, 0.607099, 0.766901, 0.54, 0.57, 0.765, 0.80, 0.87, 35372.8, 6.4, 35368.3, 35377.3, 35360, 35376, 35376, 35376, 35376, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 361375, 0, 361375, 361375, 361375, 361375, 361375, 361375, 361375, 489012, 0, 489012, 489012, 489012, 489012, 489012, 489012, 489012
