# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Wed May 17 15:04:45 EDT 2017, 1, 1, 0.250, 1, 3.55, 0.438634, 3.24096, 3.85904, 3.19, 3.23, 3.36, 4.07, 4.47, 132703, 3.91918, 132700, 132706, 132696, 132700, 132704, 132708, 132708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.51229e+08, 879348, 1.50609e+08, 1.51849e+08, 149317260, 151086122, 1.51683e+08, 151965225, 152036672, 3008910, 545919, 2.62428e+06, 3.39354e+06, 2388194, 2507136, 3.13743e+06, 3277965, 4319169, 1.51229e+08, 879348, 1.50609e+08, 1.51849e+08, 149317260, 151086122, 1.51683e+08, 151965225, 152036672, 3008910, 545919, 2.62428e+06, 3.39354e+06, 2388194, 2507136, 3.13743e+06, 3277965, 4319169, 6.95029e+09, 9.16755e+07, 6.8857e+09, 7.01488e+09, 6806812059, 6893342450, 6977455203, 7067559607, 7072687756, 5.47539e+09, 8.93998e+07, 5.4124e+09, 5.53838e+09, 5356022734, 5427158775, 5.50072e+09, 5584276285, 5596337161, 1.01239e+09, 1.86652e+07, 9.99239e+08, 1.02554e+09, 986807509, 1002637668, 1.0184e+09, 1035108309, 1036877694, 1.56355e+07, 152435, 1.55281e+07, 1.57429e+07, 15386748, 15497250, 15724017, 15761218, 15881993, 1.01239e+09, 1.86652e+07, 9.99239e+08, 1.02554e+09, 986807509, 1002637668, 1.0184e+09, 1035108309, 1036877694, 1.56355e+07, 152435, 1.55281e+07, 1.57429e+07, 15386748, 15497250, 15724017, 15761218, 15881993
Wed May 17 15:05:58 EDT 2017, 1, 10, 0.250, 1, 6.068, 0.187446, 5.93593, 6.20007, 5.88, 5.9, 6.055, 6.21, 6.53, 319832, 2.8, 319830, 319834, 319828, 319828, 319832, 319836, 319836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.29901e+08, 1.70978e+06, 2.28696e+08, 2.31106e+08, 226770325, 229374893, 2.30576e+08, 231536624, 231779237, 7.10636e+06, 1.75521e+06, 5.86972e+06, 8.343e+06, 5645989, 5912469, 6472093, 9959242, 10860236, 2.29901e+08, 1.70978e+06, 2.28696e+08, 2.31106e+08, 226770325, 229374893, 2.30576e+08, 231536624, 231779237, 7.10636e+06, 1.75521e+06, 5.86972e+06, 8.343e+06, 5645989, 5912469, 6472093, 9959242, 10860236, 1.36041e+10, 2.82334e+08, 1.34052e+10, 1.3803e+10, 13395761275, 13466316885, 1.35344e+10, 13686658760, 14420593759, 1.13696e+10, 6.68068e+07, 1.13225e+10, 1.14167e+10, 11303320597, 11322419370, 1.13529e+10, 11470611907, 11495836796, 2.06886e+09, 1.35827e+07, 2.05929e+09, 2.07843e+09, 2055679406, 2059261803, 2065257301, 2088854567, 2094727869, 3.49275e+07, 6.42054e+06, 3.04039e+07, 3.94511e+07, 32126538, 32684901, 3.29456e+07, 33127425, 54171809, 2.06886e+09, 1.35827e+07, 2.05929e+09, 2.07843e+09, 2055679406, 2059261803, 2065257301, 2088854567, 2094727869, 3.49275e+07, 6.42054e+06, 3.04039e+07, 3.94511e+07, 32126538, 32684901, 3.29456e+07, 33127425, 54171809
Wed May 17 15:06:51 EDT 2017, 1, 1, 0.250, 2, 5.207, 0.222713, 5.05009, 5.36391, 4.9, 5.02, 5.23, 5.55, 5.59, 255556, 1.78885, 255555, 255557, 255552, 255556, 255556, 255556, 255560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.10195e+08, 2.65648e+06, 2.08323e+08, 2.12067e+08, 205521944, 209064233, 210851111, 212225758, 215159888, 6160344, 1.59789e+06, 5.03454e+06, 7.28615e+06, 4547656, 4849981, 6038967, 8714637, 9321321, 2.10195e+08, 2.65648e+06, 2.08323e+08, 2.12067e+08, 205521944, 209064233, 210851111, 212225758, 215159888, 6160344, 1.59789e+06, 5.03454e+06, 7.28615e+06, 4547656, 4849981, 6038967, 8714637, 9321321, 1.13965e+10, 1.63897e+08, 1.1281e+10, 1.1512e+10, 11079278493, 11314500084, 11427892440, 11541039686, 11697268213, 9.16681e+09, 8.41185e+07, 9.10754e+09, 9.22608e+09, 9052685303, 9111199290, 9.18717e+09, 9264804583, 9304690513, 1.6637e+09, 1.70645e+07, 1.65168e+09, 1.67572e+09, 1640454374, 1653092534, 1.66737e+09, 1684635855, 1691719008, 2.5296e+07, 416579, 2.50025e+07, 2.55895e+07, 24715595, 24861303, 25304524, 25911415, 25966452, 1.6637e+09, 1.70645e+07, 1.65168e+09, 1.67572e+09, 1640454374, 1653092534, 1.66737e+09, 1684635855, 1691719008, 2.5296e+07, 416579, 2.50025e+07, 2.55895e+07, 24715595, 24861303, 25304524, 25911415, 25966452
Wed May 17 15:07:58 EDT 2017, 1, 10, 0.250, 2, 9.627, 0.844832, 9.03177, 10.2222, 8.75, 8.91, 9.555, 10.71, 11.39, 630432, 613.21, 630000, 630864, 630224, 630224, 630228, 630236, 632272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.22094e+08, 6.96092e+06, 3.1719e+08, 3.26998e+08, 309548579, 319962985, 3.23657e+08, 330433640, 332148611, 1.70443e+07, 5.33237e+06, 1.32873e+07, 2.08013e+07, 11017874, 11923834, 1.83679e+07, 22083420, 28126819, 3.22094e+08, 6.96092e+06, 3.1719e+08, 3.26998e+08, 309548579, 319962985, 3.23657e+08, 330433640, 332148611, 1.70443e+07, 5.33237e+06, 1.32873e+07, 2.08013e+07, 11017874, 11923834, 1.83679e+07, 22083420, 28126819, 2.11716e+10, 9.0471e+08, 2.05342e+10, 2.1809e+10, 20566703153, 20704841704, 2.09469e+10, 21499062461, 23766523402, 1.82308e+10, 6.3453e+07, 1.81861e+10, 1.82755e+10, 18145711773, 18155344187, 18268235829, 18299051223, 18312547067, 3.30813e+09, 1.33069e+07, 3.29875e+09, 3.31751e+09, 3290749228, 3292910444, 3.31637e+09, 3322397366, 3324935570, 5.58696e+07, 1.18514e+07, 4.75196e+07, 6.42196e+07, 48966448, 49864857, 5.08417e+07, 59817491, 89527989, 3.30813e+09, 1.33069e+07, 3.29875e+09, 3.31751e+09, 3290749228, 3292910444, 3.31637e+09, 3322397366, 3324935570, 5.58696e+07, 1.18514e+07, 4.75196e+07, 6.42196e+07, 48966448, 49864857, 5.08417e+07, 59817491, 89527989
Wed May 17 15:08:56 EDT 2017, 1, 1, 0.250, 5, 9.345, 0.340272, 9.10526, 9.58474, 8.96, 9.07, 9.335, 9.59, 10.21, 624466, 1.95958, 624465, 624467, 624464, 624464, 624468, 624468, 624468, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442302, 0, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.2309e+08, 3.17676e+06, 3.20852e+08, 3.25328e+08, 317728221, 322250259, 3.23608e+08, 326880101, 328745063, 1.44223e+07, 3.5079e+06, 1.19508e+07, 1.68938e+07, 10899130, 11867377, 1.39849e+07, 18553238, 22490077, 3.2309e+08, 3.17676e+06, 3.20852e+08, 3.25328e+08, 317728221, 322250259, 3.23608e+08, 326880101, 328745063, 1.44223e+07, 3.5079e+06, 1.19508e+07, 1.68938e+07, 10899130, 11867377, 1.39849e+07, 18553238, 22490077, 2.12653e+10, 1.80118e+08, 2.11384e+10, 2.13922e+10, 20925334998, 21228273471, 21309074994, 21441272710, 21536312051, 1.79351e+10, 5.7022e+07, 1.78949e+10, 1.79753e+10, 17868631897, 17876831684, 1.7972e+10, 17992217593, 18024268327, 3.22116e+09, 1.07335e+07, 3.2136e+09, 3.22872e+09, 3208038614, 3211521343, 3228774784, 3233436496, 3235644818, 5.63462e+07, 1.68298e+06, 5.51604e+07, 5.7532e+07, 55196971, 55450920, 56095455, 56422620, 61249539, 3.22116e+09, 1.07335e+07, 3.2136e+09, 3.22872e+09, 3208038614, 3211521343, 3228774784, 3233436496, 3235644818, 5.63462e+07, 1.68298e+06, 5.51604e+07, 5.7532e+07, 55196971, 55450920, 56095455, 56422620, 61249539
Wed May 17 15:10:09 EDT 2017, 1, 10, 0.250, 5, 16.203, 0.814899, 15.6289, 16.7771, 15.39, 15.55, 16.195, 16.85, 18.1, 1561196, 2.5298, 1.56119e+06, 1.5612e+06, 1561192, 1561196, 1561196, 1561200, 1561200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998353, 0, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 501237905, 1.15567e+07, 4.93096e+08, 5.0938e+08, 480649022, 496830036, 5.06534e+08, 509413162, 519415265, 4.03869e+07, 1.06538e+07, 3.28807e+07, 4.78931e+07, 26659426, 30480286, 4.49889e+07, 55413569, 57765211, 501237905, 1.15567e+07, 4.93096e+08, 5.0938e+08, 480649022, 496830036, 5.06534e+08, 509413162, 519415265, 4.03869e+07, 1.06538e+07, 3.28807e+07, 4.78931e+07, 26659426, 30480286, 4.49889e+07, 55413569, 57765211, 3.76543e+10, 6.68156e+08, 3.71835e+10, 3.81251e+10, 36948178695, 37023385015, 3.7624e+10, 38831850923, 38832831185, 3.54154e+10, 1.67689e+08, 3.52973e+10, 3.55335e+10, 35268220221, 35313955553, 35399476026, 35468456097, 35888976759, 6.42408e+09, 3.30327e+07, 6.40081e+09, 6.44735e+09, 6397816963, 6403481121, 6.42054e+09, 6434941511, 6517200309, 8.80777e+07, 849912, 8.74789e+07, 8.86765e+07, 86994289, 87386919, 88147309, 88942513, 89961090, 6.42408e+09, 3.30327e+07, 6.40081e+09, 6.44735e+09, 6397816963, 6403481121, 6.42054e+09, 6434941511, 6517200309, 8.80777e+07, 849912, 8.74789e+07, 8.86765e+07, 86994289, 87386919, 88147309, 88942513, 89961090
Wed May 17 15:11:07 EDT 2017, 1, 1, 0.250, 10, 15.349, 0.63535, 14.9014, 15.7966, 14.36, 14.85, 15.705, 15.96, 16.36, 1.239e+06, 4.30814, 1.239e+06, 1.239e+06, 1239000, 1239000, 1239002, 1239008, 1239012, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4939688, 0, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 483285898, 9.62879e+06, 4.76502e+08, 4.9007e+08, 472757780, 474641190, 4.83175e+08, 498506503, 502446220, 3.7718e+07, 1.10709e+07, 2.99179e+07, 4.55181e+07, 21541685, 29253126, 40875400, 53696359, 55680137, 483285898, 9.62879e+06, 4.76502e+08, 4.9007e+08, 472757780, 474641190, 4.83175e+08, 498506503, 502446220, 3.7718e+07, 1.10709e+07, 2.99179e+07, 4.55181e+07, 21541685, 29253126, 40875400, 53696359, 55680137, 35502923445, 8.96962e+08, 3.4871e+10, 3.61349e+10, 33531120923, 35023591116, 35926016198, 36383260725, 36586023478, 3.0019e+10, 5.33891e+07, 2.99814e+10, 3.00566e+10, 29924552463, 29969806587, 3.00291e+10, 30068443890, 30116045665, 5.37059e+09, 1.20926e+07, 5.36207e+09, 5.37911e+09, 5350599359, 5359532102, 5373726060, 5384513618, 5391572901, 9.8433e+07, 2.7611e+06, 9.64877e+07, 1.00378e+08, 94657599, 96230439, 9.83475e+07, 101723773, 103785321, 5.37059e+09, 1.20926e+07, 5.36207e+09, 5.37911e+09, 5350599359, 5359532102, 5373726060, 5384513618, 5391572901, 9.8433e+07, 2.7611e+06, 9.64877e+07, 1.00378e+08, 94657599, 96230439, 9.83475e+07, 101723773, 103785321
Wed May 17 15:12:25 EDT 2017, 1, 10, 0.250, 10, 27.756, 1.78982, 26.495, 29.017, 25.19, 26.61, 27.67, 29.47, 31.73, 3.10716e+06, 11597.7, 3.09899e+06, 3.11533e+06, 3082440, 3112940, 3112944, 3112948, 3112948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 680471456, 1.59041e+07, 6.69266e+08, 6.91677e+08, 652749601, 668676977, 685195532, 700638950, 701054381, 9.93204e+07, 3.65774e+07, 7.35496e+07, 1.25091e+08, 53539779, 74986597, 1.03135e+08, 118895867, 188159639, 680471456, 1.59041e+07, 6.69266e+08, 6.91677e+08, 652749601, 668676977, 685195532, 700638950, 701054381, 9.93204e+07, 3.65774e+07, 7.35496e+07, 1.25091e+08, 53539779, 74986597, 1.03135e+08, 118895867, 188159639, 64209524236, 2.56364e+09, 6.24033e+10, 6.60158e+10, 61478324890, 62454246566, 6.41066e+10, 65540870250, 70809535870, 6.40845e+10, 7.50982e+07, 6.40316e+10, 6.41374e+10, 63989480087, 64035819100, 64079980898, 64143283722, 64275743880, 11564398327, 1.442e+07, 1.15542e+10, 1.15746e+10, 11542211200, 11555443619, 11564375954, 11577182521, 11597993217, 1.58406e+08, 2.439e+06, 1.56688e+08, 1.60124e+08, 152196976, 158516573, 159359190, 160559677, 160994942, 11564398327, 1.442e+07, 1.15542e+10, 1.15746e+10, 11542211200, 11555443619, 11564375954, 11577182521, 11597993217, 1.58406e+08, 2.439e+06, 1.56688e+08, 1.60124e+08, 152196976, 158516573, 159359190, 160559677, 160994942
Wed May 17 15:13:17 EDT 2017, 1, 1, 0.250, 15, 21.483, 1.45441, 20.4583, 22.5077, 19.06, 20.8, 21.71, 23.07, 23.83, 1.8534e+06, 866.407, 1.85279e+06, 1.85401e+06, 1850800, 1853684, 1853688, 1853692, 1853696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4992618, 0, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.94189e+08, 1.65937e+07, 5.82498e+08, 6.0588e+08, 570405157, 584925595, 591105584, 618283553, 630457635, 7.59401e+07, 3.27065e+07, 5.28966e+07, 9.89836e+07, 32151715, 56672306, 8.21785e+07, 121720260, 141648101, 5.94189e+08, 1.65937e+07, 5.82498e+08, 6.0588e+08, 570405157, 584925595, 591105584, 618283553, 630457635, 7.59401e+07, 3.27065e+07, 5.28966e+07, 9.89836e+07, 32151715, 56672306, 8.21785e+07, 121720260, 141648101, 4.86602e+10, 2.02702e+09, 4.72321e+10, 5.00883e+10, 46227115089, 46952700595, 48691843467, 50927657601, 53094619405, 4.17456e+10, 2.00474e+08, 4.16044e+10, 4.18868e+10, 41560180210, 41610065321, 41753633852, 41776510590, 42305749366, 7.44912e+09, 4.1778e+07, 7.41969e+09, 7.47855e+09, 7409539777, 7426931867, 7448484258, 7457497748, 7565085836, 1.23248e+08, 4.36883e+06, 1.2017e+08, 1.26326e+08, 117187035, 118176807, 1.25844e+08, 127838118, 128790745, 7.44912e+09, 4.1778e+07, 7.41969e+09, 7.47855e+09, 7409539777, 7426931867, 7448484258, 7457497748, 7565085836, 1.23248e+08, 4.36883e+06, 1.2017e+08, 1.26326e+08, 117187035, 118176807, 1.25844e+08, 127838118, 128790745
Wed May 17 15:15:20 EDT 2017, 1, 10, 0.250, 15, 43.257, 10.7776, 35.6636, 50.8504, 35.42, 38.01, 41.01, 43.75, 74.75, 4593718, 87434, 4.53212e+06, 4.65532e+06, 4459724, 4468508, 4664688, 4664692, 4664700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97015e+08, 1.28454e+07, 7.87965e+08, 8.06065e+08, 775239918, 789449229, 7.97906e+08, 813121467, 822998807, 1.70501e+08, 5.38777e+07, 1.32541e+08, 2.08461e+08, 82765359, 142225922, 180978977, 249729274, 255429535, 7.97015e+08, 1.28454e+07, 7.87965e+08, 8.06065e+08, 775239918, 789449229, 7.97906e+08, 813121467, 822998807, 1.70501e+08, 5.38777e+07, 1.32541e+08, 2.08461e+08, 82765359, 142225922, 180978977, 249729274, 255429535, 92245972237, 2.87853e+09, 9.02179e+10, 9.42741e+10, 86856924493, 90720135342, 9.2752e+10, 94718388783, 98172138718, 9.35949e+10, 1.25384e+09, 9.27115e+10, 9.44783e+10, 92942565501, 93006912621, 9.3264e+10, 93692833083, 97298270828, 1.68577e+10, 2.87893e+08, 1.66549e+10, 1.70605e+10, 16709481613, 16726716468, 1.67925e+10, 16851873088, 17711293235, 2.05444e+08, 5.32474e+06, 2.01692e+08, 2.09196e+08, 197552636, 202894879, 205703499, 208270761, 218630771, 1.68577e+10, 2.87893e+08, 1.66549e+10, 1.70605e+10, 16709481613, 16726716468, 1.67925e+10, 16851873088, 17711293235, 2.05444e+08, 5.32474e+06, 2.01692e+08, 2.09196e+08, 197552636, 202894879, 205703499, 208270761, 218630771
