# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Wed May 17 12:43:34 EDT 2017, 1, 1, 0.250, 1, 3.274, 0.102879, 3.20152, 3.34648, 3.07, 3.21, 3.32, 3.36, 3.4, 132758, 2.6533, 132756, 132760, 132756, 132756, 132760, 132760, 132764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111017191, 782776, 1.10466e+08, 1.11569e+08, 109398035, 110640594, 1.11395e+08, 111857907, 111934627, 8026723, 2.73079e+06, 6.10273e+06, 9.95072e+06, 2577205, 8986128, 9.26753e+06, 9720464, 10102178, 111017191, 782776, 1.10466e+08, 1.11569e+08, 109398035, 110640594, 1.11395e+08, 111857907, 111934627, 8026723, 2.73079e+06, 6.10273e+06, 9.95072e+06, 2577205, 8986128, 9.26753e+06, 9720464, 10102178, 5553857291, 1.57548e+08, 5.44286e+09, 5.66486e+09, 5198118330, 5498122571, 5629921440, 5692703988, 5731630585, 6053931751, 3.41768e+07, 6.02985e+09, 6.07801e+09, 6000966259, 6010999903, 6.07551e+09, 6088556003, 6090387540, 1076017073, 6.78696e+06, 1.07124e+09, 1.0808e+09, 1066080725, 1068078721, 1.08126e+09, 1083183736, 1083230784, 1.31614e+07, 1.13715e+06, 1.23602e+07, 1.39626e+07, 12443201, 12691066, 1.28906e+07, 13009588, 16537454, 1076017073, 6.78696e+06, 1.07124e+09, 1.0808e+09, 1066080725, 1068078721, 1.08126e+09, 1083183736, 1083230784, 1.31614e+07, 1.13715e+06, 1.23602e+07, 1.39626e+07, 12443201, 12691066, 1.28906e+07, 13009588, 16537454
Wed May 17 12:44:36 EDT 2017, 1, 10, 0.250, 1, 5.467, 0.296987, 5.25776, 5.67624, 4.95, 5.37, 5.56, 5.76, 5.85, 319828, 2.15407, 319826, 319830, 319824, 319828, 319828, 319828, 319832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.48756e+08, 674873, 1.48281e+08, 1.49231e+08, 147283033, 148668456, 149107348, 149315683, 149392765, 1.89266e+07, 6.41749e+06, 1.44051e+07, 2.34481e+07, 6256374, 19401765, 2.23074e+07, 22587756, 23863523, 1.48756e+08, 674873, 1.48281e+08, 1.49231e+08, 147283033, 148668456, 149107348, 149315683, 149392765, 1.89266e+07, 6.41749e+06, 1.44051e+07, 2.34481e+07, 6256374, 19401765, 2.23074e+07, 22587756, 23863523, 1.1459e+10, 3.4848e+08, 1.12135e+10, 1.17045e+10, 10919158302, 11392344091, 11496909060, 11746484857, 12183389535, 1.35156e+10, 1.22817e+07, 1.35069e+10, 1.35243e+10, 13502141009, 13502896135, 1.35157e+10, 13527971795, 13542996084, 2.35979e+09, 1.5739e+06, 2.35868e+09, 2.3609e+09, 2356946033, 2359505544, 2360250909, 2361695246, 2361990693, 3.274e+07, 4.83435e+06, 2.93339e+07, 3.61461e+07, 29666827, 29783123, 2.99693e+07, 37066341, 44456949, 2.35979e+09, 1.5739e+06, 2.35868e+09, 2.3609e+09, 2356946033, 2359505544, 2360250909, 2361695246, 2361990693, 3.274e+07, 4.83435e+06, 2.93339e+07, 3.61461e+07, 29666827, 29783123, 2.99693e+07, 37066341, 44456949
Wed May 17 12:45:39 EDT 2017, 1, 1, 0.250, 2, 4.511, 0.227748, 4.35054, 4.67146, 4.13, 4.28, 4.615, 4.72, 4.86, 255760, 2.52982, 255758, 255762, 255756, 255760, 255760, 255764, 255764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.43208e+08, 713219, 1.42705e+08, 1.43711e+08, 142291856, 142462869, 1.43505e+08, 143782788, 144583109, 1.39843e+07, 6.87888e+06, 9.13775e+06, 1.88309e+07, 4832109, 5382111, 16686411, 22327630, 22420680, 1.43208e+08, 713219, 1.42705e+08, 1.43711e+08, 142291856, 142462869, 1.43505e+08, 143782788, 144583109, 1.39843e+07, 6.87888e+06, 9.13775e+06, 1.88309e+07, 4832109, 5382111, 16686411, 22327630, 22420680, 9.53475e+09, 3.04709e+08, 9.32007e+09, 9.74943e+09, 9111817903, 9241554246, 9658801502, 9844026540, 10051503415, 10774120365, 1.65713e+07, 1.07624e+10, 1.07858e+10, 10736383083, 10767704081, 10773925074, 10789644870, 10802968782, 1.87902e+09, 3.08775e+06, 1.87684e+09, 1.8812e+09, 1870616874, 1878288426, 1880270018, 1880578827, 1882581973, 2.67107e+07, 2.03147e+06, 2.52794e+07, 2.8142e+07, 25685760, 25767633, 2.60377e+07, 26920922, 32711010, 1.87902e+09, 3.08775e+06, 1.87684e+09, 1.8812e+09, 1870616874, 1878288426, 1880270018, 1880578827, 1882581973, 2.67107e+07, 2.03147e+06, 2.52794e+07, 2.8142e+07, 25685760, 25767633, 2.60377e+07, 26920922, 32711010
Wed May 17 12:46:47 EDT 2017, 1, 10, 0.250, 2, 8.618, 0.46331, 8.29157, 8.94443, 7.92, 8.12, 8.845, 9.07, 9.21, 630275, 2.40001, 630273, 630277, 630272, 630272, 630276, 630276, 630280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.87179e+08, 1.0448e+06, 1.86443e+08, 1.87915e+08, 185633519, 186067482, 1.87548e+08, 188166321, 189067734, 3.08681e+07, 1.46351e+07, 2.05569e+07, 4.11793e+07, 11788727, 12691235, 3.71715e+07, 47396357, 48112484, 1.87179e+08, 1.0448e+06, 1.86443e+08, 1.87915e+08, 185633519, 186067482, 1.87548e+08, 188166321, 189067734, 3.08681e+07, 1.46351e+07, 2.05569e+07, 4.11793e+07, 11788727, 12691235, 3.71715e+07, 47396357, 48112484, 1.95139e+10, 6.88481e+08, 1.90288e+10, 1.9999e+10, 18376761698, 18893067774, 19895140052, 20148135353, 20551572621, 23707800785, 6.18375e+07, 2.36642e+10, 2.37514e+10, 23662699528, 23671089360, 2.36831e+10, 23828121617, 23832126682, 4.05136e+09, 1.24882e+07, 4.04256e+09, 4.06016e+09, 4040919874, 4044672020, 4046332314, 4072528117, 4079130407, 64730234, 5.43137e+06, 6.09035e+07, 6.85569e+07, 61637008, 61791543, 6.27053e+07, 71258066, 78784128, 4.05136e+09, 1.24882e+07, 4.04256e+09, 4.06016e+09, 4040919874, 4044672020, 4046332314, 4072528117, 4079130407, 64730234, 5.43137e+06, 6.09035e+07, 6.85569e+07, 61637008, 61791543, 6.27053e+07, 71258066, 78784128
Wed May 17 12:47:50 EDT 2017, 1, 1, 0.250, 5, 9.379, 0.57835, 8.97152, 9.78648, 8.44, 8.74, 9.665, 9.98, 10.04, 625048, 2.15408, 625046, 625050, 625044, 625048, 625048, 625048, 625052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442302, 0, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.34266e+08, 3.42898e+06, 2.3185e+08, 2.36682e+08, 227214169, 232573311, 235511343, 237720254, 238598380, 4.06575e+07, 1.94345e+07, 2.69648e+07, 5.43502e+07, 12092837, 16071813, 50247888, 61666725, 61959656, 2.34266e+08, 3.42898e+06, 2.3185e+08, 2.36682e+08, 227214169, 232573311, 235511343, 237720254, 238598380, 4.06575e+07, 1.94345e+07, 2.69648e+07, 5.43502e+07, 12092837, 16071813, 50247888, 61666725, 61959656, 21089809612, 9.06938e+08, 2.04508e+10, 2.17288e+10, 19789395949, 20277385264, 2.14379e+10, 22082800618, 22297297192, 2.33707e+10, 2.18117e+07, 2.33553e+10, 2.33861e+10, 23326624774, 23362260462, 2.33827e+10, 23392160875, 23392839962, 3.99945e+09, 5.33236e+06, 3.99569e+09, 4.00321e+09, 3989430010, 3997135521, 4.00237e+09, 4003146759, 4004902844, 6.95659e+07, 2.72049e+06, 6.76492e+07, 7.14826e+07, 67674464, 68094858, 69006723, 70768266, 77326148, 3.99945e+09, 5.33236e+06, 3.99569e+09, 4.00321e+09, 3989430010, 3997135521, 4.00237e+09, 4003146759, 4004902844, 6.95659e+07, 2.72049e+06, 6.76492e+07, 7.14826e+07, 67674464, 68094858, 69006723, 70768266, 77326148
Wed May 17 12:49:02 EDT 2017, 1, 10, 0.250, 5, 17.365, 1.13368, 16.5663, 18.1637, 16.28, 16.39, 17.455, 18.93, 19.53, 1.56157e+06, 2.40005, 1.56157e+06, 1.56157e+06, 1561568, 1561568, 1561572, 1561572, 1561576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998353, 0, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.63539e+08, 1.99038e+06, 2.62137e+08, 2.64941e+08, 260645085, 262278562, 2.63939e+08, 264706583, 268303935, 6.09938e+07, 3.03248e+07, 3.96283e+07, 8.23593e+07, 34713636, 35747873, 67230087, 97782805, 100746112, 2.63539e+08, 1.99038e+06, 2.62137e+08, 2.64941e+08, 260645085, 262278562, 2.63939e+08, 264706583, 268303935, 6.09938e+07, 3.03248e+07, 3.96283e+07, 8.23593e+07, 34713636, 35747873, 67230087, 97782805, 100746112, 4.09004e+10, 1.73636e+09, 3.9677e+10, 4.21238e+10, 39161055580, 39516906065, 40889955706, 43297921322, 44708613521, 5.16743e+10, 2.61038e+07, 5.16559e+10, 5.16927e+10, 51620249860, 51661841482, 51678650702, 51702091058, 51717942298, 8.68005e+09, 3.68899e+06, 8.67745e+09, 8.68265e+09, 8674564959, 8677827941, 8.67998e+09, 8682418997, 8688943908, 1.53228e+08, 1.87264e+07, 1.40034e+08, 1.66422e+08, 146024758, 146620563, 147185030, 148359777, 209378046, 8.68005e+09, 3.68899e+06, 8.67745e+09, 8.68265e+09, 8674564959, 8677827941, 8.67998e+09, 8682418997, 8688943908, 1.53228e+08, 1.87264e+07, 1.40034e+08, 1.66422e+08, 146024758, 146620563, 147185030, 148359777, 209378046
Wed May 17 12:50:00 EDT 2017, 1, 1, 0.250, 10, 16.202, 1.17524, 15.374, 17.03, 14.88, 15.27, 16.445, 17.56, 18.08, 1.24028e+06, 16.6084, 1.24027e+06, 1.24029e+06, 1240276, 1240276, 1240276, 1240280, 1240332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4939688, 0, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.00599e+08, 9.62803e+06, 3.93816e+08, 4.07382e+08, 385599947, 387537548, 4.07359e+08, 408402162, 410415536, 7.87285e+07, 4.15712e+07, 4.94393e+07, 1.08018e+08, 43579933, 44225467, 87349532, 130410239, 130999770, 4.00599e+08, 9.62803e+06, 3.93816e+08, 4.07382e+08, 385599947, 387537548, 4.07359e+08, 408402162, 410415536, 7.87285e+07, 4.15712e+07, 4.94393e+07, 1.08018e+08, 43579933, 44225467, 87349532, 130410239, 130999770, 3.80648e+10, 1.80177e+09, 3.67954e+10, 3.93342e+10, 35726658481, 36687392931, 38366644068, 40145438653, 41263069924, 4.267e+10, 1.28926e+07, 4.26609e+10, 4.26791e+10, 42646734945, 42666734817, 42676183504, 42682561733, 42683896142, 7.2082e+09, 6.5009e+06, 7.20362e+09, 7.21278e+09, 7196879084, 7205125605, 7209135472, 7214820495, 7218763342, 1.32835e+08, 6.99699e+06, 1.27905e+08, 1.37765e+08, 129080354, 129226390, 129854466, 141174053, 151026035, 7.2082e+09, 6.5009e+06, 7.20362e+09, 7.21278e+09, 7196879084, 7205125605, 7209135472, 7214820495, 7218763342, 1.32835e+08, 6.99699e+06, 1.27905e+08, 1.37765e+08, 129080354, 129226390, 129854466, 141174053, 151026035
Wed May 17 12:51:23 EDT 2017, 1, 10, 0.250, 10, 32.908, 2.05614, 31.4593, 34.3567, 30.08, 31.26, 32.77, 34.94, 37.19, 3.11368e+06, 2.15421, 3.11368e+06, 3.11368e+06, 3113676, 3113680, 3113680, 3113680, 3113684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.9242e+08, 5.23612e+06, 3.88731e+08, 3.96109e+08, 384303132, 387941671, 3.9455e+08, 396566455, 402215893, 1.31044e+08, 4.13185e+07, 1.01933e+08, 1.60155e+08, 89248255, 97990218, 1.4115e+08, 181883157, 183827863, 3.9242e+08, 5.23612e+06, 3.88731e+08, 3.96109e+08, 384303132, 387941671, 3.9455e+08, 396566455, 402215893, 1.31044e+08, 4.13185e+07, 1.01933e+08, 1.60155e+08, 89248255, 97990218, 1.4115e+08, 181883157, 183827863, 7.83881e+10, 3.79954e+09, 7.57111e+10, 8.10651e+10, 73491800623, 74740673149, 7.90377e+10, 81162533958, 86643717929, 97732365380, 6.9115e+07, 9.76837e+10, 9.77811e+10, 97641892139, 97684202205, 97735046438, 97801684956, 97885056838, 1.63892e+10, 1.09048e+07, 1.63815e+10, 1.63969e+10, 16367305215, 16382568183, 1.6393e+10, 16397620923, 16407908730, 2.95777e+08, 2.22419e+07, 2.80106e+08, 3.11448e+08, 281597594, 283678160, 2.85688e+08, 334806013, 344799328, 1.63892e+10, 1.09048e+07, 1.63815e+10, 1.63969e+10, 16367305215, 16382568183, 1.6393e+10, 16397620923, 16407908730, 2.95777e+08, 2.22419e+07, 2.80106e+08, 3.11448e+08, 281597594, 283678160, 2.85688e+08, 334806013, 344799328
Wed May 17 12:52:15 EDT 2017, 1, 1, 0.250, 15, 23.333, 1.64842, 22.1716, 24.4944, 21.53, 21.82, 23.82, 25.43, 25.46, 1855556, 4.73285, 1.85555e+06, 1.85556e+06, 1855548, 1855552, 1855558, 1855560, 1855564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4992618, 0, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.09768e+08, 6.75715e+07, 5.6216e+08, 6.57376e+08, 520687432, 529430218, 6.6367e+08, 668303037, 668325235, 1.32457e+08, 5.41256e+07, 9.43225e+07, 1.70591e+08, 84993849, 87855654, 142101842, 200265426, 203959844, 6.09768e+08, 6.75715e+07, 5.6216e+08, 6.57376e+08, 520687432, 529430218, 6.6367e+08, 668303037, 668325235, 1.32457e+08, 5.41256e+07, 9.43225e+07, 1.70591e+08, 84993849, 87855654, 142101842, 200265426, 203959844, 5.54284e+10, 2.58329e+09, 5.36083e+10, 5.72485e+10, 52371170866, 53143885231, 5.60849e+10, 58783006981, 58906236192, 6.1624e+10, 6.38538e+07, 6.1579e+10, 6.1669e+10, 61449522735, 61622394810, 6.16313e+10, 61675671228, 61699241211, 1.03592e+10, 1.14146e+07, 1.03512e+10, 1.03672e+10, 10345362170, 10353717921, 1.03585e+10, 10363463019, 10389980223, 1.90934e+08, 3.02416e+06, 1.88803e+08, 1.93065e+08, 188132169, 188777541, 1.90827e+08, 193784022, 198468210, 1.03592e+10, 1.14146e+07, 1.03512e+10, 1.03672e+10, 10345362170, 10353717921, 1.03585e+10, 10363463019, 10389980223, 1.90934e+08, 3.02416e+06, 1.88803e+08, 1.93065e+08, 188132169, 188777541, 1.90827e+08, 193784022, 198468210
Wed May 17 12:54:49 EDT 2017, 1, 10, 0.250, 15, 84.723, 30.3445, 63.3436, 106.102, 45.71, 48.49, 97.02, 119.96, 120.65, 3.94691e+06, 602498, 3.52242e+06, 4.3714e+06, 3174436, 3253824, 4215582, 4665820, 4665820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.40861e+08, 1.54075e+07, 5.30006e+08, 5.51716e+08, 514524144, 527201288, 548318179, 551576589, 565127911, 2.14636e+08, 5.29387e+07, 1.77338e+08, 2.51934e+08, 91642553, 163863910, 245821279, 252943352, 254717196, 5.40861e+08, 1.54075e+07, 5.30006e+08, 5.51716e+08, 514524144, 527201288, 548318179, 551576589, 565127911, 2.14636e+08, 5.29387e+07, 1.77338e+08, 2.51934e+08, 91642553, 163863910, 245821279, 252943352, 254717196, 1.17286e+11, 3.16218e+09, 1.15058e+11, 1.19514e+11, 112716298233, 113879524717, 1.18688e+11, 121367666893, 121737715891, 1.46677e+11, 1.91579e+09, 1.45327e+11, 1.48027e+11, 144486270278, 144651753469, 1.47341e+11, 149086651743, 149301266910, 2.4848e+10, 6.05674e+08, 2.44213e+10, 2.52747e+10, 24183134004, 24238466513, 25032774850, 25593689823, 25692457327, 4.38913e+08, 5.45647e+07, 4.00469e+08, 4.77357e+08, 414785832, 419204365, 422475549, 428787909, 602221253, 2.4848e+10, 6.05674e+08, 2.44213e+10, 2.52747e+10, 24183134004, 24238466513, 25032774850, 25593689823, 25692457327, 4.38913e+08, 5.45647e+07, 4.00469e+08, 4.77357e+08, 414785832, 419204365, 422475549, 428787909, 602221253
