# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Sat Jan 14 09:08:32 EST 2017, 1, 1, 0.000, 1, 5.215, 0.14417, 5.11342, 5.31658, 5.02, 5.03, 5.27, 5.38, 5.39, 48163.6, 2.15407, 48162.1, 48165.1, 48160, 48164, 48164, 48164, 48168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1726031, 0, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1957178, 0, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178
Sat Jan 14 09:14:40 EST 2017, 1, 2, 0.000, 1, 7.079, 0.215659, 6.92706, 7.23094, 6.7, 6.99, 7.21, 7.3, 7.33, 49595.2, 2.99333, 49593.1, 49597.3, 49592, 49592, 49596, 49600, 49600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2588942, 0, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 3147054, 0, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054
Sat Jan 14 09:20:52 EST 2017, 1, 5, 0.000, 1, 9.416, 1.01274, 8.70247, 10.1295, 8.64, 8.82, 9.35, 9.42, 12.32, 51586.8, 2.56125, 51585, 51588.6, 51584, 51584, 51588, 51588, 51592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3574350, 0, 3574350, 3574350, 3574350, 3574350, 3574350, 3574350, 3574350, 4570633, 0, 4570633, 4570633, 4570633, 4570633, 4570633, 4570633, 4570633
Sat Jan 14 09:26:59 EST 2017, 1, 10, 0.000, 1, 10.055, 0.501064, 9.70197, 10.408, 8.56, 10.19, 10.215, 10.24, 10.36, 52566.8, 2.56125, 52565, 52568.6, 52564, 52564, 52568, 52568, 52572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3928216, 0, 3928216, 3928216, 3928216, 3928216, 3928216, 3928216, 3928216, 4946122, 0, 4946122, 4946122, 4946122, 4946122, 4946122, 4946122, 4946122
Sat Jan 14 09:32:17 EST 2017, 1, 1, 0.250, 1, 5.029, 0.494418, 4.68066, 5.37734, 3.56, 5.09, 5.23, 5.25, 5.28, 44239.6, 2.15407, 44238.1, 44241.1, 44236, 44240, 44240, 44240, 44244, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561
Sat Jan 14 09:36:29 EST 2017, 1, 2, 0.250, 1, 7.156, 0.316297, 6.93315, 7.37885, 6.53, 7.24, 7.32, 7.37, 7.37, 44721.6, 1.95959, 44720.2, 44723, 44720, 44720, 44722, 44724, 44724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2567155, 0, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 3146921, 0, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921
Sat Jan 14 09:42:41 EST 2017, 1, 5, 0.250, 1, 9.467, 0.0538609, 9.42905, 9.50495, 9.38, 9.46, 9.475, 9.52, 9.57, 45321.6, 1.95959, 45320.2, 45323, 45320, 45320, 45322, 45324, 45324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3434498, 0, 3434498, 3434498, 3434498, 3434498, 3434498, 3434498, 3434498, 4570728, 0, 4570728, 4570728, 4570728, 4570728, 4570728, 4570728, 4570728
Sat Jan 14 09:48:54 EST 2017, 1, 10, 0.250, 1, 9.972, 0.0574108, 9.93155, 10.0124, 9.86, 9.97, 9.985, 10.04, 10.05, 45538.8, 2.56125, 45537, 45540.6, 45536, 45536, 45540, 45540, 45544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3648308, 0, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 4946123, 0, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123
Sat Jan 14 09:54:56 EST 2017, 1, 1, 0.000, 2, 8.871, 0.140886, 8.77174, 8.97026, 8.59, 8.89, 8.95, 8.96, 8.99, 48866, 2, 48864.6, 48867.4, 48864, 48864, 48868, 48868, 48868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2883007, 0, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 3915395, 0, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395
Sat Jan 14 09:59:08 EST 2017, 1, 2, 0.000, 2, 12.091, 0.501925, 11.7374, 12.4446, 11.29, 11.37, 12.42, 12.44, 12.48, 50922, 2, 50920.6, 50923.4, 50920, 50920, 50924, 50924, 50924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3891614, 0, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 6296628, 0, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628
Sat Jan 14 11:00:27 EST 2017, 1, 5, 0.000, 2, 15.174, 1.10843, 14.393, 15.955, 12.95, 15.38, 15.85, 15.96, 15.99, 54194.8, 2.56125, 54193, 54196.6, 54192, 54192, 54196, 54196, 54200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4721260, 0, 4721260, 4721260, 4721260, 4721260, 4721260, 4721260, 4721260, 9143025, 0, 9143025, 9143025, 9143025, 9143025, 9143025, 9143025, 9143025
Sat Jan 14 11:02:28 EST 2017, 1, 10, 0.000, 2, 16.34, 0.694435, 15.8507, 16.8293, 14.48, 16.1, 16.745, 16.82, 16.87, 54762.8, 1.83303, 54761.5, 54764.1, 54760, 54760, 54764, 54764, 54764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4955901, 0, 4955901, 4955901, 4955901, 4955901, 4955901, 4955901, 4955901, 9892913, 0, 9892913, 9892913, 9892913, 9892913, 9892913, 9892913, 9892913
Sat Jan 14 11:04:25 EST 2017, 1, 1, 0.250, 2, 8.742, 0.233187, 8.57771, 8.90629, 8.49, 8.51, 8.95, 8.98, 9.03, 45774.4, 1.95959, 45773, 45775.8, 45772, 45772, 45776, 45776, 45776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2878203, 0, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 3915208, 0, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208
Sat Jan 14 11:06:32 EST 2017, 1, 2, 0.250, 2, 12.42, 0.0618061, 12.3765, 12.4635, 12.26, 12.41, 12.43, 12.47, 12.5, 46875.6, 2.8, 46873.6, 46877.6, 46872, 46872, 46876, 46880, 46880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3865420, 0, 3865420, 3865420, 3865420, 3865420, 3865420, 3865420, 3865420, 6296184, 0, 6296184, 6296184, 6296184, 6296184, 6296184, 6296184, 6296184
Sat Jan 14 11:08:38 EST 2017, 1, 5, 0.250, 2, 16.002, 0.0550999, 15.9632, 16.0408, 15.94, 15.96, 15.995, 16.05, 16.14, 48293.2, 1.83303, 48291.9, 48294.5, 48292, 48292, 48292, 48296, 48296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4581304, 0, 4581304, 4581304, 4581304, 4581304, 4581304, 4581304, 4581304, 9142926, 0, 9142926, 9142926, 9142926, 9142926, 9142926, 9142926, 9142926
Sat Jan 14 11:10:45 EST 2017, 1, 10, 0.250, 2, 16.24, 0.492747, 15.8928, 16.5872, 15.16, 16.01, 16.425, 16.74, 16.82, 48698, 2, 48696.6, 48699.4, 48696, 48696, 48700, 48700, 48700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4712398, 0, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 9892887, 0, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887
Sat Jan 14 11:12:51 EST 2017, 1, 1, 0.000, 5, 18.733, 0.374675, 18.469, 18.997, 18.16, 18.29, 18.91, 19.11, 19.22, 51614.4, 2.6533, 51612.5, 51616.3, 51612, 51612, 51616, 51616, 51620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4440991, 0, 4440991, 4440991, 4440991, 4440991, 4440991, 4440991, 4440991, 9799092, 0, 9799092, 9799092, 9799092, 9799092, 9799092, 9799092, 9799092
Sat Jan 14 11:17:03 EST 2017, 1, 2, 0.000, 5, 25.971, 1.25973, 25.0835, 26.8585, 23.68, 25.7, 26.885, 27.01, 27.2, 55490, 2.68328, 55488.1, 55491.9, 55488, 55488, 55490, 55492, 55496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4900626, 0, 4900626, 4900626, 4900626, 4900626, 4900626, 4900626, 4900626, 15748136, 0, 15748136, 15748136, 15748136, 15748136, 15748136, 15748136, 15748136
