# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 15:58:26 EST 2016, 0, 0.000, 1, 13.444, 1.25527, 12.5596, 14.3284, 11.42, 12.45, 14.025, 15.03, 15.46, 215592, 10.7331, 215584, 215600, 215584, 215584, 215592, 215600, 215616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4224817, 0, 4224817, 4224817, 4224817, 4224817, 4224817, 4224817, 4224817, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000
Fri Dec 30 15:59:17 EST 2016, 1, 0.000, 1, 6.563, 0.32897, 6.33122, 6.79478, 6.03, 6.29, 6.75, 6.90, 7.09, 197547, 7.33212, 197542, 197552, 197536, 197536, 197552, 197552, 197552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1726031, 0, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1957178, 0, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178
Fri Dec 30 16:00:23 EST 2016, 2, 0.000, 1, 9.152, 1.04163, 8.41811, 9.88589, 7.85, 8.59, 8.875, 11.01, 11.27, 203226, 10.6132, 203219, 203233, 203216, 203216, 203232, 203232, 203248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2588942, 0, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 3147054, 0, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054
Fri Dec 30 16:01:29 EST 2016, 4, 0.000, 1, 11.966, 0.853618, 11.3646, 12.5674, 10.89, 11.06, 11.995, 13.28, 13.29, 209944, 8, 209938, 209950, 209936, 209936, 209952, 209952, 209952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3376635, 0, 3376635, 3376635, 3376635, 3376635, 3376635, 3376635, 3376635, 4305275, 0, 4305275, 4305275, 4305275, 4305275, 4305275, 4305275, 4305275
Fri Dec 30 16:02:30 EST 2016, 8, 0.000, 1, 12.8, 0.311095, 12.5808, 13.0192, 12.30, 12.55, 12.925, 13.17, 13.27, 212427, 7.33212, 212422, 212432, 212416, 212416, 212432, 212432, 212432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3859477, 0, 3859477, 3859477, 3859477, 3859477, 3859477, 3859477, 3859477, 4888717, 0, 4888717, 4888717, 4888717, 4888717, 4888717, 4888717, 4888717
Fri Dec 30 16:03:31 EST 2016, 0, 0.250, 1, 11.674, 0.585204, 11.2617, 12.0863, 10.92, 11.32, 11.595, 12.48, 13.01, 186752, 17.5271, 186740, 186764, 186704, 186752, 186752, 186768, 186768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3667387, 0, 3667387, 3667387, 3667387, 3667387, 3667387, 3667387, 3667387, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000
Fri Dec 30 16:04:27 EST 2016, 1, 0.250, 1, 6.565, 0.318975, 6.34026, 6.78974, 6.18, 6.45, 6.53, 6.70, 7.38, 181846, 10.6132, 181839, 181853, 181840, 181840, 181840, 181856, 181872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561
Fri Dec 30 16:05:34 EST 2016, 2, 0.250, 1, 8.546, 0.419338, 8.25055, 8.84145, 7.49, 8.46, 8.73, 8.84, 8.95, 183702, 7.83837, 183696, 183708, 183696, 183696, 183704, 183712, 183712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2567155, 0, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 3146921, 0, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921
Fri Dec 30 16:06:40 EST 2016, 4, 0.250, 1, 11.756, 0.975061, 11.069, 12.443, 11.00, 11.28, 11.53, 11.88, 14.59, 185734, 7.83837, 185728, 185740, 185728, 185728, 185736, 185744, 185744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3281561, 0, 3281561, 3281561, 3281561, 3281561, 3281561, 3281561, 3281561, 4305214, 0, 4305214, 4305214, 4305214, 4305214, 4305214, 4305214, 4305214
Fri Dec 30 16:07:46 EST 2016, 8, 0.250, 1, 13.06, 1.38837, 12.0818, 14.0382, 11.96, 12.27, 12.51, 15.78, 15.83, 186824, 8, 186818, 186830, 186816, 186816, 186832, 186832, 186832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3615725, 0, 3615725, 3615725, 3615725, 3615725, 3615725, 3615725, 3615725, 4888739, 0, 4888739, 4888739, 4888739, 4888739, 4888739, 4888739, 4888739
