# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 15:54:21 EST 2016, 0, 0.000, 1, 15.029, 1.0454, 14.2925, 15.7655, 12.21, 14.87, 15.15, 15.96, 16.11, 224205, 11.9733, 224197, 224213, 224192, 224192, 224208, 224224, 224224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4224817, 0, 4224817, 4224817, 4224817, 4224817, 4224817, 4224817, 4224817, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000
Fri Dec 30 15:55:17 EST 2016, 1, 0.000, 1, 8.428, 0.887094, 7.80299, 9.05301, 7.24, 8.09, 8.16, 9.50, 10.23, 206123, 10.245, 206116, 206130, 206112, 206112, 206128, 206128, 206144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1726031, 0, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1957178, 0, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178
Fri Dec 30 15:56:23 EST 2016, 2, 0.000, 1, 11.61, 1.70817, 10.4065, 12.8135, 8.50, 10.12, 12.535, 13.54, 13.97, 211736, 8, 211730, 211742, 211728, 211728, 211744, 211744, 211744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2588942, 0, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 3147054, 0, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054
Fri Dec 30 15:57:29 EST 2016, 4, 0.000, 1, 14.811, 1.85308, 13.5054, 16.1166, 12.91, 14.15, 14.325, 16.55, 19.67, 218485, 7.33212, 218480, 218490, 218480, 218480, 218480, 218496, 218496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3376635, 0, 3376635, 3376635, 3376635, 3376635, 3376635, 3376635, 3376635, 4305275, 0, 4305275, 4305275, 4305275, 4305275, 4305275, 4305275, 4305275
Fri Dec 30 15:58:25 EST 2016, 8, 0.000, 1, 16.033, 0.614297, 15.6002, 16.4658, 15.11, 15.27, 16.22, 16.73, 16.97, 221274, 10.6132, 221267, 221281, 221264, 221264, 221280, 221280, 221296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3859477, 0, 3859477, 3859477, 3859477, 3859477, 3859477, 3859477, 3859477, 4888717, 0, 4888717, 4888717, 4888717, 4888717, 4888717, 4888717, 4888717
Fri Dec 30 15:59:26 EST 2016, 0, 0.250, 1, 14.052, 1.02778, 13.3279, 14.7761, 12.95, 13.08, 14.315, 15.27, 15.59, 195288, 8, 195282, 195294, 195280, 195280, 195296, 195296, 195296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3667387, 0, 3667387, 3667387, 3667387, 3667387, 3667387, 3667387, 3667387, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000
Fri Dec 30 16:00:22 EST 2016, 1, 0.250, 1, 7.734, 0.52374, 7.365, 8.103, 6.97, 7.24, 8.005, 8.39, 8.51, 190365, 11.9733, 190357, 190373, 190352, 190352, 190368, 190384, 190384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561
Fri Dec 30 16:01:28 EST 2016, 2, 0.250, 1, 10.917, 0.366307, 10.6589, 11.1751, 10.63, 10.69, 10.84, 11.20, 11.90, 192317, 11.9733, 192309, 192325, 192304, 192304, 192320, 192336, 192336, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2567155, 0, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 3146921, 0, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921
Fri Dec 30 16:02:34 EST 2016, 4, 0.250, 1, 14.057, 0.940819, 13.3941, 14.7199, 13.32, 13.46, 13.9, 14.39, 16.72, 194200, 8, 194194, 194206, 194192, 194192, 194208, 194208, 194208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3281561, 0, 3281561, 3281561, 3281561, 3281561, 3281561, 3281561, 3281561, 4305214, 0, 4305214, 4305214, 4305214, 4305214, 4305214, 4305214, 4305214
Fri Dec 30 16:03:40 EST 2016, 8, 0.250, 1, 15.331, 1.41138, 14.3366, 16.3254, 13.52, 14.71, 15.035, 15.90, 19.17, 195352, 8, 195346, 195358, 195344, 195344, 195360, 195360, 195360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3615725, 0, 3615725, 3615725, 3615725, 3615725, 3615725, 3615725, 3615725, 4888739, 0, 4888739, 4888739, 4888739, 4888739, 4888739, 4888739, 4888739
Fri Dec 30 16:04:36 EST 2016, 0, 0.500, 1, 13.455, 0.756535, 12.922, 13.988, 12.27, 12.51, 13.92, 14.15, 14.50, 191814, 7.83837, 191808, 191820, 191808, 191808, 191816, 191824, 191824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3580352, 0, 3580352, 3580352, 3580352, 3580352, 3580352, 3580352, 3580352, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000
Fri Dec 30 16:05:32 EST 2016, 1, 0.500, 1, 7.289, 0.218424, 7.13511, 7.44289, 6.85, 7.13, 7.355, 7.55, 7.61, 188362, 10.6132, 188355, 188369, 188352, 188352, 188368, 188368, 188384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1719030, 0, 1719030, 1719030, 1719030, 1719030, 1719030, 1719030, 1719030, 1957119, 0, 1957119, 1957119, 1957119, 1957119, 1957119, 1957119, 1957119
Fri Dec 30 16:06:38 EST 2016, 2, 0.500, 1, 11.261, 1.42977, 10.2536, 12.2684, 9.91, 10.27, 10.965, 13.97, 14.09, 189781, 14.4, 189771, 189791, 189744, 189776, 189792, 189792, 189792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2550010, 0, 2550010, 2550010, 2550010, 2550010, 2550010, 2550010, 2550010, 3146693, 0, 3146693, 3146693, 3146693, 3146693, 3146693, 3146693, 3146693
Fri Dec 30 16:07:45 EST 2016, 4, 0.500, 1, 13.734, 1.22937, 12.8678, 14.6002, 12.54, 13.07, 13.44, 15.37, 16.71, 191210, 12.8, 191201, 191219, 191200, 191200, 191208, 191232, 191232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3232767, 0, 3232767, 3232767, 3232767, 3232767, 3232767, 3232767, 3232767, 4305357, 0, 4305357, 4305357, 4305357, 4305357, 4305357, 4305357, 4305357
Fri Dec 30 16:08:46 EST 2016, 8, 0.500, 1, 14.614, 1.13312, 13.8157, 15.4123, 13.29, 13.98, 14.315, 16.54, 16.92, 192002, 24.2124, 191985, 192019, 191936, 192000, 192008, 192016, 192032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3536251, 0, 3536251, 3536251, 3536251, 3536251, 3536251, 3536251, 3536251, 4888768, 0, 4888768, 4888768, 4888768, 4888768, 4888768, 4888768, 4888768
Fri Dec 30 16:10:02 EST 2016, 0, 0.000, 2, 23.449, 2.51337, 21.6782, 25.2198, 20.98, 21.81, 23.05, 27.29, 28.90, 233590, 10.6132, 233583, 233597, 233584, 233584, 233584, 233600, 233616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4985519, 0, 4985519, 4985519, 4985519, 4985519, 4985519, 4985519, 4985519, 9960000, 0, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000, 9960000
Fri Dec 30 16:10:48 EST 2016, 1, 0.000, 2, 12.857, 1.05321, 12.115, 13.599, 10.56, 12.25, 13.095, 14.27, 14.37, 210218, 7.83837, 210212, 210224, 210208, 210208, 210224, 210224, 210224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2883007, 0, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 3915395, 0, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395
