# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Thu May 18 11:49:07 EDT 2017, 1, 1, 0.250, 1, 8.422, 1.588, 7.30317, 9.54083, 6.64, 7.35, 8.89, 10.34, 10.34, 168188, 3.09839, 168186, 168190, 168184, 168184, 168188, 168192, 168192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1964685, 0, 1964685, 1964685, 1964685, 1964685, 1964685, 1964685, 1964685, 1.84378e+08, 2.60064e+06, 1.82546e+08, 1.8621e+08, 180400129, 183387570, 184509905, 187636832, 189250687, 1.33893e+08, 5.22399e+06, 1.30212e+08, 1.37574e+08, 122418517, 135651225, 135807621, 138264919, 138672618, 1.84378e+08, 2.60064e+06, 1.82546e+08, 1.8621e+08, 180400129, 183387570, 184509905, 187636832, 189250687, 1.33893e+08, 5.22399e+06, 1.30212e+08, 1.37574e+08, 122418517, 135651225, 135807621, 138264919, 138672618, 1.61887e+10, 5.35505e+08, 1.58114e+10, 1.6566e+10, 15073937897, 16304524064, 16457816983, 16492861241, 16679597840, 7.35105e+09, 3.55675e+07, 7.32599e+09, 7.37611e+09, 7309753919, 7315185330, 7359070356, 7400010491, 7402798698, 1.34465e+09, 6.86781e+06, 1.33981e+09, 1.34949e+09, 1337475454, 1339727314, 1.3447e+09, 1354042376, 1355493486, 4.80825e+07, 2.60774e+06, 4.62452e+07, 4.99198e+07, 44895216, 45109243, 4.89876e+07, 51225123, 51760542, 1.34465e+09, 6.86781e+06, 1.33981e+09, 1.34949e+09, 1337475454, 1339727314, 1.3447e+09, 1354042376, 1355493486, 4.80825e+07, 2.60774e+06, 4.62452e+07, 4.99198e+07, 44895216, 45109243, 4.89876e+07, 51225123, 51760542
Thu May 18 11:50:20 EDT 2017, 1, 10, 0.250, 1, 12.581, 4.08214, 9.70491, 15.4571, 7.35, 7.44, 14.56, 17.23, 17.24, 299054, 85671.3, 238694, 359414, 168184, 168192, 355138, 355144, 355144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.07067e+06, 882358, 2.449e+06, 3.69234e+06, 1722846, 1722846, 3648308, 3648308, 3648308, 4.05867e+06, 1.37084e+06, 3.09284e+06, 5.0245e+06, 1964685, 1964685, 4956099, 4956099, 4956099, 2.82025e+08, 6.33173e+07, 2.37414e+08, 3.26636e+08, 183971653, 187636832, 322365129, 323554428, 331646877, 179557057, 3.40194e+07, 1.55589e+08, 2.03526e+08, 135651225, 138264919, 2.01098e+08, 214083445, 217919218, 2.82025e+08, 6.33173e+07, 2.37414e+08, 3.26636e+08, 183971653, 187636832, 322365129, 323554428, 331646877, 179557057, 3.40194e+07, 1.55589e+08, 2.03526e+08, 135651225, 138264919, 2.01098e+08, 214083445, 217919218, 2.59034e+10, 6.33466e+09, 2.14403e+10, 3.03665e+10, 16452466235, 16679597840, 3.01702e+10, 31511814514, 31512200002, 1.28213e+10, 3.55563e+09, 1.03162e+10, 1.53264e+10, 7379995043, 7402798698, 1.51462e+10, 15154241522, 15161074562, 2.31689e+09, 6.31729e+08, 1.8718e+09, 2.76198e+09, 1349305706, 1354042376, 2730313341, 2732992165, 2733974572, 8.36105e+07, 2.34751e+07, 6.7071e+07, 1.0015e+08, 44944831, 51760542, 9.35816e+07, 105128204, 113242505, 2.31689e+09, 6.31729e+08, 1.8718e+09, 2.76198e+09, 1349305706, 1354042376, 2730313341, 2732992165, 2733974572, 8.36105e+07, 2.34751e+07, 6.7071e+07, 1.0015e+08, 44944831, 51760542, 9.35816e+07, 105128204, 113242505
Thu May 18 11:51:17 EDT 2017, 1, 1, 0.250, 2, 11.075, 2.25958, 9.483, 12.667, 7.38, 10.42, 12.07, 13.46, 13.49, 266703, 49255.6, 232000, 301406, 168192, 291304, 291332, 291352, 291356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.64713e+06, 462143, 2.32152e+06, 2.97274e+06, 1722846, 2878203, 2878203, 2878203, 2878203, 3.53408e+06, 784696, 2.98122e+06, 4.08694e+06, 1964685, 3926424, 3926424, 3926424, 3926424, 2.62537e+08, 3.83684e+07, 2.35504e+08, 2.8957e+08, 184667370, 277247809, 2.80082e+08, 287270805, 288249884, 1.74222e+08, 2.05909e+07, 1.59715e+08, 1.88729e+08, 135905276, 172447938, 1.83957e+08, 195315934, 195386006, 2.62537e+08, 3.83684e+07, 2.35504e+08, 2.8957e+08, 184667370, 277247809, 2.80082e+08, 287270805, 288249884, 1.74222e+08, 2.05909e+07, 1.59715e+08, 1.88729e+08, 135905276, 172447938, 1.83957e+08, 195315934, 195386006, 2.40011e+10, 3.7831e+09, 2.13357e+10, 2.66665e+10, 16492861241, 24867216618, 2.59715e+10, 26666154297, 26864659526, 1.13276e+10, 1.9724e+09, 9.93793e+09, 1.27173e+10, 7379995043, 12242518921, 12316207608, 12359750491, 12363439536, 2044292333, 3.46808e+08, 1.79995e+09, 2.28864e+09, 1349305706, 2203395720, 2.21652e+09, 2228308109, 2228690682, 6.4733e+07, 9.57519e+06, 5.79867e+07, 7.14793e+07, 44944831, 64440929, 6.71554e+07, 74073912, 78212206, 2044292333, 3.46808e+08, 1.79995e+09, 2.28864e+09, 1349305706, 2203395720, 2.21652e+09, 2228308109, 2228690682, 6.4733e+07, 9.57519e+06, 5.79867e+07, 7.14793e+07, 44944831, 64440929, 6.71554e+07, 74073912, 78212206
Thu May 18 11:52:35 EDT 2017, 1, 10, 0.250, 2, 18.582, 4.005, 15.7603, 21.4037, 7.38, 17.57, 20.335, 21.38, 21.38, 615713, 149174, 510612, 720814, 168192, 665328, 665522, 665528, 665528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.41344e+06, 896866, 3.78155e+06, 5.04533e+06, 1722846, 4712398, 4712398, 4712398, 4712398, 9117975, 2384430, 7.43801e+06, 1.07979e+07, 1964685, 9912785, 9912785, 9912785, 9912785, 4.36804e+08, 8.42409e+07, 3.77452e+08, 4.96156e+08, 184667370, 459004410, 4.64355e+08, 474602104, 475807224, 2.67527e+08, 4.65003e+07, 2.34765e+08, 3.00289e+08, 135905276, 253795783, 290128128, 294396751, 300521506, 4.36804e+08, 8.42409e+07, 3.77452e+08, 4.96156e+08, 184667370, 459004410, 4.64355e+08, 474602104, 475807224, 2.67527e+08, 4.65003e+07, 2.34765e+08, 3.00289e+08, 135905276, 253795783, 290128128, 294396751, 300521506, 4.19105e+10, 8.57373e+09, 3.58698e+10, 4.79512e+10, 16492861241, 42596871077, 4.49681e+10, 46071162321, 46616464801, 2.15397e+10, 4.72005e+09, 1.82142e+10, 2.48652e+10, 7379995043, 23079112706, 2.31202e+10, 23156840557, 23163633048, 3.86859e+09, 8.39794e+08, 3.27691e+09, 4.46027e+09, 1349305706, 4139351643, 4.15331e+09, 4155611360, 4158454840, 1.13682e+08, 2.34636e+07, 9.71506e+07, 1.30213e+08, 44944831, 116863354, 120438959, 130382485, 130788612, 3.86859e+09, 8.39794e+08, 3.27691e+09, 4.46027e+09, 1349305706, 4139351643, 4.15331e+09, 4155611360, 4158454840, 1.13682e+08, 2.34636e+07, 9.71506e+07, 1.30213e+08, 44944831, 116863354, 120438959, 130382485, 130788612
Thu May 18 11:53:43 EDT 2017, 1, 1, 0.250, 5, 19.486, 4.54792, 16.2817, 22.6903, 7.38, 18.14, 21.43, 23.18, 23.47, 610760, 147523, 506822, 714698, 168192, 659932, 659932, 659936, 659944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.16327e+06, 813475, 3.59013e+06, 4.73641e+06, 1722846, 4434430, 4434430, 4434430, 4434430, 9.03477e+06, 2.3567e+06, 7.37434e+06, 1.06952e+07, 1964685, 9820338, 9820338, 9820338, 9820338, 4.39264e+08, 8.49913e+07, 3.79383e+08, 4.99145e+08, 184667370, 462408719, 466895106, 474756624, 475974645, 2.72257e+08, 4.69533e+07, 2.39176e+08, 3.05338e+08, 135905276, 268415313, 2.93014e+08, 298345711, 301667274, 4.39264e+08, 8.49913e+07, 3.79383e+08, 4.99145e+08, 184667370, 462408719, 466895106, 474756624, 475974645, 2.72257e+08, 4.69533e+07, 2.39176e+08, 3.05338e+08, 135905276, 268415313, 2.93014e+08, 298345711, 301667274, 4.24078e+10, 8.69314e+09, 3.6283e+10, 4.85326e+10, 16492861241, 43967441239, 45811378427, 46223139612, 46716351416, 2.11598e+10, 4.59339e+09, 1.79235e+10, 2.43961e+10, 7379995043, 22645872095, 2.2715e+10, 22725219427, 22733049184, 3766536655, 8.05778e+08, 3.19882e+09, 4.33425e+09, 1349305706, 4026877416, 4.04e+09, 4042861369, 4044325658, 9.36377e+07, 1.6288e+07, 8.21619e+07, 1.05113e+08, 44944831, 97451769, 99483608, 100172765, 101553252, 3766536655, 8.05778e+08, 3.19882e+09, 4.33425e+09, 1349305706, 4026877416, 4.04e+09, 4042861369, 4044325658, 9.36377e+07, 1.6288e+07, 8.21619e+07, 1.05113e+08, 44944831, 97451769, 99483608, 100172765, 101553252
Thu May 18 11:54:56 EDT 2017, 1, 10, 0.250, 5, 29.217, 7.56846, 23.8846, 34.5494, 7.38, 28.61, 32.36, 33.88, 34.33, 1.45236e+06, 428057, 1.15077e+06, 1.75395e+06, 168192, 1594996, 1595084, 1595088, 1595088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.66267e+06, 979943, 3.97225e+06, 5.35309e+06, 1722846, 4989322, 4989322, 4989322, 4989322, 2.2501e+07, 6.84543e+06, 1.7678e+07, 2.7324e+07, 1964685, 24782780, 24782780, 24782780, 24782780, 6.82731e+08, 1.66359e+08, 5.65522e+08, 7.9994e+08, 184667370, 723473258, 744985923, 748821474, 751029661, 3.92165e+08, 8.86839e+07, 3.29682e+08, 4.54648e+08, 135905276, 386752475, 430134938, 442991200, 446836753, 6.82731e+08, 1.66359e+08, 5.65522e+08, 7.9994e+08, 184667370, 723473258, 744985923, 748821474, 751029661, 3.92165e+08, 8.86839e+07, 3.29682e+08, 4.54648e+08, 135905276, 386752475, 430134938, 442991200, 446836753, 6.66792e+10, 1.68136e+10, 5.48331e+10, 7.85253e+10, 16492861241, 70209915422, 72842110311, 73855849336, 74859470448, 3.70736e+10, 9.89792e+09, 3.01e+10, 4.40472e+10, 7379995043, 40323067736, 40386098306, 40399500788, 40425398390, 6.60254e+09, 1.75109e+09, 5.3688e+09, 7.83628e+09, 1349305706, 7176176770, 7.19074e+09, 7194005925, 7194083550, 1.31249e+08, 2.9231e+07, 1.10654e+08, 1.51844e+08, 44944831, 136584301, 1.38733e+08, 146897052, 152238261, 6.60254e+09, 1.75109e+09, 5.3688e+09, 7.83628e+09, 1349305706, 7176176770, 7.19074e+09, 7194005925, 7194083550, 1.31249e+08, 2.9231e+07, 1.10654e+08, 1.51844e+08, 44944831, 136584301, 1.38733e+08, 146897052, 152238261
Thu May 18 11:56:04 EDT 2017, 1, 1, 0.250, 10, 29.551, 7.66716, 24.1491, 34.9529, 7.38, 29.21, 32.575, 34.39, 34.59, 1.16457e+06, 332127, 930568, 1.39857e+06, 168192, 1275196, 1275348, 1275348, 1275352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.61008e+06, 962412, 3.93201e+06, 5.28815e+06, 1722846, 4930887, 4930887, 4930887, 4930887, 1.78788e+07, 5.30469e+06, 1.41414e+07, 2.16162e+07, 1964685, 19646999, 19646999, 19646999, 19646999, 7.34165e+08, 1.83344e+08, 6.04989e+08, 8.63341e+08, 184667370, 787377859, 794170143, 804940298, 814216606, 397627598, 8.93612e+07, 3.34668e+08, 4.60588e+08, 135905276, 391714456, 4.36966e+08, 442916349, 449090124, 7.34165e+08, 1.83344e+08, 6.04989e+08, 8.63341e+08, 184667370, 787377859, 794170143, 804940298, 814216606, 397627598, 8.93612e+07, 3.34668e+08, 4.60588e+08, 135905276, 391714456, 4.36966e+08, 442916349, 449090124, 6.75669e+10, 1.7094e+10, 5.55232e+10, 7.96106e+10, 16492861241, 71569724399, 7.34568e+10, 75153913195, 75689745430, 3.24492e+10, 8.35649e+09, 2.65616e+10, 3.83368e+10, 7379995043, 35191601903, 35255018730, 35273994894, 35274049193, 5.7206e+09, 1.45713e+09, 4.69397e+09, 6.74723e+09, 1349305706, 6198217956, 6.21e+09, 6215284203, 6217258770, 1.27239e+08, 2.77334e+07, 1.07699e+08, 1.46779e+08, 44944831, 133618778, 1.34356e+08, 143861835, 144858065, 5.7206e+09, 1.45713e+09, 4.69397e+09, 6.74723e+09, 1349305706, 6198217956, 6.21e+09, 6215284203, 6217258770, 1.27239e+08, 2.77334e+07, 1.07699e+08, 1.46779e+08, 44944831, 133618778, 1.34356e+08, 143861835, 144858065
Thu May 18 11:57:32 EDT 2017, 1, 10, 0.250, 10, 51.721, 5.86735, 47.5871, 55.8549, 43.58, 47.61, 52.67, 56.67, 64.21, 3.11708e+06, 34500.2, 3.09277e+06, 3.14139e+06, 3071044, 3075056, 3145196, 3145196, 3145204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 49564596, 0, 49564596, 49564596, 49564596, 49564596, 49564596, 49564596, 49564596, 1.02047e+09, 3.25404e+07, 9.97543e+08, 1.0434e+09, 938418047, 1015323239, 1036989817, 1043126968, 1055236670, 5.75086e+08, 2.39451e+07, 5.58215e+08, 5.91957e+08, 538142119, 554311967, 5.87749e+08, 602907356, 603493331, 1.02047e+09, 3.25404e+07, 9.97543e+08, 1.0434e+09, 938418047, 1015323239, 1036989817, 1043126968, 1055236670, 5.75086e+08, 2.39451e+07, 5.58215e+08, 5.91957e+08, 538142119, 554311967, 5.87749e+08, 602907356, 603493331, 1.10288e+11, 2.53642e+09, 1.08501e+11, 1.12075e+11, 104639656545, 108864176436, 111929380626, 112213477564, 113620301100, 6.88056e+10, 5.13045e+08, 6.84441e+10, 6.91671e+10, 68375589593, 68442102856, 68646136178, 69390901454, 69948296969, 1.21596e+10, 1.05819e+08, 1.2085e+10, 1.22342e+10, 12072262757, 12083525935, 12129110516, 12281798133, 12397493311, 1.9812e+08, 3.45211e+06, 1.95688e+08, 2.00552e+08, 193856969, 194482638, 199081540, 199870159, 205928979, 1.21596e+10, 1.05819e+08, 1.2085e+10, 1.22342e+10, 12072262757, 12083525935, 12129110516, 12281798133, 12397493311, 1.9812e+08, 3.45211e+06, 1.95688e+08, 2.00552e+08, 193856969, 194482638, 199081540, 199870159, 205928979
Thu May 18 11:59:16 EDT 2017, 1, 1, 0.250, 15, 41.292, 7.96892, 35.6775, 46.9065, 35.35, 37.62, 40.715, 41.86, 64.21, 2006800, 354748, 1.75686e+06, 2.25674e+06, 1888500, 1888504, 1888588, 1888592, 3071044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98442e+06, 1861.2, 4.98311e+06, 4.98573e+06, 4983796, 4983796, 4983796, 4983796, 4990000, 3.14699e+07, 6.03156e+06, 2.72203e+07, 3.57195e+07, 29459407, 29459407, 29459407, 29459407, 49564596, 9.38175e+08, 4.03177e+07, 9.09769e+08, 9.66581e+08, 902796973, 921237819, 929740386, 943133869, 1055236670, 5.16991e+08, 3.39008e+07, 4.93106e+08, 5.40876e+08, 468564664, 507147963, 522819177, 532404893, 596432552, 9.38175e+08, 4.03177e+07, 9.09769e+08, 9.66581e+08, 902796973, 921237819, 929740386, 943133869, 1055236670, 5.16991e+08, 3.39008e+07, 4.93106e+08, 5.40876e+08, 468564664, 507147963, 522819177, 532404893, 596432552, 9.1333e+10, 7.15968e+09, 8.62886e+10, 9.63774e+10, 86973736151, 87556643718, 8.98043e+10, 92060645589, 112213477564, 48885752508, 6.63726e+09, 4.42094e+10, 5.35621e+10, 46605192912, 46643305845, 46691038567, 46761561545, 68797081378, 8.57951e+09, 1.18951e+09, 7.74143e+09, 9.41759e+09, 8174398322, 8179210894, 8.18481e+09, 8194443075, 12147977440, 1.64101e+08, 1.24747e+07, 1.55312e+08, 1.7289e+08, 154755126, 156914248, 1.60943e+08, 168957086, 199681604, 8.57951e+09, 1.18951e+09, 7.74143e+09, 9.41759e+09, 8174398322, 8179210894, 8.18481e+09, 8194443075, 12147977440, 1.64101e+08, 1.24747e+07, 1.55312e+08, 1.7289e+08, 154755126, 156914248, 1.60943e+08, 168957086, 199681604
Thu May 18 12:01:59 EDT 2017, 1, 10, 0.250, 15, 96.271, 35.0062, 71.6072, 120.935, 53.95, 64.21, 108.405, 137.25, 140.84, 3.7191e+06, 629508, 3.27558e+06, 4.16262e+06, 3071044, 3124188, 4040016, 4694216, 4694220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 7.1868e+07, 7.43447e+06, 6.663e+07, 7.7106e+07, 49564596, 74346162, 74346162, 74346162, 74346162, 1.12478e+09, 2.98228e+07, 1.10377e+09, 1.14579e+09, 1055236670, 1112682258, 1138792668, 1154804756, 1163560345, 6.41848e+08, 2.59192e+07, 6.23586e+08, 6.6011e+08, 596432552, 608462257, 6.58134e+08, 664739856, 670623320, 1.12478e+09, 2.98228e+07, 1.10377e+09, 1.14579e+09, 1055236670, 1112682258, 1138792668, 1154804756, 1163560345, 6.41848e+08, 2.59192e+07, 6.23586e+08, 6.6011e+08, 596432552, 608462257, 6.58134e+08, 664739856, 670623320, 133419716898, 7.16533e+09, 1.28371e+11, 1.38468e+11, 112213477564, 134682192938, 1.35981e+11, 136821711417, 138071127275, 96307346995, 9.3933e+09, 8.96892e+10, 1.02925e+11, 68797081378, 96955768486, 9.95904e+10, 101793213776, 102219171159, 17158536335, 1.77572e+09, 1.59074e+10, 1.84096e+10, 12147977440, 16999123596, 1.77939e+10, 18438029075, 18531309296, 2.45349e+08, 1.58488e+07, 2.34183e+08, 2.56515e+08, 199681604, 243977721, 2.51761e+08, 255722946, 255843428, 17158536335, 1.77572e+09, 1.59074e+10, 1.84096e+10, 12147977440, 16999123596, 1.77939e+10, 18438029075, 18531309296, 2.45349e+08, 1.58488e+07, 2.34183e+08, 2.56515e+08, 199681604, 243977721, 2.51761e+08, 255722946, 255843428
