# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Thu May 18 12:08:25 EDT 2017, 1, 1, 0.250, 1, 5.496, 1.10443, 4.71787, 6.27413, 4.03, 4.87, 5.005, 7.11, 7.18, 164660, 2.8, 164658, 164662, 164656, 164660, 164660, 164664, 164664, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1964685, 0, 1964685, 1964685, 1964685, 1964685, 1964685, 1964685, 1964685, 1.28115e+08, 8.68913e+06, 1.21993e+08, 1.34237e+08, 121062834, 122260139, 1.23226e+08, 141236966, 141780669, 94405075, 7.68301e+06, 8.8992e+07, 9.98182e+07, 72365743, 94964083, 97322449, 98737098, 101535153, 1.28115e+08, 8.68913e+06, 1.21993e+08, 1.34237e+08, 121062834, 122260139, 1.23226e+08, 141236966, 141780669, 94405075, 7.68301e+06, 8.8992e+07, 9.98182e+07, 72365743, 94964083, 97322449, 98737098, 101535153, 9.80344e+09, 4.44471e+08, 9.49029e+09, 1.01166e+10, 8704349938, 9749298716, 9.97466e+09, 10181352073, 10376942337, 5.38923e+09, 2.34481e+07, 5.37271e+09, 5.40575e+09, 5362155446, 5380146993, 5.38581e+09, 5394832620, 5455278739, 1.03109e+09, 4.86985e+06, 1.02766e+09, 1.03452e+09, 1026164878, 1028078133, 1.0309e+09, 1031944890, 1044551361, 2.22252e+07, 3.43134e+06, 1.98076e+07, 2.46428e+07, 17928007, 18465348, 2.45825e+07, 25181232, 27767619, 1.03109e+09, 4.86985e+06, 1.02766e+09, 1.03452e+09, 1026164878, 1028078133, 1.0309e+09, 1031944890, 1044551361, 2.22252e+07, 3.43134e+06, 1.98076e+07, 2.46428e+07, 17928007, 18465348, 2.45825e+07, 25181232, 27767619
Thu May 18 12:09:38 EDT 2017, 1, 10, 0.250, 1, 8.859, 1.05285, 8.11721, 9.60079, 7.53, 8.18, 9.185, 10.13, 10.17, 351623, 2.99332, 351621, 351625, 351620, 351620, 351624, 351628, 351628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3648308, 0, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 4956099, 0, 4956099, 4956099, 4956099, 4956099, 4956099, 4956099, 4956099, 2.14885e+08, 7.76247e+06, 2.09416e+08, 2.20354e+08, 194805147, 210554257, 218837858, 220186968, 220638475, 1.32235e+08, 3.75424e+06, 1.2959e+08, 1.3488e+08, 124775357, 133414274, 1.33991e+08, 134342609, 135209100, 2.14885e+08, 7.76247e+06, 2.09416e+08, 2.20354e+08, 194805147, 210554257, 218837858, 220186968, 220638475, 1.32235e+08, 3.75424e+06, 1.2959e+08, 1.3488e+08, 124775357, 133414274, 1.33991e+08, 134342609, 135209100, 18139455221, 3.47362e+08, 1.78947e+10, 1.83842e+10, 17480278083, 17978552357, 1.82868e+10, 18465223644, 18616575305, 1.14954e+10, 3.71348e+07, 1.14692e+10, 1.15216e+10, 11441928959, 11453836183, 11517884712, 11533994761, 11537133647, 2.15632e+09, 7.31577e+06, 2.15117e+09, 2.16147e+09, 2145439198, 2149382446, 2160054333, 2164263000, 2165072004, 3.23416e+07, 4.40362e+06, 2.9239e+07, 3.54442e+07, 28264159, 28561214, 3.36131e+07, 36336774, 42237947, 2.15632e+09, 7.31577e+06, 2.15117e+09, 2.16147e+09, 2145439198, 2149382446, 2160054333, 2164263000, 2165072004, 3.23416e+07, 4.40362e+06, 2.9239e+07, 3.54442e+07, 28264159, 28561214, 3.36131e+07, 36336774, 42237947
Thu May 18 12:10:40 EDT 2017, 1, 1, 0.250, 2, 8.328, 1.03366, 7.59973, 9.05627, 7.05, 7.46, 8.865, 9.44, 9.8, 293674, 19317.1, 280064, 307284, 287084, 287088, 287352, 287356, 351624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.95521e+06, 231032, 2.79244e+06, 3.11798e+06, 2878203, 2878203, 2878203, 2878203, 3648308, 4.02939e+06, 308902, 3.81175e+06, 4.24703e+06, 3926424, 3926424, 3926424, 3926424, 4956099, 1.92757e+08, 9.33376e+06, 1.86181e+08, 1.99333e+08, 188465037, 188829167, 1.90052e+08, 191418315, 220638475, 1.28035e+08, 3.65855e+06, 1.25457e+08, 1.30613e+08, 121814591, 126916764, 1.29853e+08, 130307194, 134342609, 1.92757e+08, 9.33376e+06, 1.86181e+08, 1.99333e+08, 188465037, 188829167, 1.90052e+08, 191418315, 220638475, 1.28035e+08, 3.65855e+06, 1.25457e+08, 1.30613e+08, 121814591, 126916764, 1.29853e+08, 130307194, 134342609, 17168396688, 6.44493e+08, 1.67143e+10, 1.76225e+10, 16305007025, 16719484006, 17119539056, 18211630014, 18465223644, 9.67106e+09, 6.15666e+08, 9.23729e+09, 1.01048e+10, 9413560554, 9428451396, 9.49765e+09, 9506442012, 11514984930, 1.82367e+09, 1.12714e+08, 1.74426e+09, 1.90308e+09, 1776141215, 1779774213, 1.79266e+09, 1794026209, 2161163492, 3.98647e+07, 4.24463e+06, 3.68741e+07, 4.28553e+07, 28903211, 37662519, 4.23857e+07, 43122947, 43406859, 1.82367e+09, 1.12714e+08, 1.74426e+09, 1.90308e+09, 1776141215, 1779774213, 1.79266e+09, 1794026209, 2161163492, 3.98647e+07, 4.24463e+06, 3.68741e+07, 4.28553e+07, 28903211, 37662519, 4.23857e+07, 43122947, 43406859
Thu May 18 12:11:48 EDT 2017, 1, 10, 0.250, 2, 13.523, 2.11467, 12.0331, 15.0129, 8.29, 12.53, 14.445, 15.41, 15.65, 630493, 92956.4, 565000, 695986, 351624, 661456, 661494, 661496, 661496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4605989, 319227, 4.38108e+06, 4.8309e+06, 3648308, 4712398, 4712398, 4712398, 4712398, 9.41712e+06, 1.48701e+06, 8.36944e+06, 1.04648e+07, 4956099, 9912785, 9912785, 9912785, 9912785, 3.72542e+08, 6.63794e+07, 3.25774e+08, 4.1931e+08, 220638475, 325338324, 420013489, 423833205, 424190436, 1.70148e+08, 1.5327e+07, 1.59349e+08, 1.80947e+08, 134342609, 158474005, 1.76315e+08, 184979593, 185389679, 3.72542e+08, 6.63794e+07, 3.25774e+08, 4.1931e+08, 220638475, 325338324, 420013489, 423833205, 424190436, 1.70148e+08, 1.5327e+07, 1.59349e+08, 1.80947e+08, 134342609, 158474005, 1.76315e+08, 184979593, 185389679, 2.9462e+10, 3.70521e+09, 2.68515e+10, 3.20725e+10, 18465223644, 29995355715, 30860274411, 31091348887, 31769770162, 1.92768e+10, 2.58745e+09, 1.74538e+10, 2.10998e+10, 11514984930, 20108916333, 20144018267, 20175366446, 20183757271, 3.58107e+09, 4.7334e+08, 3.24758e+09, 3.91456e+09, 2161163492, 3733048773, 3740141215, 3746700685, 3746988799, 6.2274e+07, 1.20188e+07, 5.38061e+07, 7.07419e+07, 28903211, 61656845, 6.57215e+07, 70034247, 75642027, 3.58107e+09, 4.7334e+08, 3.24758e+09, 3.91456e+09, 2161163492, 3733048773, 3740141215, 3746700685, 3746988799, 6.2274e+07, 1.20188e+07, 5.38061e+07, 7.07419e+07, 28903211, 61656845, 6.57215e+07, 70034247, 75642027
Thu May 18 12:12:56 EDT 2017, 1, 1, 0.250, 5, 14.998, 2.66153, 13.1228, 16.8732, 8.29, 14.48, 16.205, 17.38, 17.48, 625997, 91473.2, 561549, 690445, 351624, 655760, 655950, 655956, 661496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.38361e+06, 258734, 4.20132e+06, 4.5659e+06, 3648308, 4434430, 4434430, 4434430, 4712398, 9.34316e+06, 1.46261e+06, 8.31267e+06, 1.03736e+07, 4956099, 9820338, 9820338, 9820338, 9912785, 3.76412e+08, 5.29227e+07, 3.39125e+08, 4.13699e+08, 220638475, 388120414, 3.90428e+08, 393302015, 423833205, 188547750, 2.17109e+07, 1.73251e+08, 2.03844e+08, 134342609, 185436316, 197035165, 208119943, 208941444, 3.76412e+08, 5.29227e+07, 3.39125e+08, 4.13699e+08, 220638475, 388120414, 3.90428e+08, 393302015, 423833205, 188547750, 2.17109e+07, 1.73251e+08, 2.03844e+08, 134342609, 185436316, 197035165, 208119943, 208941444, 3.38976e+10, 5.48209e+09, 3.00352e+10, 3.776e+10, 18465223644, 35081001401, 3.65541e+10, 36904077961, 37118025853, 1.93818e+10, 2.62283e+09, 1.75339e+10, 2.12297e+10, 11514984930, 20219522854, 20271217019, 20313637679, 20324305168, 3.60095e+09, 4.80037e+08, 3.26274e+09, 3.93916e+09, 2161163492, 3755619502, 3762600951, 3771625177, 3773198977, 9.62879e+07, 2.6898e+07, 7.73368e+07, 1.15239e+08, 28903211, 96608297, 1.05598e+08, 107230716, 133785368, 3.60095e+09, 4.80037e+08, 3.26274e+09, 3.93916e+09, 2161163492, 3755619502, 3762600951, 3771625177, 3773198977, 9.62879e+07, 2.6898e+07, 7.73368e+07, 1.15239e+08, 28903211, 96608297, 1.05598e+08, 107230716, 133785368
Thu May 18 12:14:14 EDT 2017, 1, 10, 0.250, 5, 28.488, 7.15638, 23.4459, 33.5301, 8.29, 27.38, 31.185, 33.7, 34.02, 1.46713e+06, 371834, 1.20515e+06, 1.72911e+06, 351624, 1591024, 1591102, 1591104, 1591104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85522e+06, 402304, 4.57177e+06, 5.13867e+06, 3648308, 4989322, 4989322, 4989322, 4989322, 2.28001e+07, 5.948e+06, 1.86094e+07, 2.69908e+07, 4956099, 24782780, 24782780, 24782780, 24782780, 6.79119e+08, 1.52882e+08, 5.71405e+08, 7.86833e+08, 220638475, 726478137, 729094214, 735522385, 738348894, 2.61733e+08, 4.7397e+07, 2.28339e+08, 2.95127e+08, 134342609, 240511983, 283624637, 296780103, 299174491, 6.79119e+08, 1.52882e+08, 5.71405e+08, 7.86833e+08, 220638475, 726478137, 729094214, 735522385, 738348894, 2.61733e+08, 4.7397e+07, 2.28339e+08, 2.95127e+08, 134342609, 240511983, 283624637, 296780103, 299174491, 64422011623, 1.54575e+10, 5.35313e+10, 7.53127e+10, 18465223644, 66999677306, 6.94611e+10, 72308644180, 73052192023, 4.0994e+10, 9.8264e+09, 3.40708e+10, 4.79172e+10, 11514984930, 44255197037, 4.42801e+10, 44302475990, 44307728918, 7529325431, 1.7894e+09, 6.26859e+09, 8.79006e+09, 2161163492, 8122232994, 8124308486, 8129694909, 8139239404, 131238822, 3.45658e+07, 1.06885e+08, 1.55592e+08, 28903211, 136356992, 1.41569e+08, 150494552, 154903418, 7529325431, 1.7894e+09, 6.26859e+09, 8.79006e+09, 2161163492, 8122232994, 8124308486, 8129694909, 8139239404, 131238822, 3.45658e+07, 1.06885e+08, 1.55592e+08, 28903211, 136356992, 1.41569e+08, 150494552, 154903418
Thu May 18 12:15:11 EDT 2017, 1, 1, 0.250, 10, 28.362, 6.92552, 23.4826, 33.2414, 8.29, 27.92, 31.245, 32.65, 32.67, 1178528, 275635, 984328, 1.37273e+06, 351624, 1270272, 1270506, 1270516, 1270516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.80263e+06, 384774, 4.53154e+06, 5.07372e+06, 3648308, 4930887, 4930887, 4930887, 4930887, 18177909, 4407270, 1.50727e+07, 2.12831e+07, 4956099, 19646999, 19646999, 19646999, 19646999, 6.88339e+08, 1.55943e+08, 5.78469e+08, 7.98209e+08, 220638475, 735651321, 741788448, 744636639, 744920684, 299072436, 5.8314e+07, 2.57987e+08, 3.40158e+08, 134342609, 282670369, 3.25813e+08, 336885096, 337236127, 6.88339e+08, 1.55943e+08, 5.78469e+08, 7.98209e+08, 220638475, 735651321, 741788448, 744636639, 744920684, 299072436, 5.8314e+07, 2.57987e+08, 3.40158e+08, 134342609, 282670369, 3.25813e+08, 336885096, 337236127, 65247624328, 1.56615e+10, 5.42132e+10, 7.6282e+10, 18465223644, 68536796602, 7.09651e+10, 72217178514, 72336559032, 34368057440, 7.61776e+09, 2.90009e+10, 3.97352e+10, 11514984930, 36874358378, 36905405984, 36946642310, 36962225184, 6.33768e+09, 1.3922e+09, 5.3568e+09, 7.31856e+09, 2161163492, 6790946925, 6805965906, 6812592347, 6816029926, 1.77883e+08, 5.00764e+07, 1.42601e+08, 2.13165e+08, 28903211, 187193386, 1.95928e+08, 202945593, 203519643, 6.33768e+09, 1.3922e+09, 5.3568e+09, 7.31856e+09, 2161163492, 6790946925, 6805965906, 6812592347, 6816029926, 1.77883e+08, 5.00764e+07, 1.42601e+08, 2.13165e+08, 28903211, 187193386, 1.95928e+08, 202945593, 203519643
Thu May 18 12:17:00 EDT 2017, 1, 10, 0.250, 10, 60.72, 18.6014, 47.6143, 73.8257, 8.29, 58.35, 67.86, 73.51, 76.25, 2838788, 829539, 2.25433e+06, 3.42324e+06, 351624, 3076016, 3140356, 3140360, 3140360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85583e+06, 402508, 4.57224e+06, 5.13942e+06, 3648308, 4990000, 4990000, 4990000, 4990000, 4.51037e+07, 1.33825e+07, 3.5675e+07, 5.45324e+07, 4956099, 49564596, 49564596, 49564596, 49564596, 1.47166e+09, 4.84955e+08, 1.12998e+09, 1.81334e+09, 220638475, 1506612113, 1519354166, 1549058660, 2347723555, 5.15005e+08, 1.32661e+08, 4.21538e+08, 6.08472e+08, 134342609, 536093386, 5.71443e+08, 596521009, 598293659, 1.47166e+09, 4.84955e+08, 1.12998e+09, 1.81334e+09, 220638475, 1506612113, 1519354166, 1549058660, 2347723555, 5.15005e+08, 1.32661e+08, 4.21538e+08, 6.08472e+08, 134342609, 536093386, 5.71443e+08, 596521009, 598293659, 1.36556e+11, 3.95971e+10, 1.08658e+11, 1.64454e+11, 18465223644, 144432290886, 150981605896, 154411819832, 156937000128, 78112671123, 2.22048e+10, 6.24682e+10, 9.37572e+10, 11514984930, 85160693256, 85350181129, 85603054096, 86922892300, 1.427e+10, 4.03773e+09, 1.14252e+10, 1.71148e+10, 2161163492, 15538988925, 1.55757e+10, 15656980268, 15915650366, 2.34535e+08, 6.86023e+07, 1.86201e+08, 2.82869e+08, 28903211, 254590739, 257379374, 260080726, 263656109, 1.427e+10, 4.03773e+09, 1.14252e+10, 1.71148e+10, 2161163492, 15538988925, 1.55757e+10, 15656980268, 15915650366, 2.34535e+08, 6.86023e+07, 1.86201e+08, 2.82869e+08, 28903211, 254590739, 257379374, 260080726, 263656109
Thu May 18 12:18:38 EDT 2017, 1, 1, 0.250, 15, 43.21, 11.8713, 34.846, 51.574, 8.29, 44.81, 48.94, 49.05, 50.05, 1730854, 459743, 1.40694e+06, 2.05477e+06, 351624, 1884012, 1884170, 1884172, 1884172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85025e+06, 400646, 4.56797e+06, 5.13253e+06, 3648308, 4983796, 4983796, 4983796, 4983796, 2.70091e+07, 7.35099e+06, 2.18299e+07, 3.21883e+07, 4956099, 29459407, 29459407, 29459407, 29459407, 1102533043, 3.43716e+08, 8.60366e+08, 1.3447e+09, 220638475, 1125324287, 1.13827e+09, 1151456135, 1730941837, 4.40413e+08, 1.07957e+08, 3.64351e+08, 5.16475e+08, 134342609, 444787846, 489817024, 492165062, 550248438, 1102533043, 3.43716e+08, 8.60366e+08, 1.3447e+09, 220638475, 1125324287, 1.13827e+09, 1151456135, 1730941837, 4.40413e+08, 1.07957e+08, 3.64351e+08, 5.16475e+08, 134342609, 444787846, 489817024, 492165062, 550248438, 100989971233, 2.7694e+10, 8.1478e+10, 1.20502e+11, 18465223644, 105984597188, 111148514050, 113590274634, 115845062303, 49218503625, 1.25679e+10, 4.03637e+10, 5.80733e+10, 11514984930, 53366196268, 5.34241e+10, 53445693124, 53466413086, 9040543587, 2.29314e+09, 7.4249e+09, 1.06562e+10, 2161163492, 9795330552, 9808021663, 9813184928, 9813813368, 2.63315e+08, 8.49887e+07, 2.03436e+08, 3.23194e+08, 28903211, 271805891, 2.77441e+08, 288678550, 387903434, 9040543587, 2.29314e+09, 7.4249e+09, 1.06562e+10, 2161163492, 9795330552, 9808021663, 9813184928, 9813813368, 2.63315e+08, 8.49887e+07, 2.03436e+08, 3.23194e+08, 28903211, 271805891, 2.77441e+08, 288678550, 387903434
Thu May 18 12:21:37 EDT 2017, 1, 10, 0.250, 15, 118.285, 45.9658, 85.8995, 150.67, 8.29, 93.94, 137.175, 161.23, 166.9, 3.47601e+06, 1.19992e+06, 2.6306e+06, 4.32142e+06, 351624, 3089468, 4121502, 4689620, 4689624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.85583e+06, 402508, 4.57224e+06, 5.13942e+06, 3648308, 4990000, 4990000, 4990000, 4990000, 6.74072e+07, 2.0817e+07, 5.27405e+07, 8.20739e+07, 4956099, 74346162, 74346162, 74346162, 74346162, 2.34459e+09, 8.16076e+08, 1.76962e+09, 2.91956e+09, 220638475, 2400335139, 2437503736, 2482622705, 3788426785, 8.41586e+08, 2.43608e+08, 6.69951e+08, 1.01322e+09, 134342609, 871884169, 967808186, 974168723, 974688449, 2.34459e+09, 8.16076e+08, 1.76962e+09, 2.91956e+09, 220638475, 2400335139, 2437503736, 2482622705, 3788426785, 8.41586e+08, 2.43608e+08, 6.69951e+08, 1.01322e+09, 134342609, 871884169, 967808186, 974168723, 974688449, 214680402394, 6.5518e+10, 1.68519e+11, 2.60841e+11, 18465223644, 231412586345, 2.37276e+11, 239524349021, 244319349147, 116744005350, 3.51039e+10, 9.20114e+10, 1.41477e+11, 11514984930, 126603763078, 128815400260, 130039942384, 130624928540, 2.14219e+10, 6.4314e+09, 1.68906e+10, 2.59532e+10, 2161163492, 23091549080, 2.36659e+10, 23974329732, 24125775261, 3.40616e+08, 1.04105e+08, 2.67268e+08, 4.13964e+08, 28903211, 367754561, 3.77511e+08, 384621133, 385300785, 2.14219e+10, 6.4314e+09, 1.68906e+10, 2.59532e+10, 2161163492, 23091549080, 2.36659e+10, 23974329732, 24125775261, 3.40616e+08, 1.04105e+08, 2.67268e+08, 4.13964e+08, 28903211, 367754561, 3.77511e+08, 384621133, 385300785
