# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Sun May 14 19:10:22 EDT 2017, 1, 1, 0.250, 1, 5.326, 0.771793, 4.78223, 5.86977, 4.89, 4.92, 5.195, 5.33, 7.59, 46236, 2.52982, 46234.2, 46237.8, 46232, 46236, 46236, 46240, 46240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1.61736e+08, 362002, 1.61481e+08, 1.61991e+08, 161164826, 161328064, 161889053, 162124728, 162294115, 1.30124e+08, 873494, 1.29509e+08, 1.30739e+08, 128610566, 129392166, 130526041, 130846838, 131455116, 1.61736e+08, 362002, 1.61481e+08, 1.61991e+08, 161164826, 161328064, 161889053, 162124728, 162294115, 1.30124e+08, 873494, 1.29509e+08, 1.30739e+08, 128610566, 129392166, 130526041, 130846838, 131455116, 1.10845e+10, 2.9851e+08, 1.08742e+10, 1.12948e+10, 10653307679, 10769853752, 1.1203e+10, 11480122091, 11504992489, 5.7412e+09, 6.65607e+07, 5.6943e+09, 5.7881e+09, 5650202229, 5706151338, 5723562104, 5860519998, 5872574576, 1.14056e+09, 1.47834e+07, 1.13014e+09, 1.15098e+09, 1119488020, 1132953655, 1.13792e+09, 1166703275, 1169413268, 2.22311e+07, 1.75883e+06, 2.09919e+07, 2.34703e+07, 20367128, 20421513, 23727060, 24097825, 24349819, 1.14056e+09, 1.47834e+07, 1.13014e+09, 1.15098e+09, 1119488020, 1132953655, 1.13792e+09, 1166703275, 1169413268, 2.22311e+07, 1.75883e+06, 2.09919e+07, 2.34703e+07, 20367128, 20421513, 23727060, 24097825, 24349819
Sun May 14 19:11:29 EDT 2017, 1, 10, 0.250, 1, 9.348, 0.184705, 9.21787, 9.47813, 9.14, 9.23, 9.305, 9.69, 9.69, 47548.4, 85.012, 47488.5, 47608.3, 47452, 47460, 47632, 47632, 47636, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3648308, 0, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 4946123, 0, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 2.92459e+08, 1.58233e+06, 2.91344e+08, 2.93574e+08, 290188527, 290972641, 292735314, 294373917, 294969384, 1.92617e+08, 2.20859e+06, 1.91061e+08, 1.94173e+08, 190249602, 191426483, 1.9198e+08, 196665258, 196750052, 2.92459e+08, 1.58233e+06, 2.91344e+08, 2.93574e+08, 290188527, 290972641, 292735314, 294373917, 294969384, 1.92617e+08, 2.20859e+06, 1.91061e+08, 1.94173e+08, 190249602, 191426483, 1.9198e+08, 196665258, 196750052, 2.13374e+10, 3.25369e+08, 2.11082e+10, 2.15666e+10, 21056617797, 21080682508, 21277550059, 21953071865, 21965042496, 1.23524e+10, 7.44266e+07, 1.23e+10, 1.24048e+10, 12226527950, 12284498653, 1.24012e+10, 12418595434, 12438762184, 2.44934e+09, 2.03793e+07, 2.43498e+09, 2.4637e+09, 2407752113, 2435567898, 2457723842, 2467627422, 2478703281, 4.63566e+07, 3.76657e+06, 4.37028e+07, 4.90104e+07, 42259986, 42595156, 4.95319e+07, 50488110, 50687382, 2.44934e+09, 2.03793e+07, 2.43498e+09, 2.4637e+09, 2407752113, 2435567898, 2457723842, 2467627422, 2478703281, 4.63566e+07, 3.76657e+06, 4.37028e+07, 4.90104e+07, 42259986, 42595156, 4.95319e+07, 50488110, 50687382
Sun May 14 19:13:37 EDT 2017, 1, 1, 0.250, 2, 8.063, 0.211899, 7.91371, 8.21229, 7.54, 7.98, 8.12, 8.24, 8.34, 48806.4, 1.95959, 48805, 48807.8, 48804, 48804, 48808, 48808, 48808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2878203, 0, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 3915208, 0, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 2.44131e+08, 2.89503e+06, 2.42091e+08, 2.46171e+08, 240432099, 241499379, 246668408, 247182762, 247366682, 1.72266e+08, 2.6406e+06, 1.70406e+08, 1.74126e+08, 167171007, 171437583, 172012366, 175751932, 175935684, 2.44131e+08, 2.89503e+06, 2.42091e+08, 2.46171e+08, 240432099, 241499379, 246668408, 247182762, 247366682, 1.72266e+08, 2.6406e+06, 1.70406e+08, 1.74126e+08, 167171007, 171437583, 172012366, 175751932, 175935684, 1.81827e+10, 3.39494e+08, 1.79435e+10, 1.84219e+10, 17461698855, 17951703977, 18211649349, 18559096091, 18688791147, 9.89627e+09, 4.85798e+07, 9.86204e+09, 9.9305e+09, 9837889361, 9870822544, 9893878517, 9923443299, 10023142126, 1.96112e+09, 1.15287e+07, 1.953e+09, 1.96924e+09, 1943283638, 1953049461, 1.96123e+09, 1974303843, 1983918236, 4.03589e+07, 2.68388e+06, 3.8468e+07, 4.22498e+07, 37990772, 38519058, 3.89881e+07, 44341923, 44643751, 1.96112e+09, 1.15287e+07, 1.953e+09, 1.96924e+09, 1943283638, 1953049461, 1.96123e+09, 1974303843, 1983918236, 4.03589e+07, 2.68388e+06, 3.8468e+07, 4.22498e+07, 37990772, 38519058, 3.89881e+07, 44341923, 44643751
Sun May 14 19:15:54 EDT 2017, 1, 10, 0.250, 2, 15.149, 1.40954, 14.1559, 16.1421, 11.3, 15.09, 16.015, 16.11, 16.17, 51520.4, 3.77359, 51517.7, 51523.1, 51516, 51516, 51520, 51524, 51528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4712398, 0, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 9892887, 0, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887, 4.65649e+08, 6.45874e+06, 4.61098e+08, 4.702e+08, 457002308, 460975510, 4.66495e+08, 473689993, 478136349, 2.74134e+08, 2.77313e+07, 2.54596e+08, 2.93672e+08, 195981420, 275335374, 2.89312e+08, 290126791, 293030834, 4.65649e+08, 6.45874e+06, 4.61098e+08, 4.702e+08, 457002308, 460975510, 4.66495e+08, 473689993, 478136349, 2.74134e+08, 2.77313e+07, 2.54596e+08, 2.93672e+08, 195981420, 275335374, 2.89312e+08, 290126791, 293030834, 3.56704e+10, 1.66191e+09, 3.44995e+10, 3.68413e+10, 32508412397, 34939122091, 37081966835, 37187759834, 37342552103, 2.16479e+10, 5.51222e+07, 2.16091e+10, 2.16867e+10, 21570413404, 21617379073, 2.16406e+10, 21709684972, 21781040694, 4.28941e+09, 1.14481e+07, 4.28134e+09, 4.29748e+09, 4275644575, 4281960258, 4289496188, 4292011988, 4320751146, 84436453, 812406, 8.38641e+07, 8.50088e+07, 82533076, 84343446, 84672848, 85181862, 85571100, 4.28941e+09, 1.14481e+07, 4.28134e+09, 4.29748e+09, 4275644575, 4281960258, 4289496188, 4292011988, 4320751146, 84436453, 812406, 8.38641e+07, 8.50088e+07, 82533076, 84343446, 84672848, 85181862, 85571100
Sun May 14 19:18:01 EDT 2017, 1, 1, 0.250, 5, 16.271, 1.05704, 15.5263, 17.0157, 14.98, 15.06, 16.985, 17.37, 17.52, 57478.4, 1.95959, 57477, 57479.8, 57476, 57476, 57480, 57480, 57480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4434430, 0, 4434430, 4434430, 4434430, 4434430, 4434430, 4434430, 4434430, 9799042, 0, 9799042, 9799042, 9799042, 9799042, 9799042, 9799042, 9799042, 4.84535e+08, 7.95251e+06, 4.78932e+08, 4.90138e+08, 473533332, 477027014, 487618362, 493355743, 497056520, 2.87153e+08, 1.58308e+07, 2.75999e+08, 2.98307e+08, 265574785, 269158127, 2.95816e+08, 305560957, 306114981, 4.84535e+08, 7.95251e+06, 4.78932e+08, 4.90138e+08, 473533332, 477027014, 487618362, 493355743, 497056520, 2.87153e+08, 1.58308e+07, 2.75999e+08, 2.98307e+08, 265574785, 269158127, 2.95816e+08, 305560957, 306114981, 38384165955, 1.64348e+09, 3.72262e+10, 3.95421e+10, 36156708515, 36722623871, 3.95221e+10, 40101258569, 40251105680, 2.171e+10, 5.88704e+07, 2.16685e+10, 2.17515e+10, 21663051156, 21672818615, 2.16896e+10, 21822076838, 21830313582, 4.31048e+09, 1.23092e+07, 4.30181e+09, 4.31915e+09, 4300001892, 4303275940, 4306948417, 4331074788, 4337675790, 9.50326e+07, 4.30075e+06, 9.20025e+07, 9.80627e+07, 91236868, 92143896, 92916248, 101565371, 101593674, 4.31048e+09, 1.23092e+07, 4.30181e+09, 4.31915e+09, 4300001892, 4303275940, 4306948417, 4331074788, 4337675790, 9.50326e+07, 4.30075e+06, 9.20025e+07, 9.80627e+07, 91236868, 92143896, 92916248, 101565371, 101593674
Sun May 14 19:20:24 EDT 2017, 1, 10, 0.250, 5, 30.829, 3.74808, 28.1883, 33.4697, 21.9, 29.06, 33.025, 34.07, 34.18, 63440.4, 2.15407, 63438.9, 63441.9, 63436, 63440, 63440, 63444, 63444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4989322, 0, 4989322, 4989322, 4989322, 4989322, 4989322, 4989322, 4989322, 24733129, 0, 24733129, 24733129, 24733129, 24733129, 24733129, 24733129, 24733129, 9.39555e+08, 1.13377e+07, 9.31567e+08, 9.47543e+08, 918017435, 937346524, 942385311, 947174968, 958455069, 5.16237e+08, 7.99584e+07, 4.59902e+08, 5.72572e+08, 331822160, 475977286, 570086184, 585067160, 586079864, 9.39555e+08, 1.13377e+07, 9.31567e+08, 9.47543e+08, 918017435, 937346524, 942385311, 947174968, 958455069, 5.16237e+08, 7.99584e+07, 4.59902e+08, 5.72572e+08, 331822160, 475977286, 570086184, 585067160, 586079864, 7.45263e+10, 5.09454e+09, 7.09369e+10, 7.81157e+10, 64475382632, 71731546021, 77530261109, 79574636685, 79760826948, 4.61373e+10, 6.72762e+07, 4.60899e+10, 4.61847e+10, 46019759669, 46123399406, 46135303473, 46174241520, 46296671957, 9.19136e+09, 1.14558e+07, 9.18329e+09, 9.19943e+09, 9175402157, 9181381270, 9195289472, 9197755821, 9217093461, 199669640, 9.26459e+06, 1.93142e+08, 2.06197e+08, 175717377, 198679648, 2.00044e+08, 209285742, 210541770, 9.19136e+09, 1.14558e+07, 9.18329e+09, 9.19943e+09, 9175402157, 9181381270, 9195289472, 9197755821, 9217093461, 199669640, 9.26459e+06, 1.93142e+08, 2.06197e+08, 175717377, 198679648, 2.00044e+08, 209285742, 210541770
Sun May 14 19:21:31 EDT 2017, 1, 1, 0.250, 10, 31.462, 3.11881, 29.2646, 33.6594, 25.16, 31.61, 33.19, 33.39, 33.48, 70704, 1.78885, 70702.7, 70705.3, 70700, 70704, 70704, 70704, 70708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4930887, 0, 4930887, 4930887, 4930887, 4930887, 4930887, 4930887, 4930887, 19607629, 0, 19607629, 19607629, 19607629, 19607629, 19607629, 19607629, 19607629, 8.56128e+08, 1.23769e+07, 8.47408e+08, 8.64848e+08, 842968991, 845660467, 854279693, 878367119, 880360302, 5.10339e+08, 7.16013e+07, 4.59892e+08, 5.60786e+08, 367496652, 520934910, 5.48979e+08, 552307002, 552966306, 8.56128e+08, 1.23769e+07, 8.47408e+08, 8.64848e+08, 842968991, 845660467, 854279693, 878367119, 880360302, 5.10339e+08, 7.16013e+07, 4.59892e+08, 5.60786e+08, 367496652, 520934910, 5.48979e+08, 552307002, 552966306, 7.40552e+10, 6.09393e+09, 6.97617e+10, 7.83487e+10, 61652808994, 74345673506, 77340163268, 77935511756, 78135493127, 3.9752e+10, 3.96705e+07, 3.9724e+10, 3.978e+10, 39704252447, 39719591056, 3.97587e+10, 39783606086, 39842872695, 7.90445e+09, 9.55623e+06, 7.89772e+09, 7.91118e+09, 7890832554, 7896283892, 7.90722e+09, 7915893012, 7919859676, 1.78556e+08, 4.81301e+06, 1.75165e+08, 1.81947e+08, 173359939, 175096080, 1.7773e+08, 185252976, 186214588, 7.90445e+09, 9.55623e+06, 7.89772e+09, 7.91118e+09, 7890832554, 7896283892, 7.90722e+09, 7915893012, 7919859676, 1.78556e+08, 4.81301e+06, 1.75165e+08, 1.81947e+08, 173359939, 175096080, 1.7773e+08, 185252976, 186214588
Sun May 14 19:24:14 EDT 2017, 1, 10, 0.250, 10, 63.547, 5.64899, 59.567, 67.527, 53.24, 59.94, 66.685, 68.42, 68.54, 80431.2, 2.99333, 80429.1, 80433.3, 80428, 80428, 80432, 80436, 80436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 49465246, 0, 49465246, 49465246, 49465246, 49465246, 49465246, 49465246, 49465246, 1.81462e+09, 3.51818e+07, 1.78983e+09, 1.83941e+09, 1769724389, 1796241864, 1808938667, 1859253249, 1896795110, 1.04613e+09, 1.45358e+08, 9.43717e+08, 1.14854e+09, 769166670, 963977433, 1.12944e+09, 1156593456, 1159265890, 1.81462e+09, 3.51818e+07, 1.78983e+09, 1.83941e+09, 1769724389, 1796241864, 1808938667, 1859253249, 1896795110, 1.04613e+09, 1.45358e+08, 9.43717e+08, 1.14854e+09, 769166670, 963977433, 1.12944e+09, 1156593456, 1159265890, 1.51443e+11, 1.06822e+10, 1.43917e+11, 1.58969e+11, 132044874214, 144679319075, 1.57199e+11, 161110572223, 161254424293, 8.82409e+10, 9.06058e+07, 8.81771e+10, 8.83047e+10, 88089258762, 88145255086, 88314103925, 88321984472, 88329595760, 1.76461e+10, 1.66928e+07, 1.76343e+10, 1.76579e+10, 17619817398, 17629183762, 1.76549e+10, 17664403175, 17667948646, 3.83929e+08, 4.35293e+06, 3.80862e+08, 3.86996e+08, 378963380, 381144711, 3.82697e+08, 391121540, 391244373, 1.76461e+10, 1.66928e+07, 1.76343e+10, 1.76579e+10, 17619817398, 17629183762, 1.76549e+10, 17664403175, 17667948646, 3.83929e+08, 4.35293e+06, 3.80862e+08, 3.86996e+08, 378963380, 381144711, 3.82697e+08, 391121540, 391244373
Sun May 14 19:27:07 EDT 2017, 1, 1, 0.250, 15, 46.786, 2.4107, 45.0875, 48.4845, 41.96, 47.63, 47.94, 48.23, 48.36, 83580.8, 2.4, 83579.1, 83582.5, 83576, 83580, 83580, 83584, 83584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4983796, 0, 4983796, 4983796, 4983796, 4983796, 4983796, 4983796, 4983796, 29400577, 0, 29400577, 29400577, 29400577, 29400577, 29400577, 29400577, 29400577, 1.19453e+09, 3.05262e+07, 1.17302e+09, 1.21604e+09, 1171566795, 1182160626, 1187810688, 1193376227, 1284414419, 7.45698e+08, 4.96264e+07, 7.10733e+08, 7.80663e+08, 641952173, 765199201, 7.66697e+08, 767568690, 795207684, 1.19453e+09, 3.05262e+07, 1.17302e+09, 1.21604e+09, 1171566795, 1182160626, 1187810688, 1193376227, 1284414419, 7.45698e+08, 4.96264e+07, 7.10733e+08, 7.80663e+08, 641952173, 765199201, 7.66697e+08, 767568690, 795207684, 1.10964e+11, 3.49701e+09, 1.085e+11, 1.13428e+11, 103963028546, 111895929800, 112657727435, 113173104863, 113650691439, 5.56207e+10, 4.46982e+07, 5.55892e+10, 5.56522e+10, 55544565208, 55600349442, 55634614928, 55642946897, 55722720464, 1.10359e+10, 1.01486e+07, 1.10287e+10, 1.10431e+10, 11024966301, 11028950725, 11032362884, 11051126804, 11051959626, 258862011, 9.58937e+06, 2.52106e+08, 2.65618e+08, 251143168, 253400774, 2.54965e+08, 266080364, 283461747, 1.10359e+10, 1.01486e+07, 1.10287e+10, 1.10431e+10, 11024966301, 11028950725, 11032362884, 11051126804, 11051959626, 258862011, 9.58937e+06, 2.52106e+08, 2.65618e+08, 251143168, 253400774, 2.54965e+08, 266080364, 283461747
Sun May 14 19:30:05 EDT 2017, 1, 10, 0.250, 15, 97.929, 10.6902, 90.3972, 105.461, 69.02, 94.84, 104.115, 105.45, 105.84, 98314.8, 620.305, 97877.8, 98751.8, 97928, 97932, 97942, 98996, 99756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 74197146, 1, 7.41971e+07, 7.41971e+07, 74197146, 74197146, 74197146, 74197146, 74197146, 2.78256e+09, 1.02834e+08, 2.71011e+09, 2.85501e+09, 2668557694, 2676143319, 2833025401, 2925746579, 2929697313, 1.65753e+09, 2.34647e+08, 1.49221e+09, 1.82285e+09, 1015982841, 1638104837, 1789251408, 1806936328, 1807164124, 2.78256e+09, 1.02834e+08, 2.71011e+09, 2.85501e+09, 2668557694, 2676143319, 2833025401, 2925746579, 2929697313, 1.65753e+09, 2.34647e+08, 1.49221e+09, 1.82285e+09, 1015982841, 1638104837, 1789251408, 1806936328, 1807164124, 2.38685e+11, 1.2294e+10, 2.30023e+11, 2.47347e+11, 207968681125, 235923722068, 2.45579e+11, 248761991794, 249734743451, 1.33643e+11, 2.01323e+08, 1.33501e+11, 1.33785e+11, 133207934236, 133662820400, 1.33752e+11, 133763115976, 133779976746, 2.67609e+10, 2.89357e+07, 2.67405e+10, 2.67813e+10, 26699777821, 26756547771, 2.67757e+10, 26782972465, 26790064144, 5.36827e+08, 2.21365e+07, 5.21231e+08, 5.52423e+08, 471978211, 539905978, 5.4286e+08, 549534241, 552958692, 2.67609e+10, 2.89357e+07, 2.67405e+10, 2.67813e+10, 26699777821, 26756547771, 2.67757e+10, 26782972465, 26790064144, 5.36827e+08, 2.21365e+07, 5.21231e+08, 5.52423e+08, 471978211, 539905978, 5.4286e+08, 549534241, 552958692
