# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Fri Jan 13 21:34:25 EST 2017, 1, 1, 0.000, 1, 14.608, 0.267724, 14.4194, 14.7966, 14.08, 14.68, 14.7, 14.82, 14.84, 463824, 2.15407, 463822, 463826, 463820, 463824, 463824, 463824, 463828, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3433872, 0, 3433872, 3433872, 3433872, 3433872, 3433872, 3433872, 3433872, 3826030, 0, 3826030, 3826030, 3826030, 3826030, 3826030, 3826030, 3826030, 0.599963, 1.29048e-08, 0.599963, 0.599963, 0.599963, 0.599963, 0.599963, 0.599963, 0.599963, 1.1363, 1.49012e-08, 1.1363, 1.1363, 1.1363, 1.1363, 1.1363, 1.1363, 1.1363, 10.9581, 0, 10.9581, 10.9581, 10.9581, 10.9581, 10.9581, 10.9581, 10.9581, 5834413, 0, 5834413, 5834413, 5834413, 5834413, 5834413, 5834413, 5834413
Fri Jan 13 21:38:37 EST 2017, 1, 2, 0.000, 1, 20.133, 0.164685, 20.017, 20.249, 19.98, 20, 20.12, 20.36, 20.51, 480828, 126.022, 480739, 480917, 480576, 480888, 480892, 480892, 480896, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5154144, 0, 5154144, 5154144, 5154144, 5154144, 5154144, 5154144, 5154144, 6175150, 0, 6175150, 6175150, 6175150, 6175150, 6175150, 6175150, 6175150, 0.564712, 7.45058e-09, 0.564712, 0.564712, 0.564712, 0.564712, 0.564712, 0.564712, 0.564712, 1.21451, 2.58096e-08, 1.21451, 1.21451, 1.21451, 1.21451, 1.21451, 1.21451, 1.21451, 11.3776, 0, 11.3776, 11.3776, 11.3776, 11.3776, 11.3776, 11.3776, 11.3776, 8697093, 0, 8697093, 8697093, 8697093, 8697093, 8697093, 8697093, 8697093
Fri Jan 13 21:42:49 EST 2017, 1, 5, 0.000, 1, 26.429, 0.514538, 26.0665, 26.7915, 25.72, 25.82, 26.79, 26.88, 27.06, 549394, 2, 549393, 549395, 549392, 549392, 549396, 549396, 549396, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7130511, 0, 7130511, 7130511, 7130511, 7130511, 7130511, 7130511, 7130511, 8992515, 0, 8992515, 8992515, 8992515, 8992515, 8992515, 8992515, 8992515, 0.520365, 0, 0.520365, 0.520365, 0.520365, 0.520365, 0.520365, 0.520365, 0.520365, 1.2745, 2.10734e-08, 1.2745, 1.2745, 1.2745, 1.2745, 1.2745, 1.2745, 1.2745, 12.1539, 1.68587e-07, 12.1539, 12.1539, 12.1539, 12.1539, 12.1539, 12.1539, 12.1539, 11820514, 0, 11820514, 11820514, 11820514, 11820514, 11820514, 11820514, 11820514
Fri Jan 13 21:47:02 EST 2017, 1, 10, 0.000, 1, 32.634, 0.935384, 31.975, 33.293, 31.73, 31.81, 32.85, 33.79, 33.83, 551470, 3.66605, 551467, 551473, 551468, 551468, 551468, 551476, 551476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8069297, 0, 8069297, 8069297, 8069297, 8069297, 8069297, 8069297, 8069297, 9733974, 0, 9733974, 9733974, 9733974, 9733974, 9733974, 9733974, 9733974, 0.512621, 1.29048e-08, 0.512621, 0.512621, 0.512621, 0.512621, 0.512621, 0.512621, 0.512621, 1.21863, 1.49012e-08, 1.21863, 1.21863, 1.21863, 1.21863, 1.21863, 1.21863, 1.21863, 12.7438, 1.68587e-07, 12.7438, 12.7438, 12.7438, 12.7438, 12.7438, 12.7438, 12.7438, 12984177, 0, 12984177, 12984177, 12984177, 12984177, 12984177, 12984177, 12984177
Fri Jan 13 21:50:49 EST 2017, 1, 1, 0.250, 1, 14.346, 0.262876, 14.1608, 14.5312, 13.82, 14.31, 14.465, 14.61, 14.61, 463594, 1.95959, 463593, 463595, 463592, 463592, 463594, 463596, 463596, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3432436, 0, 3432436, 3432436, 3432436, 3432436, 3432436, 3432436, 3432436, 3825159, 0, 3825159, 3825159, 3825159, 3825159, 3825159, 3825159, 3825159, 0.574655, 7.45058e-09, 0.574655, 0.574655, 0.574655, 0.574655, 0.574655, 0.574655, 0.574655, 1.13535, 2.98023e-08, 1.13535, 1.13535, 1.13535, 1.13535, 1.13535, 1.13535, 1.13535, 10.6516, 1.19209e-07, 10.6516, 10.6516, 10.6516, 10.6516, 10.6516, 10.6516, 10.6516, 5927898, 0, 5927898, 5927898, 5927898, 5927898, 5927898, 5927898, 5927898
Fri Jan 13 21:55:02 EST 2017, 1, 2, 0.250, 1, 19.307, 0.371969, 19.0449, 19.5691, 18.72, 18.8, 19.53, 19.64, 19.69, 478118, 2.6533, 478116, 478120, 478116, 478116, 478116, 478120, 478124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5111432, 0, 5111432, 5111432, 5111432, 5111432, 5111432, 5111432, 5111432, 6175887, 0, 6175887, 6175887, 6175887, 6175887, 6175887, 6175887, 6175887, 0.535966, 7.45058e-09, 0.535966, 0.535966, 0.535966, 0.535966, 0.535966, 0.535966, 0.535966, 1.22425, 2.58096e-08, 1.22425, 1.22425, 1.22425, 1.22425, 1.22425, 1.22425, 1.22425, 10.8532, 1.19209e-07, 10.8532, 10.8532, 10.8532, 10.8532, 10.8532, 10.8532, 10.8532, 8847928, 0, 8847928, 8847928, 8847928, 8847928, 8847928, 8847928, 8847928
Fri Jan 13 21:59:14 EST 2017, 1, 5, 0.250, 1, 25.376, 0.446927, 25.0611, 25.6909, 24.74, 24.84, 25.73, 25.77, 25.79, 487794, 2.6533, 487792, 487796, 487792, 487792, 487796, 487796, 487800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6839383, 0, 6839383, 6839383, 6839383, 6839383, 6839383, 6839383, 6839383, 8992148, 0, 8992148, 8992148, 8992148, 8992148, 8992148, 8992148, 8992148, 0.482355, 0, 0.482355, 0.482355, 0.482355, 0.482355, 0.482355, 0.482355, 0.482355, 1.32874, 0, 1.32874, 1.32874, 1.32874, 1.32874, 1.32874, 1.32874, 1.32874, 11.131, 1.19209e-07, 11.131, 11.131, 11.131, 11.131, 11.131, 11.131, 11.131, 11882354, 0, 11882354, 11882354, 11882354, 11882354, 11882354, 11882354, 11882354
Fri Jan 13 22:27:17 EST 2017, 1, 10, 0.250, 1, 26.495, 1.06569, 25.7442, 27.2458, 23.73, 26.2, 26.885, 27.39, 27.74, 489474, 1.95959, 489473, 489475, 489472, 489472, 489474, 489476, 489476, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7266062, 0, 7266062, 7266062, 7266062, 7266062, 7266062, 7266062, 7266062, 9733887, 0, 9733887, 9733887, 9733887, 9733887, 9733887, 9733887, 9733887, 0.468943, 5.26836e-09, 0.468943, 0.468943, 0.468943, 0.468943, 0.468943, 0.468943, 0.468943, 1.35335, 2.58096e-08, 1.35335, 1.35335, 1.35335, 1.35335, 1.35335, 1.35335, 1.35335, 11.2314, 2.06477e-07, 11.2314, 11.2314, 11.2314, 11.2314, 11.2314, 11.2314, 11.2314, 12621186, 0, 12621186, 12621186, 12621186, 12621186, 12621186, 12621186, 12621186
Fri Jan 13 22:29:19 EST 2017, 1, 1, 0.000, 2, 22.543, 0.758934, 22.0083, 23.0777, 21.12, 22.36, 23, 23.1, 23.28, 531920, 1.2, 531919, 531921, 531916, 531920, 531920, 531920, 531920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5726667, 0, 5726667, 5726667, 5726667, 5726667, 5726667, 5726667, 5726667, 7680975, 0, 7680975, 7680975, 7680975, 7680975, 7680975, 7680975, 7680975, 1.34358, 2.10734e-08, 1.34358, 1.34358, 1.34358, 1.34358, 1.34358, 1.34358, 1.34358, 1.36039, 2.98023e-08, 1.36039, 1.36039, 1.36039, 1.36039, 1.36039, 1.36039, 1.36039, 12.71, 1.68587e-07, 12.71, 12.71, 12.71, 12.71, 12.71, 12.71, 12.71, 8133221, 0, 8133221, 8133221, 8133221, 8133221, 8133221, 8133221, 8133221
Fri Jan 13 22:33:57 EST 2017, 1, 2, 0.000, 2, 30.894, 0.860328, 30.2879, 31.5001, 28.78, 30.6, 31.09, 31.51, 32.24, 550260, 3.32266, 550258, 550262, 550256, 550256, 550260, 550264, 550264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7731257, 0, 7731257, 7731257, 7731257, 7731257, 7731257, 7731257, 7731257, 12373647, 0, 12373647, 12373647, 12373647, 12373647, 12373647, 12373647, 12373647, 1.20947, 2.98023e-08, 1.20947, 1.20947, 1.20947, 1.20947, 1.20947, 1.20947, 1.20947, 1.61899, 2.10734e-08, 1.61899, 1.61899, 1.61899, 1.61899, 1.61899, 1.61899, 1.61899, 13.2727, 1.68587e-07, 13.2727, 13.2727, 13.2727, 13.2727, 13.2727, 13.2727, 13.2727, 10774912, 0, 10774912, 10774912, 10774912, 10774912, 10774912, 10774912, 10774912
