# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, topCancl_mean, topCancl_sd, topCancl_ci, topCancl_ci, topCancl_min, topCancl_box_q1, topCancl_median, topCancl_box_q2, topCancl_max, ladCancl_mean, ladCancl_sd, ladCancl_ci, ladCancl_ci, ladCancl_min, ladCancl_box_q1, ladCancl_median, ladCancl_box_q2, ladCancl_max, botCancl_mean, botCancl_sd, botCancl_ci, botCancl_ci, botCancl_min, botCancl_box_q1, botCancl_median, botCancl_box_q2, botCancl_max, topScan_mean, topScan_sd, topScan_ci, topScan_ci, topScan_min, topScan_box_q1, topScan_median, topScan_box_q2, topScan_max, ladScan_mean, ladScan_sd, ladScan_ci, ladScan_ci, ladScan_min, ladScan_box_q1, ladScan_median, ladScan_box_q2, ladScan_max, botScan_mean, botScan_sd, botScan_ci, botScan_ci, botScan_min, botScan_box_q1, botScan_median, botScan_box_q2, botScan_max, NuBotScan_mean, NuBotScan_sd, NuBotScan_ci, NuBotScan_ci, NuBotScan_min, NuBotScan_box_q1, NuBotScan_median, NuBotScan_box_q2, NuBotScan_max, NoCBotSc_mean, NoCBotSc_sd, NoCBotSc_ci, NoCBotSc_ci, NoCBotSc_min, NoCBotSc_box_q1, NoCBotSc_median, NoCBotSc_box_q2, NoCBotSc_max, NuNoCBotSc_mean, NuNoCBotSc_sd, NuNoCBotSc_ci, NuNoCBotSc_ci, NuNoCBotSc_min, NuNoCBotSc_box_q1, NuNoCBotSc_median, NuNoCBotSc_box_q2, NuNoCBotSc_max, topIns_mean, topIns_sd, topIns_ci, topIns_ci, topIns_min, topIns_box_q1, topIns_median, topIns_box_q2, topIns_max, ladIns_mean, ladIns_sd, ladIns_ci, ladIns_ci, ladIns_min, ladIns_box_q1, ladIns_median, ladIns_box_q2, ladIns_max, botIns_mean, botIns_sd, botIns_ci, botIns_ci, botIns_min, botIns_box_q1, botIns_median, botIns_box_q2, botIns_max, rungs_mean, rungs_sd, rungs_ci, rungs_ci, rungs_min, rungs_box_q1, rungs_median, rungs_box_q2, rungs_max, bktRung_mean, bktRung_sd, bktRung_ci, bktRung_ci, bktRung_min, bktRung_box_q1, bktRung_median, bktRung_box_q2, bktRung_max, botSize_mean, botSize_sd, botSize_ci, botSize_ci, botSize_min, botSize_box_q1, botSize_median, botSize_box_q2, botSize_max, bktSize_mean, bktSize_sd, bktSize_ci, bktSize_ci, bktSize_min, bktSize_box_q1, bktSize_median, bktSize_box_q2, bktSize_max
Fri Jan 13 21:34:22 EST 2017, 1, 1, 0.000, 1, 12.245, 0.0777496, 12.1902, 12.2998, 12.13, 12.2, 12.27, 12.33, 12.37, 395851, 3.1241, 395849, 395853, 395848, 395848, 395852, 395856, 395856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 399999, 0, 399999, 399999, 399999, 399999, 399999, 399999, 399999, 3501907, 0, 3501907, 3501907, 3501907, 3501907, 3501907, 3501907, 3501907, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13869, 2.58096e-08, 1.13869, 1.13869, 1.13869, 1.13869, 1.13869, 1.13869, 1.13869, 39413.2, 0.000690534, 39413.2, 39413.2, 39413.2, 39413.2, 39413.2, 39413.2, 39413.2, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 21:36:30 EST 2017, 1, 2, 0.000, 1, 16.982, 0.405803, 16.6961, 17.2679, 16.38, 16.41, 17.245, 17.34, 17.43, 406291, 94.4508, 406224, 406358, 406008, 406320, 406322, 406328, 406328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 886577, 0, 886577, 886577, 886577, 886577, 886577, 886577, 886577, 5373195, 0, 5373195, 5373195, 5373195, 5373195, 5373195, 5373195, 5373195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13274, 0, 1.13274, 1.13274, 1.13274, 1.13274, 1.13274, 1.13274, 1.13274, 63230, 0, 63230, 63230, 63230, 63230, 63230, 63230, 63230, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 21:40:44 EST 2017, 1, 5, 0.000, 1, 23.625, 0.220011, 23.47, 23.78, 23.16, 23.66, 23.75, 23.78, 23.8, 481531, 3.1241, 481529, 481533, 481528, 481528, 481532, 481536, 481536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1991855, 0, 1991855, 1991855, 1991855, 1991855, 1991855, 1991855, 1991855, 7095985, 0, 7095985, 7095985, 7095985, 7095985, 7095985, 7095985, 7095985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.12043, 1.49012e-08, 1.12043, 1.12043, 1.12043, 1.12043, 1.12043, 1.12043, 1.12043, 91796.4, 0.00218366, 91796.4, 91796.4, 91796.4, 91796.4, 91796.4, 91796.4, 91796.4, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 21:44:53 EST 2017, 1, 10, 0.000, 1, 24.623, 0.479876, 24.2849, 24.9611, 23.9, 24.05, 24.89, 25.09, 25.26, 483269, 2.99332, 483267, 483271, 483264, 483268, 483270, 483272, 483272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3299993, 0, 3299993, 3299993, 3299993, 3299993, 3299993, 3299993, 3299993, 6533526, 0, 6533526, 6533526, 6533526, 6533526, 6533526, 6533526, 6533526, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.10476, 2.10734e-08, 1.10476, 1.10476, 1.10476, 1.10476, 1.10476, 1.10476, 1.10476, 99328.5, 0, 99328.5, 99328.5, 99328.5, 99328.5, 99328.5, 99328.5, 99328.5, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 21:48:46 EST 2017, 1, 1, 0.250, 1, 11.608, 0.475706, 11.2728, 11.9432, 10.91, 11, 11.835, 12.13, 12.13, 394958, 1.95958, 394957, 394959, 394956, 394956, 394960, 394960, 394960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 439257, 0, 439257, 439257, 439257, 439257, 439257, 439257, 439257, 3457772, 0, 3457772, 3457772, 3457772, 3457772, 3457772, 3457772, 3457772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13703, 1.49012e-08, 1.13703, 1.13703, 1.13703, 1.13703, 1.13703, 1.13703, 1.13703, 39363.9, 0.000976562, 39363.9, 39363.9, 39363.9, 39363.9, 39363.9, 39363.9, 39363.9, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 21:52:54 EST 2017, 1, 2, 0.250, 1, 16.656, 0.287026, 16.4538, 16.8582, 16.07, 16.74, 16.775, 16.84, 16.9, 408054, 2.6533, 408052, 408056, 408052, 408052, 408056, 408056, 408060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 886302, 0, 886302, 886302, 886302, 886302, 886302, 886302, 886302, 5371364, 0, 5371364, 5371364, 5371364, 5371364, 5371364, 5371364, 5371364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13274, 0, 1.13274, 1.13274, 1.13274, 1.13274, 1.13274, 1.13274, 1.13274, 63208.7, 0, 63208.7, 63208.7, 63208.7, 63208.7, 63208.7, 63208.7, 63208.7, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 21:57:08 EST 2017, 1, 5, 0.250, 1, 22.135, 0.554459, 21.7444, 22.5256, 21.03, 22.23, 22.365, 22.55, 22.72, 419401, 1.83303, 419400, 419402, 419400, 419400, 419400, 419404, 419404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899948, 0, 1899948, 1899948, 1899948, 1899948, 1899948, 1899948, 1899948, 7187814, 0, 7187814, 7187814, 7187814, 7187814, 7187814, 7187814, 7187814, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.12214, 1.49012e-08, 1.12214, 1.12214, 1.12214, 1.12214, 1.12214, 1.12214, 1.12214, 91795.6, 0.00138107, 91795.6, 91795.6, 91795.6, 91795.6, 91795.6, 91795.6, 91795.6, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 22:00:32 EST 2017, 1, 10, 0.250, 1, 22.544, 0.887256, 21.9189, 23.1691, 20.94, 22.34, 23.12, 23.39, 23.46, 419573, 2.56124, 419571, 419575, 419572, 419572, 419572, 419576, 419580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3299994, 0, 3299994, 3299994, 3299994, 3299994, 3299994, 3299994, 3299994, 6533525, 0, 6533525, 6533525, 6533525, 6533525, 6533525, 6533525, 6533525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.10476, 2.10734e-08, 1.10476, 1.10476, 1.10476, 1.10476, 1.10476, 1.10476, 1.10476, 99328.5, 0, 99328.5, 99328.5, 99328.5, 99328.5, 99328.5, 99328.5, 99328.5, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 22:02:35 EST 2017, 1, 1, 0.000, 2, 20.359, 0.482793, 20.0188, 20.6992, 19.72, 19.97, 20.52, 20.91, 21.04, 463843, 1.59999, 463842, 463844, 463840, 463844, 463844, 463844, 463844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 955161, 0, 955161, 955161, 955161, 955161, 955161, 955161, 955161, 6835356, 0, 6835356, 6835356, 6835356, 6835356, 6835356, 6835356, 6835356, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13763, 0, 1.13763, 1.13763, 1.13763, 1.13763, 1.13763, 1.13763, 1.13763, 78692.1, 0.00169146, 78692.1, 78692.1, 78692.1, 78692.1, 78692.1, 78692.1, 78692.1, 1, 0, 1, 1, 1, 1, 1, 1, 1
Fri Jan 13 22:04:48 EST 2017, 1, 2, 0.000, 2, 28.65, 0.624228, 28.2102, 29.0898, 27.63, 28.24, 28.845, 29.41, 29.42, 486178, 2.6533, 486176, 486180, 486176, 486176, 486180, 486180, 486184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1599920, 0, 1599920, 1599920, 1599920, 1599920, 1599920, 1599920, 1599920, 10916911, 0, 10916911, 10916911, 10916911, 10916911, 10916911, 10916911, 10916911, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13442, 1.49012e-08, 1.13442, 1.13442, 1.13442, 1.13442, 1.13442, 1.13442, 1.13442, 126433, 0, 126433, 126433, 126433, 126433, 126433, 126433, 126433, 1, 0, 1, 1, 1, 1, 1, 1, 1
